uri,target_context,is_slang,synthetic
synthetic,this mac and cheese is straight up bussin no cap,1,1
synthetic,ngl her new single is bussin i've had it on repeat all day,1,1
synthetic,the wings at that little spot on main street are bussin bussin,1,1
synthetic,tried the new spicy chicken sandwich and lemme tell you it's bussin,1,1
synthetic,grandma's thanksgiving stuffing be bussin every single year,1,1
synthetic,this drip is bussin where'd you cop the jacket,1,1
synthetic,the new album is honestly bussin i wasn't expecting that,1,1
synthetic,yo these fries are bussin pass the ketchup,1,1
synthetic,my mans really thought his mixtape was bussin lmaooo,1,1
synthetic,if you haven't tried the birria tacos there you're missing out they bussin,1,1
synthetic,ok but why is this homemade lemonade bussin tho,1,1
synthetic,that pasta recipe you sent me last week was bussin fr,1,1
synthetic,the soundtrack for this game is actually bussin,1,1
synthetic,school lunch was mid today but the cookies were bussin,1,1
synthetic,i made jambalaya for the first time and ngl it came out bussin,1,1
synthetic,tell me why this gas station sushi is bussin like what,1,1
synthetic,the smash burger pop up downtown is bussin you gotta go,1,1
synthetic,her edits are bussin she got that cinematic vibe down,1,1
synthetic,bro the new dunks are bussin i need a pair asap,1,1
synthetic,this cold brew hits different in the morning it's bussin,1,1
synthetic,everyone slept on this movie but the cinematography is bussin,1,1
synthetic,i tried that viral pasta trend and surprisingly it was bussin,1,1
synthetic,the wings sauce at buffalo wild wings be bussin sometimes,1,1
synthetic,this korean corn dog is bussin holy,1,1
synthetic,lowkey the dorm cafeteria food today was bussin no lie,1,1
synthetic,the beat drop on track 7 is bussin i replayed it like ten times,1,1
synthetic,homemade pizza night with the family always bussin,1,1
synthetic,y'all sleeping on whataburger them honey butter biscuits bussin,1,1
synthetic,the pho at that vietnamese spot near campus is bussin trust me,1,1
synthetic,his freestyle was bussin the whole crowd lost it,1,1
synthetic,this protein shake recipe is bussin and it actually has like 40 grams,1,1
synthetic,ramen with extra egg and chili oil is bussin every time,1,1
synthetic,the new fit she pulled up in was bussin she ate,1,1
synthetic,okay the dessert menu was honestly bussin i couldn't pick one,1,1
synthetic,trader joes orange chicken is unironically bussin and i'll die on this hill,1,1
synthetic,this show is bussin you need to start it tonight,1,1
synthetic,her thanksgiving plate looked bussin i'm jealous fr,1,1
synthetic,the chili i made in the crockpot turned out bussin,1,1
synthetic,those tiktok pancakes everyone's making actually be bussin,1,1
synthetic,the bbq at the cookout was bussin shoutout to uncle ray,1,1
synthetic,this matcha latte is bussin and i'm not even a matcha person,1,1
synthetic,the new fortnite season is bussin the map changes are crazy,1,1
synthetic,homie said his cooking was bussin but it was straight up mid,1,1
synthetic,the empanadas she brought to the potluck were bussin everyone wanted the recipe,1,1
synthetic,this lo-fi playlist is bussin perfect for studying,1,1
synthetic,lemme tell you that gumbo was bussin had me going back for thirds,1,1
synthetic,the chicken tikka masala at that hole in the wall is bussin,1,1
synthetic,the popcorn chicken from the food truck was bussin lowkey,1,1
synthetic,this new lipgloss formula is bussin my lips stayed glossy all day,1,1
synthetic,the mall food court bourbon chicken is bussin and you know it,1,1
synthetic,deadass this peach cobbler is bussin im about to cry,1,1
synthetic,her vocals on the bridge are bussin she ate that up,1,1
synthetic,tried making sushi at home and surprise it was actually bussin,1,1
synthetic,the carne asada fries on the late night menu are bussin,1,1
synthetic,this air fryer salmon recipe is bussin and takes 10 minutes,1,1
synthetic,yall the new chick fil a sauce flavor is bussin i'm telling you,1,1
synthetic,the energy at the concert was bussin everyone was vibing,1,1
synthetic,his pregame playlist is bussin no skips fr,1,1
synthetic,the chef's tasting menu was bussin worth every penny,1,1
synthetic,those banana pudding cookies from crumbl are bussin change my mind,1,1
synthetic,the mole sauce my abuela makes is bussin nothing compares,1,1
synthetic,this hoodie is bussin so soft and the fit is perfect,1,1
synthetic,the breakfast burrito truck outside work is bussin every morning,1,1
synthetic,tbh the cafeteria pizza today was actually bussin which never happens,1,1
synthetic,the seasoning on these wings is bussin who cooked,1,1
synthetic,this candle smells bussin like vanilla and brown sugar,1,1
synthetic,the new horror movie is bussin had me jumping the whole time,1,1
synthetic,yo the curry at that thai spot is bussin and the portions are huge,1,1
synthetic,her album rollout has been bussin every visual is fire,1,1
synthetic,the loaded nachos at the bar last night were bussin,1,1
synthetic,ngl my homemade alfredo turned out bussin for once,1,1
synthetic,this brand new perfume is bussin everyone keeps asking what i'm wearing,1,1
