uri,target_context,is_slang,synthetic
synthetic,bro saw her walk by and just yelled gyatt across the entire cafeteria,1,1
synthetic,every other video on my fyp is some kid screaming gyatt at the camera,1,1
synthetic,my little brother said gyatt at the dinner table and my mom nearly lost it,1,1
synthetic,if i hear one more middle schooler say gyatt i'm throwing my phone in the river,1,1
synthetic,the gym mirror selfie had the comments full of gyatt and fire emojis,1,1
synthetic,she posted a beach pic and the replies were nothing but gyatt over and over,1,1
synthetic,gyatt has officially replaced every other compliment on tiktok and i hate it here,1,1
synthetic,imagine being a teacher in 2024 and hearing gyatt yelled in your classroom every period,1,1
synthetic,he tried to say gyatt to his crush and got immediately blocked which is honestly fair,1,1
synthetic,my dad asked what gyatt meant and i pretended i didn't hear him,1,1
synthetic,the entire stream chat spammed gyatt the second she stood up from her chair,1,1
synthetic,saying gyatt unironically in 2025 should be a federal offense at this point,1,1
synthetic,i love how gyatt became a noun a verb and an adjective all within a year,1,1
synthetic,first day of high school and some freshman already got detention for shouting gyatt in the hallway,1,1
synthetic,the gyatt to brainrot pipeline is real and my cousin is the proof,1,1
synthetic,she captioned her workout video gyatt szn and got two million likes overnight,1,1
synthetic,nothing kills the mood faster than your roommate walking in and going gyatt at the tv,1,1
synthetic,i miss when compliments were normal now it's just gyatt and rizz back to back,1,1
synthetic,the urban dictionary entry for gyatt is honestly a piece of internet history at this point,1,1
synthetic,he literally got fired for muttering gyatt during a work meeting on zoom,1,1
synthetic,kids these days say gyatt the way we used to say dang back in middle school,1,1
synthetic,the streamer kept saying gyatt every five seconds and the chat was losing it,1,1
synthetic,my therapist asked how my week was and i almost said gyatt as a joke but chickened out,1,1
synthetic,gyatt is the kind of word that makes me feel ancient even though i'm only 24,1,1
synthetic,the kid pulled out his phone took one look and whispered gyatt under his breath,1,1
synthetic,you know slang has gone too far when grandma asks if gyatt is a type of yogurt,1,1
synthetic,his entire personality is just saying gyatt at gym influencers on instagram reels,1,1
synthetic,the principal sent home a letter banning the word gyatt during school hours and i'm crying,1,1
synthetic,every gym tok comment section is just gyatt gyatt gyatt with the occasional fire emoji,1,1
synthetic,i caught myself thinking gyatt at the grocery store and immediately questioned my life choices,1,1
synthetic,he yelled gyatt at a mannequin in the mall and his friends will never let him live it down,1,1
synthetic,gyatt started as a meme and now it's basically part of gen alpha's official vocabulary,1,1
synthetic,she walked in wearing jeans and the whole group chat exploded with gyatt messages,1,1
synthetic,i'm begging you please stop putting gyatt in every single tiktok caption ever,1,1
synthetic,my coworker said gyatt loud enough for hr to hear and now we have a new policy,1,1
synthetic,calling someone a gyatt monster is somehow both a compliment and a red flag,1,1
synthetic,the way he stretched out the word gyatttttt for like ten seconds was genuinely disturbing,1,1
synthetic,every time kim k posts a photo the gyatt comments multiply exponentially,1,1
synthetic,my nephew is six years old and already knows what gyatt means and that terrifies me,1,1
synthetic,gyatt was the most googled slang term of the year and i refuse to elaborate,1,1
synthetic,his rizz was nonexistent but he kept dropping gyatt like that would help his case,1,1
synthetic,the meme of the guy yelling gyatt in church is one of the funniest things ever uploaded,1,1
synthetic,no one warned me that being an older sibling meant constantly hearing gyatt at full volume,1,1
synthetic,she walked away after he said gyatt and honestly that was the only correct response,1,1
synthetic,you can tell someone is chronically online when gyatt slips into their normal conversation,1,1
synthetic,the gyatt meme officially peaked when sesame street accidentally referenced it on twitter,1,1
synthetic,i told him to stop saying gyatt around my mom and he doubled down immediately,1,1
synthetic,watching boomers try to explain gyatt on the news segment was the highlight of my week,1,1
synthetic,every comment under that thirst trap was gyatt with varying degrees of enthusiasm,1,1
synthetic,calling that a gyatt is genuinely an understatement at this point in the routine,1,1
synthetic,my professor used the word gyatt in a lecture and the entire room went silent,1,1
synthetic,gyatt walked so brainrot vocabulary like sigma and skibidi could run,1,1
synthetic,the tiktok ban scare made me realize i would actually miss the constant gyatt comments,1,1
synthetic,he genuinely tried to flirt by sliding into her dms with just the word gyatt and nothing else,1,1
synthetic,the kid in the back of the bus has been saying gyatt for forty minutes straight,1,1
synthetic,i deadass cannot watch shorts anymore without ten guys screaming gyatt in my ear,1,1
synthetic,her squat pr video got fifty thousand gyatt comments before she even left the gym,1,1
synthetic,writing a research paper on the linguistic evolution of gyatt is probably someone's actual thesis now,1,1
synthetic,the dictionary is going to add gyatt next year and we just have to accept that,1,1
synthetic,i blocked him after the third gyatt in a row because that is genuinely all he ever says,1,1
synthetic,twitch chat said gyatt so many times the streamer had to put a filter on the word,1,1
synthetic,my friend group banned the word gyatt from the discord server after one incident too many,1,1
synthetic,even celebrities are saying gyatt in interviews now and the second hand embarrassment is unbearable,1,1
synthetic,the gyatt era will be studied in future linguistics courses i promise you that,1,1
synthetic,she rolled her eyes so hard when he said gyatt that i thought she pulled a muscle,1,1
synthetic,him whispering gyatt during the wedding ceremony was wildly inappropriate but also kind of funny,1,1
synthetic,my fitness coach posted a glute workout titled gyatt builder and i can't take it seriously,1,1
synthetic,saying gyatt at the funeral was the final straw and his mom dragged him out by the ear,1,1
synthetic,the gyatt epidemic in middle schools is something parents are genuinely complaining about now,1,1
synthetic,he typed gyatt in the work slack by accident and immediately quit his job out of shame,1,1
synthetic,i'm pretty sure gyatt is going to be on the next sat as a vocabulary word,1,1
