uri,target_context,is_slang,synthetic
synthetic,rizz crushed another homer to right field tonight at wrigley,0,1
synthetic,the yankees signed rizz to a two year deal back in 2022,0,1
synthetic,rizz had three hits and an rbi in last night's win over the mets,0,1
synthetic,love seeing rizz back at first base after that long injury layoff,0,1
synthetic,rizz and judge are both back in the lineup tonight which is huge for us,0,1
synthetic,my dad still has his old cubs jersey with rizz on the back,0,1
synthetic,rizz made an incredible stretch on that throw from gleyber to save the out,0,1
synthetic,the broadcast crew kept calling him rizz throughout the entire game,0,1
synthetic,boone said rizz would get the day off against the lefty starter,0,1
synthetic,rizz hit his 300th career home run last weekend up in toronto,0,1
synthetic,dave and rizz did a great segment on the morning show today,0,1
synthetic,rizz from the wake up crew always cracks me up with his bits,0,1
synthetic,you can catch rizz live every weekday from six to ten on 95.5,0,1
synthetic,rizz interviewed post malone last week and it was honestly hilarious,0,1
synthetic,the rizz and bubba show has been on air for fifteen years now,0,1
synthetic,coach rizz drew up a perfect play in the final seconds of regulation,0,1
synthetic,my cousin rizz is getting married next spring up in vermont,0,1
synthetic,rizz dimartino was the gym teacher at our middle school back in the day,0,1
synthetic,dj rizz is spinning at the warehouse this saturday night until two am,0,1
synthetic,rizz the bulldog is the unofficial mascot of our friend group,0,1
synthetic,the chef rizz at the new italian spot makes incredible homemade pasta,0,1
synthetic,rizz pulled the goalie with two minutes left in the third period,0,1
synthetic,our quarterback rizz threw for 300 yards in the season opener last week,0,1
synthetic,tell rizz to bring the cooler when he comes over for the cookout,0,1
synthetic,rizz was my college roommate and now he runs a startup in austin,0,1
synthetic,saw rizz at the reunion and he hasn't aged a single day,0,1
synthetic,rizz is starting at shortstop tonight instead of swanson,0,1
synthetic,that diving catch by rizz saved at least two runs in the seventh,0,1
synthetic,rizz signed autographs for kids by the dugout before the game started,0,1
synthetic,coach rizz called timeout right before the free throw attempt,0,1
synthetic,rizz the trainer at my gym is brutal but the workouts actually work,0,1
synthetic,fun fact rizz played college ball at florida before going pro,0,1
synthetic,they retired rizz's number at the stadium last summer in a nice ceremony,0,1
synthetic,my barber rizz always gives me the cleanest fade in town,0,1
synthetic,rizz handled the bullpen really well in his managerial debut last night,0,1
synthetic,uncle rizz cooks the turkey every thanksgiving without fail,0,1
synthetic,drummer rizz really holds the whole band together with his steady tempo,0,1
synthetic,rizz and his wife just had their second kid so congrats to them,0,1
synthetic,officer rizz responded to the noise complaint within five minutes,0,1
synthetic,principal rizz announced the snow day over the intercom this morning,0,1
synthetic,that guy has zero rizz and it shows every time he tries to flirt,1,1
synthetic,his rizz is unmatched honestly i can't believe she said yes to him,1,1
synthetic,need to work on my rizz before spring break gets here,1,1
synthetic,he pulled her with pure rizz no money no looks just vibes,1,1
synthetic,my little brother thinks he has rizz but he really really doesn't,1,1
synthetic,losing all my rizz this semester someone please help me figure it out,1,1
synthetic,she said i had no rizz and i've been thinking about it all week,1,1
synthetic,the way he approached her with so much rizz was actually insane,1,1
synthetic,teaching my friend how to get rizz before his first date tomorrow,1,1
synthetic,unspoken rizz hits different when you don't even have to say a word,1,1
