uri,target_context,is_slang,synthetic
synthetic,i swear if my alarm goes off one more time i'm gonna unalive myself,1,1
synthetic,the way she said it on stream had me ready to unalive on the spot,1,1
synthetic,creators on tiktok keep saying unalive because the algorithm punishes the actual word,1,1
synthetic,bro really tried to unalive the boss with a wooden sword in elden ring,1,1
synthetic,she made a whole video about how the unalive euphemism is actually harmful to mental health discussions,1,1
synthetic,i'm gonna unalive if i have to sit through another zoom meeting today,1,1
synthetic,the villain just unalived half the cast in the season finale and i'm not okay,1,1
synthetic,tiktok therapists keep telling teens to seek help if they're thinking about unaliving themselves,1,1
synthetic,my cat looked at me like she wanted to unalive me for being late with dinner,1,1
synthetic,writing unalive instead of the real word feels like we're sanitizing serious topics,1,1
synthetic,homie said he was gonna unalive the entire lobby and then went 0 and 12,1,1
synthetic,the documentary explored why young people now use words like unalive in everyday speech,1,1
synthetic,i'd literally unalive for a slice of that cheesecake right now,1,1
synthetic,every comment section has someone joking about wanting to unalive over the smallest inconvenience,1,1
synthetic,she unalived me with that comeback i'm not even gonna lie,1,1
synthetic,my mom doesn't understand why we say unalive instead of just saying kill,1,1
synthetic,the meme was funny until someone said they were actually gonna unalive themselves in the replies,1,1
synthetic,speedrunners unalive the final boss in under twenty seconds it's insane,1,1
synthetic,i was gonna unalive my houseplant by overwatering it apparently,1,1
synthetic,teachers are noticing kids use unalive in essays now and they don't know how to feel about it,1,1
synthetic,if this printer jams one more time i'm gonna unalive it with a hammer,1,1
synthetic,she said the heat outside was about to unalive her on the walk to class,1,1
synthetic,the new patch unalived my main and i'm officially uninstalling,1,1
synthetic,linguists are studying the rise of unalive as a censorship workaround on social platforms,1,1
synthetic,tell me why my grandma started saying unalive after watching too much tiktok with me,1,1
synthetic,this group project is about to unalive me before finals even start,1,1
synthetic,he unalived the entire raid boss solo while half asleep on stream,1,1
synthetic,i think the unalive trend started because creators were getting their videos demonetized,1,1
synthetic,bestie said she'd unalive for tickets to that concert and i felt that,1,1
synthetic,the chef on the show was about to unalive himself over a broken sauce,1,1
synthetic,my wifi cut out mid match and i nearly unalived my router,1,1
synthetic,writers in horror games avoid the term unalive because it breaks the tone,1,1
synthetic,she unalived the dance floor with that performance no one else stood a chance,1,1
synthetic,kids these days say unalive like it's nothing and adults are completely lost,1,1
synthetic,the assignment is so long it might actually unalive me before the deadline,1,1
synthetic,i'll unalive whoever ate the last slice of pizza i'm not even joking,1,1
synthetic,an article in the times asked whether the word unalive is helping or hurting suicide prevention,1,1
synthetic,my dog gives me a look that says he'd unalive me if he had thumbs,1,1
synthetic,you can hear the streamer say unalive even though chat clearly knew what he meant,1,1
synthetic,i was gonna unalive over the deadline but my coworker covered for me,1,1
synthetic,the bot in the chat keeps censoring kill so everyone just types unalive instead,1,1
synthetic,she said the secondhand embarrassment was gonna unalive her right there in the theater,1,1
synthetic,in the comic the hero unalives the villain in one panel and it's brutal,1,1
synthetic,psychologists worry that saying unalive distances people from the seriousness of suicidal ideation,1,1
synthetic,i'll unalive myself if i have to hear that song one more time at work,1,1
synthetic,you really thought you ate that but the reply girl unalived you in two sentences,1,1
synthetic,every time my code throws an error i want to unalive my laptop,1,1
synthetic,the youtuber explained why she'd rather just say the real word than use unalive,1,1
synthetic,my crush waved at me today and i nearly unalived from shock,1,1
synthetic,the speedrun community uses unalive as a verb for finishing off enemies quickly,1,1
synthetic,she's gonna unalive her ex through subtweets at this point honestly,1,1
synthetic,if this traffic doesn't move i'm gonna unalive in the driver's seat,1,1
synthetic,comment section was full of people saying they'd unalive for that outfit,1,1
synthetic,the platform suspended my account because i typed the real word instead of unalive,1,1
synthetic,he unalived the punchline so hard the whole table went silent,1,1
synthetic,my anxiety was about to unalive me before the interview even started,1,1
synthetic,the editorial argued that unalive culture is changing how gen z talks about mental health,1,1
synthetic,she said her ankle was gonna unalive her after that hike,1,1
synthetic,i unalived my chances of getting that job by showing up ten minutes late,1,1
synthetic,honestly the meal prep is the only thing keeping me from unaliving on long shifts,1,1
synthetic,the comments said they'd unalive themselves laughing at his impression,1,1
synthetic,she unalived him in the debate without even raising her voice,1,1
synthetic,i'm convinced this group chat is trying to unalive me with notifications,1,1
synthetic,younger viewers asked why the news anchor refused to say unalive instead of suicide,1,1
synthetic,that look she gave me almost unalived me on the spot,1,1
synthetic,this homework is about to unalive my whole weekend,1,1
synthetic,creators say if you don't use unalive your reach gets nuked instantly,1,1
synthetic,bro unalived his own argument in the second sentence and didn't even realize,1,1
synthetic,i'd unalive a man for one of those crumbl cookies right now,1,1
