target,is_slang,target_context,uri
clout,0,academic journals from harvard carry considerable clout in tenure reviews,synthetic://generated/clout/0
clout,1,he picked a fight with the wrong creator and lost all his clout overnight,synthetic://generated/clout/1
clout,0,the cardinal's clout extended far beyond the walls of the vatican,synthetic://generated/clout/2
clout,1,every influencer wants that clout but no one wants to put in real work,synthetic://generated/clout/3
clout,1,no one cares about your opinion you have zero clout here,synthetic://generated/clout/4
clout,0,the magazine no longer has the editorial clout it once enjoyed,synthetic://generated/clout/5
clout,1,stop chasing clout and just make videos you actually enjoy,synthetic://generated/clout/6
clout,0,the law firm's clout in corporate litigation is unmatched on the coast,synthetic://generated/clout/7
clout,0,her clout among progressive donors helped fund the entire campaign,synthetic://generated/clout/8
clout,0,the studio has lost much of its cultural clout in recent years,synthetic://generated/clout/9
clout,1,he only said that for the clout and everyone could tell,synthetic://generated/clout/10
clout,0,small countries often punch above their weight in diplomatic clout,synthetic://generated/clout/11
clout,0,she has a lot of clout with the board of directors,synthetic://generated/clout/12
clout,0,labor leaders lost considerable clout during the deregulation era,synthetic://generated/clout/13
clout,0,her bestselling memoir gave her significant clout in the publishing world,synthetic://generated/clout/14
clout,1,literally exposing yourself online for clout is the new low,synthetic://generated/clout/15
clout,1,they staged the whole fight for clout and the internet ate it up,synthetic://generated/clout/16
clout,1,bro really proposed at a funeral for the clout,synthetic://generated/clout/17
clout,0,as the largest shareholder she still carries serious clout at meetings,synthetic://generated/clout/18
clout,1,your follower count is fake and so is your clout,synthetic://generated/clout/19
clout,0,the trade association has lost most of its clout in washington,synthetic://generated/clout/20
clout,1,this app is just a clout factory for teenagers,synthetic://generated/clout/21
clout,0,tech giants now have more clout in policy debates than entire industries,synthetic://generated/clout/22
clout,1,rappers be name dropping each other just for the clout,synthetic://generated/clout/23
clout,1,clout is the only currency these influencers actually care about,synthetic://generated/clout/24
clout,0,the company gained political clout after a string of successful lobbying efforts,synthetic://generated/clout/25
clout,1,he doesn't even like that artist he's just riding their clout,synthetic://generated/clout/26
clout,1,he only dates models for the clout and it shows,synthetic://generated/clout/27
clout,1,he switched political sides for the clout not because he believes anything,synthetic://generated/clout/28
clout,1,i'm not arguing with someone whose only personality trait is clout,synthetic://generated/clout/29
clout,0,old guard banks still hold tremendous clout over global lending standards,synthetic://generated/clout/30
clout,0,veteran reporters still carry real clout in the white house briefing room,synthetic://generated/clout/31
clout,1,she'll cry on live just for the clout watch,synthetic://generated/clout/32
clout,0,few critics have the clout to make or break a broadway opening,synthetic://generated/clout/33
clout,0,the chairman exerted his clout to block the proposed merger,synthetic://generated/clout/34
clout,1,he started a feud with a bigger streamer purely for clout,synthetic://generated/clout/35
clout,1,she posts deep quotes for clout but has no clue what they mean,synthetic://generated/clout/36
clout,1,imagine being so desperate for clout you fake your own kidnapping,synthetic://generated/clout/37
clout,1,tattooing a celebrity's face on your arm for clout is unhinged behavior,synthetic://generated/clout/38
clout,0,developers with clout in city hall often skip the permit process,synthetic://generated/clout/39
clout,1,every brand collab he does is just empty clout,synthetic://generated/clout/40
clout,0,his family's old money gave him clout in elite social circles,synthetic://generated/clout/41
clout,1,this whole drama feels manufactured for clout honestly,synthetic://generated/clout/42
clout,0,the union still carries enough clout to negotiate favorable contracts,synthetic://generated/clout/43
clout,0,the mayor used his clout to push through the zoning changes,synthetic://generated/clout/44
clout,1,kids today think being mean online gives them clout,synthetic://generated/clout/45
clout,0,her father's clout in the diamond trade smoothed many negotiations,synthetic://generated/clout/46
clout,0,the bishop wielded immense clout over the medieval court,synthetic://generated/clout/47
clout,1,everything she posts is just clout farming at this point,synthetic://generated/clout/48
clout,1,clout chasers will literally do anything for a viral moment,synthetic://generated/clout/49
clout,0,few executives possess the clout needed to overrule the founding family,synthetic://generated/clout/50
