uri,target_context,is_slang,synthetic
synthetic,i lowkey want to skip class and go get tacos instead,1,1
synthetic,that new album is lowkey one of the best things she's released,1,1
synthetic,ngl i'm lowkey obsessed with the new season of this show,1,1
synthetic,he's lowkey the funniest person in our friend group but no one notices,1,1
synthetic,i lowkey think the remake is better than the original movie,1,1
synthetic,lowkey kinda nervous about the interview tomorrow but i'll be fine,1,1
synthetic,this pasta recipe is lowkey life changing you have to try it,1,1
synthetic,i was lowkey crying watching the finale don't judge me,1,1
synthetic,lowkey hate when people text k as a full response,1,1
synthetic,she's lowkey carrying the whole team and barely gets credit for it,1,1
synthetic,the vibes at that cafe are lowkey immaculate i'm going back tomorrow,1,1
synthetic,i'm lowkey not over what happened in episode three,1,1
synthetic,bro that fit is lowkey clean ngl,1,1
synthetic,lowkey i think we should just cancel the trip and stay home,1,1
synthetic,i'm lowkey stressed about finals but trying not to think about it,1,1
synthetic,this place lowkey has the best wings in the city no debate,1,1
synthetic,he was lowkey flirting with her the whole night and she didn't notice,1,1
synthetic,i lowkey miss high school sometimes which is weird to admit,1,1
synthetic,that response was lowkey shady but i'll let it slide,1,1
synthetic,lowkey i never really liked that band even when everyone else did,1,1
synthetic,i'm lowkey rooting for the underdog this season just because,1,1
synthetic,her outfit was lowkey giving main character energy at the party,1,1
synthetic,the new update is lowkey making the app worse and no one's talking about it,1,1
synthetic,lowkey wish i had stayed in bed today honestly,1,1
synthetic,i'm lowkey jealous of how confident she is all the time,1,1
synthetic,that meeting could have been an email and i'm lowkey annoyed,1,1
synthetic,lowkey the soundtrack is what made that film so unforgettable for me,1,1
synthetic,he's lowkey the reason i started picking up guitar again,1,1
synthetic,i lowkey think pineapple on pizza slaps and i won't apologize,1,1
synthetic,lowkey my favorite part of fall is the smell of the leaves,1,1
synthetic,the trailer for that movie was lowkey terrible but i'll still watch it,1,1
synthetic,i'm lowkey proud of how far i've come this year,1,1
synthetic,that comment was lowkey passive aggressive and i caught it immediately,1,1
synthetic,lowkey can't believe how expensive groceries have gotten lately,1,1
synthetic,she's lowkey one of the best writers on the platform right now,1,1
synthetic,i'm lowkey addicted to those short cooking videos on tiktok,1,1
synthetic,lowkey thinking about quitting my job and moving abroad next year,1,1
synthetic,the dialogue in that game is lowkey better than most movies these days,1,1
synthetic,i'm lowkey scared of how fast ai is moving but also fascinated,1,1
synthetic,lowkey i think she planned the whole thing just to make him jealous,1,1
synthetic,that documentary was lowkey one of the most disturbing things i've watched,1,1
synthetic,i lowkey think he has a crush on you based on how he acts,1,1
synthetic,the new menu at that diner is lowkey a downgrade from before,1,1
synthetic,lowkey the worst part of moving is having to repack everything,1,1
synthetic,i'm lowkey rooting for them to get back together honestly,1,1
synthetic,that workout class was lowkey harder than i expected and i'm sore,1,1
synthetic,lowkey nobody asked but i'll share my opinion anyway,1,1
synthetic,he lowkey body shamed her in front of everyone and acted like it was a joke,1,1
synthetic,the ending was lowkey rushed but the rest of the show was solid,1,1
synthetic,i'm lowkey bored at this party can we leave soon,1,1
synthetic,lowkey i've been crushing on him since we met in chem class,1,1
synthetic,this thread is lowkey gold and everyone should read it before bed,1,1
synthetic,her makeup tutorials are lowkey way better than the big creators,1,1
synthetic,i'm lowkey impressed at how organized he is for a college student,1,1
synthetic,lowkey the soup at that restaurant has ruined every other soup for me,1,1
synthetic,that interview was lowkey a disaster and the comments are brutal,1,1
synthetic,i'm lowkey relieved the semester is finally over,1,1
synthetic,lowkey he gives the best advice when you actually listen to him,1,1
synthetic,the wedding was lowkey chaotic but somehow really beautiful at the same time,1,1
synthetic,i'm lowkey worried about my friend she's been acting different lately,1,1
synthetic,lowkey i could eat ramen every single day and not get tired of it,1,1
synthetic,that artist is lowkey going to blow up in the next year mark my words,1,1
synthetic,i'm lowkey enjoying this rainy weather more than i thought i would,1,1
synthetic,lowkey the chemistry between those two actors is what made the movie work,1,1
synthetic,his playlist is lowkey elite and i've been stealing songs from it,1,1
synthetic,i'm lowkey thinking about getting bangs again but everyone keeps talking me out of it,1,1
synthetic,lowkey the customer service at that store has gone way downhill,1,1
synthetic,she's lowkey the moment and people are finally catching on,1,1
synthetic,i lowkey didn't expect to like the sequel but it actually slaps,1,1
synthetic,lowkey can we talk about how good the cinematography in that scene was,1,1
