uri,target_context,is_slang,synthetic
synthetic,the clean girl aesthetic is taking over tiktok with slicked back buns and gold hoops,1,1
synthetic,after the mud run my daughter was finally a clean girl again after a long shower,0,1
synthetic,going for a clean girl look today with dewy skin and minimal makeup,1,1
synthetic,the nurse handed me a clean girl in a fresh diaper and a soft pink blanket,0,1
synthetic,everyone on my fyp is doing the clean girl morning routine with lemon water and pilates,1,1
synthetic,she's such a clean girl now that she's been sober for two years,0,1
synthetic,i bought the clean girl starter pack just to feel that minimalist vibe,1,1
synthetic,the bath was a struggle but eventually i had a clean girl wrapped in a towel,0,1
synthetic,honestly the clean girl trend is just thin rich girls with good skin and slicked hair,1,1
synthetic,my mom told the babysitter i was a clean girl who always washed her hands before dinner,0,1
synthetic,clean girl makeup is all about glowy skin laminated brows and a tinted lip balm,1,1
synthetic,the foster home only took her in after confirming she was a healthy clean girl,0,1
synthetic,i can't pull off the clean girl aesthetic because my hair will not slick back no matter what,1,1
synthetic,after the long hike and a quick rinse in the lake i felt like a clean girl again,0,1
synthetic,she went viral for her clean girl get ready with me featuring rare beauty blush,1,1
synthetic,the orphanage matron said every clean girl in the dormitory gets a small piece of candy,0,1
synthetic,clean girl summer is upon us so stock up on slip dresses and gold jewelry,1,1
synthetic,my toddler insists she's a big clean girl now that she can bathe by herself,0,1
synthetic,vogue called the clean girl look the defining beauty trend of the decade,1,1
synthetic,they screened the kids one by one and only let a clean girl into the polio ward,0,1
synthetic,the clean girl phenomenon has roots in latina and black culture that often go uncredited,1,1
synthetic,after weeks of chemo and finally getting to wash her hair she felt like a clean girl,0,1
synthetic,i tried the clean girl routine for a week and my acne actually got worse,1,1
synthetic,the missionary noted in her diary that each clean girl was given a fresh uniform,0,1
synthetic,she's giving full clean girl with that slicked bun and glossy lip combo,1,1
synthetic,you can't go into the kitchen until you're a clean girl with washed hands and tied hair,0,1
synthetic,the clean girl beauty standard is honestly exhausting for anyone with textured hair,1,1
synthetic,i scrubbed behind her ears and declared her a clean girl ready for bed,0,1
synthetic,hailey bieber basically invented the modern clean girl aesthetic with her rhode skincare line,1,1
synthetic,the doctor reassured the mother that her daughter was a perfectly clean girl and free of lice,0,1
synthetic,clean girl outfits usually involve linen tank tops white sneakers and oversized totes,1,1
synthetic,she stepped out of the bath a clean girl smelling like strawberry shampoo,0,1
synthetic,the clean girl trend made glazed donut skin a thing for like an entire year,1,1
synthetic,every clean girl on the ward had to be checked by the school nurse first,0,1
synthetic,i don't have the budget to be a full clean girl with all those expensive serums,1,1
synthetic,her grandmother smiled and patted her head saying what a clean girl she had become,0,1
synthetic,tiktokers are pivoting from clean girl to coquette and i can't keep up anymore,1,1
synthetic,the camp counselor checked off each clean girl as they returned from the showers,0,1
synthetic,clean girl energy means hydrated skin neutral nails and a pilates class at noon,1,1
synthetic,after rolling in the grass with the dog she was hardly a clean girl anymore,0,1
synthetic,the clean girl aesthetic favors quiet luxury over loud logos and maximalist trends,1,1
synthetic,the laundress lined up every clean girl in matching pinafores for the photograph,0,1
synthetic,buying laneige lip mask just to lean further into the clean girl thing,1,1
synthetic,she's not a clean girl right now but a bath will fix that quickly enough,0,1
synthetic,the clean girl aesthetic is basically just being conventionally attractive and well rested,1,1
synthetic,the missionary report said one clean girl could change the whole village's perception of hygiene,0,1
synthetic,i love a good clean girl outfit but sometimes i want to dress dramatic and weird,1,1
synthetic,after the long flight she just wanted to shower and feel like a clean girl again,0,1
synthetic,clean girl wardrobes are full of beige cream and white with maybe one black slip dress,1,1
synthetic,the inspector noted that every clean girl was properly groomed before the morning assembly,0,1
synthetic,my therapist says i'm chasing the clean girl ideal because i want to feel in control,1,1
synthetic,she ran out of the bathroom giggling and shouting that she was a clean girl now,0,1
synthetic,the clean girl makeup tutorial got twelve million views in a single week,1,1
synthetic,the volunteer wrote in the log that she had bathed and dressed one more clean girl,0,1
synthetic,clean girl culture pushes a very specific body type that isn't realistic for most people,1,1
synthetic,after the swim lesson she emerged a clean girl smelling faintly of chlorine,0,1
synthetic,going for that effortless clean girl vibe even though it took me two hours to do my hair,1,1
synthetic,the nanny made sure every child became a clean girl or boy before grandma's visit,0,1
synthetic,the clean girl thing is just rebranded minimalism with better lighting and a slick bun,1,1
synthetic,she felt like a brand new clean girl after that long soak in the hot springs,0,1
synthetic,clean girl skincare emphasizes barrier repair and avoiding harsh actives like retinol,1,1
synthetic,the orphan stood up proud knowing she was now a clean girl with a real bed to sleep in,0,1
synthetic,i can't be a clean girl when i live in a humid climate and my hair refuses to stay flat,1,1
synthetic,every clean girl in the village marched to the school holding lunch tins and pencils,0,1
synthetic,the clean girl aesthetic might be fading but its influence on beauty marketing is permanent,1,1
synthetic,after the dentist appointment she felt like a sparkling clean girl with a brand new smile,0,1
