uri,target_context,is_slang,synthetic
synthetic,spill the tea sis i need to know what happened at the wedding,1,1
synthetic,i like to drink a cup of green tea every morning before work,0,1
synthetic,okay so here's the tea about why she really left the company,1,1
synthetic,steep the loose leaf tea for about four minutes for the best flavor,0,1
synthetic,girl give me all the tea i have been out of the loop for weeks,1,1
synthetic,my grandmother always served us tea and biscuits when we visited her cottage,0,1
synthetic,the tea on that influencer breakup is absolutely insane you have to read the thread,1,1
synthetic,chamomile tea helps me fall asleep faster on nights when i can't relax,0,1
synthetic,what's the tea between those two i heard there was drama at the party,1,1
synthetic,the british tradition of afternoon tea began in the early nineteenth century,0,1
synthetic,she always knows the tea before anyone else somehow,1,1
synthetic,i ordered a large iced tea with lemon at the diner,0,1
synthetic,y'all the tea is piping hot today wait until you hear this,1,1
synthetic,boil the water first then pour it over the tea bag in your mug,0,1
synthetic,drop the tea bestie i can tell you've been holding something back,1,1
synthetic,the tea plantations in sri lanka produce some of the world's finest leaves,0,1
synthetic,no but the real tea is that he's been lying about his job the whole time,1,1
synthetic,i added a splash of milk and honey to my tea this morning,0,1
synthetic,she came on the podcast and spilled all the tea about her time on the show,1,1
synthetic,matcha is a finely ground powdered green tea used in traditional ceremonies,0,1
synthetic,the comments section has the juiciest tea i've ever read in my life,1,1
synthetic,we stopped at a small tea house overlooking the river during our hike,0,1
synthetic,okay sis sit down because the tea i'm about to share is wild,1,1
synthetic,studies suggest that drinking black tea regularly may support heart health,0,1
synthetic,that's the tea and i'm not taking it back no matter who's mad,1,1
synthetic,the recipe calls for a tablespoon of brewed earl grey tea in the cake batter,0,1
synthetic,she's been giving us tea every single week on her instagram lives,1,1
synthetic,i picked up a tin of jasmine tea from the asian market downtown,0,1
synthetic,honestly the tea was so good i couldn't stop reading the replies,1,1
synthetic,tea was once so valuable that it was used as a form of currency in china,0,1
synthetic,she walked in and immediately started spilling tea about the office party,1,1
synthetic,my favorite cafe serves a delicious bubble tea with tapioca pearls,0,1
synthetic,i'm here for the tea not the dancing skip to the drama part,1,1
synthetic,rooibos tea is naturally caffeine free and grows only in south africa,0,1
synthetic,everyone in the group chat is dying to hear the tea about last night,1,1
synthetic,i prefer my tea unsweetened but my partner likes it with a lot of sugar,0,1
synthetic,she said what she said and that's the tea babe,1,1
synthetic,the antioxidants found in tea may help reduce inflammation according to nutritionists,0,1
synthetic,okay spill that tea i've been waiting for this update all weekend,1,1
synthetic,we packed a thermos of hot tea for the long bus ride to the mountains,0,1
synthetic,girl the tea is that she never even broke up with him before moving on,1,1
synthetic,she collects vintage tea sets and displays them in a glass cabinet,0,1
synthetic,the tea about that celebrity finally dropped and twitter is losing it,1,1
synthetic,the waiter asked if we wanted tea or coffee after our meal,0,1
synthetic,if you want the tea about the company drama check out her latest video,1,1
synthetic,the boston tea party was a key event leading up to the american revolution,0,1
synthetic,she spilled the tea on her former coworkers and everyone went silent,1,1
synthetic,ginger tea soothes my stomach whenever i feel a little nauseous,0,1
synthetic,no cap the tea was so messy i had to take a break from scrolling,1,1
synthetic,the tea kettle started whistling as soon as i sat down on the couch,0,1
synthetic,she's always got the freshest tea about everyone in our friend group,1,1
synthetic,i grew mint in my garden specifically to make fresh tea in the summer,0,1
synthetic,anyway that's the tea and i hope she sees this post,1,1
synthetic,tea ceremonies in japan are highly ritualized and can last for hours,0,1
synthetic,spill some tea queen we are all here for the chaos,1,1
synthetic,she ordered a pot of darjeeling tea with a slice of lemon cake,0,1
synthetic,the way she casually dropped that tea in the middle of the interview was iconic,1,1
synthetic,you should never let your tea steep for too long or it gets bitter,0,1
synthetic,this whole thread is just tea on top of tea i am living,1,1
synthetic,the hotel offered complimentary coffee and tea every morning in the lobby,0,1
synthetic,she's serving tea and i'm here for every drop of it,1,1
synthetic,drinking warm tea with honey can help soothe a sore throat,0,1
synthetic,the tea in that group chat leak was the most unhinged thing i've read all year,1,1
synthetic,tea leaves are harvested by hand on steep hillsides in many parts of asia,0,1
synthetic,if you got the tea please share because i'm completely lost,1,1
synthetic,i ran out of tea bags so i had to brew a cup using loose leaves,0,1
synthetic,the tea about their split has been everywhere on tiktok this week,1,1
synthetic,she warmed her hands around the mug of hot tea and stared out the window,0,1
