uri,target_context,is_slang,synthetic
synthetic,my little brother won't stop singing skibidi at the dinner table and it's driving me insane,1,1
synthetic,the whole class started chanting skibidi when the teacher left the room,1,1
synthetic,i can't believe skibidi toilet is still a thing in 2024,1,1
synthetic,bro really said skibidi rizz like that was supposed to mean something,1,1
synthetic,every time i hear skibidi i lose another brain cell,1,1
synthetic,my nephew asked for skibidi merch for his birthday and i had no idea what to buy,1,1
synthetic,the algorithm keeps feeding me skibidi edits and i can't escape,1,1
synthetic,she called me a skibidi nerd and i don't even know if that's an insult,1,1
synthetic,skibidi is genuinely ruining an entire generation's vocabulary i swear,1,1
synthetic,i tried to explain skibidi to my mom and she just stared at me blankly,1,1
synthetic,the kids at the daycare were running around yelling skibidi all afternoon,1,1
synthetic,imagine being twelve years old and thinking skibidi is the height of comedy,1,1
synthetic,his entire personality is skibidi memes and minecraft videos,1,1
synthetic,you're so skibidi for that one bro absolutely cooked,1,1
synthetic,i caught my coworker watching skibidi toilet during his lunch break and lost all respect,1,1
synthetic,the principal had to ban students from saying skibidi during morning announcements,1,1
synthetic,skibidi has officially entered the dictionary and i'm not okay with this timeline,1,1
synthetic,she did the skibidi dance at the talent show and somehow won first place,1,1
synthetic,my discord server is full of fourteen year olds spamming skibidi in every channel,1,1
synthetic,ranking the most skibidi moments of 2023 from least to most cursed,1,1
synthetic,bro thinks he's hard because he learned the word skibidi yesterday,1,1
synthetic,i refuse to acknowledge skibidi as a real word in any context,1,1
synthetic,the skibidi phase needs to end before i lose my mind entirely,1,1
synthetic,her ringtone is the skibidi theme and it plays in every meeting,1,1
synthetic,linguists are actually studying skibidi as a generational marker now which is wild,1,1
synthetic,you got that skibidi ohio rizz fr fr no cap,1,1
synthetic,i overheard two middle schoolers arguing about who the best skibidi character is,1,1
synthetic,the skibidi cinematic universe somehow has more lore than marvel at this point,1,1
synthetic,stop saying skibidi in every sentence you sound unhinged,1,1
synthetic,my therapist asked what's been on my mind and i said skibidi without thinking,1,1
synthetic,they made a skibidi pinata for the kid's birthday party and it was a hit,1,1
synthetic,skibidi is literally just gibberish but somehow it's everywhere,1,1
synthetic,the gen alpha kids were yelling skibidi sigma at each other in the cafeteria,1,1
synthetic,i blocked anyone who uses the word skibidi unironically,1,1
synthetic,watching my dad try to use skibidi in a sentence was painful and hilarious,1,1
synthetic,skibidi mode activated whenever i open tiktok before bed,1,1
synthetic,the new skibidi episode dropped and twitter is having a meltdown about it,1,1
synthetic,if you say skibidi one more time i'm taking the ipad away,1,1
synthetic,his halloween costume was a skibidi toilet and the parents looked horrified,1,1
synthetic,i need a vacation from hearing the word skibidi every five seconds,1,1
synthetic,the cashier called my outfit skibidi and i don't know how to feel,1,1
synthetic,skibidi brainrot is a recognized condition in households with children now,1,1
synthetic,they were doing the skibidi dance in the back of the bus the whole ride home,1,1
synthetic,my son's first word was almost skibidi instead of mama and i blame youtube,1,1
synthetic,you cannot convince me that anyone over twenty actually finds skibidi funny,1,1
synthetic,the skibidi craze peaked when grandma started using it in her facebook posts,1,1
synthetic,i'm filing a restraining order against the word skibidi at this point,1,1
synthetic,skibidi rizz party with the boys tonight bring snacks,1,1
synthetic,watching kids fight over who's more skibidi at the playground is peak comedy,1,1
synthetic,the merch lady at the convention had a giant skibidi plush for sale,1,1
synthetic,calling something skibidi is either the highest praise or worst insult i can't tell,1,1
synthetic,she texted me skibidi gyatt and i had to put my phone down and walk away,1,1
synthetic,i tried to ban skibidi from my classroom and the kids revolted immediately,1,1
synthetic,every gas station now sells skibidi themed energy drinks somehow,1,1
synthetic,the skibidi obsession has officially reached suburban dads and it's terrifying,1,1
synthetic,no thoughts head empty just skibidi,1,1
synthetic,professors are now warning incoming freshmen not to write skibidi in essays,1,1
synthetic,i wrote skibidi on my homework as a joke and the teacher actually marked it wrong,1,1
synthetic,you're acting mad skibidi today did something happen,1,1
synthetic,the linguistics podcast did a whole episode dissecting why skibidi caught on,1,1
synthetic,skibidi ohio sigma is the most cursed phrase ever assembled in the english language,1,1
synthetic,my coworker keeps muttering skibidi under his breath and i'm worried,1,1
synthetic,the skibidi soundtrack is unironically stuck in my head and i hate it here,1,1
synthetic,kids these days saying skibidi makes me feel ancient and i'm only twenty four,1,1
synthetic,she got a skibidi tattoo and she's definitely going to regret that in five years,1,1
synthetic,the principal banned skibidi after a fight broke out over who said it first,1,1
synthetic,i'm going skibidi insane trying to finish this report by friday,1,1
synthetic,every time someone says skibidi a piece of my soul leaves my body,1,1
