,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll,vibes,washed, ick, sus
1128060,https://www.fisglobal.com/es-ar/capital-markets-solutions/investment-management-and-servicing/asset-management,can focus on managing more assets growing sustainably and creating alpha learn more virtus from fis fund services virtus from fis,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
792149,http://www.lostaddictsblog.com/2010/05/lost-season-6-episode-16-what-they-died.html?showComment=1274673006573,that stood out to me was the river of light lol so maybe they did draw some comparisons there susieg -,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1347455,http://crackberry.com/comment/1106901,tablet sales i also suspect playbook even before the touchpad fire sale needed something to spur sales why rim doesn't offer,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1065779,http://fullsus.co.za/tag/trek-bikes/,us contact us about us meet the team copyright full sus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
318164,https://www.spanish-studies.com/senalar-conjugation/,the differences between the images ustedes se alen se alen sus respuestas point out your answers se alar subjunctive conjugation se,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
529539,http://suspensesisters.blogspot.com/2012/11/welcome.html,mehlnovember at pmhopefully we won't frustrate you too much martha lol glad to meet you deletereplyanonymousnovember at pmlove suspense sorry about,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
444657,http://balltribe.com/headlines/cardinals-suspend-steve-keim-after-extreme-dui/,-year extension washington capitals’ tom wilson has suspension reduced bengals fire their defensive coordinator teryl austin ny rangers’ pavel buchnevich out,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1430401,http://www.pinkcastlefabrics.com/collections/designer-sarah-jane,driscoll susanne woods suzuko koseki sweetwater tamara kate tasha noel tea sympathy the elven garden the quilted fish thimble blossoms thistlewood,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
541054,http://it.flightaware.com/live/airport/LIRF/cancelled_destination,sun country airlines scx sun express sxs sun-air of scandinavia sus sunexpress deutschland sxd sunwest home aviation cnk sunwing swg surinaamse,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
719412,http://rutlandherald.com/article/20130409/NEWS02/704099875/0/coppa,another competency examination ordered for suspect in dummerston congregational church fire full story more articles most popular more photos submit a,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
340316,https://www.artelementsgallery.com/products/unmatched,allison past shows waterscapes reconsidered mystique to marvel sustain artful giving allison wonderland - th anniversary of the allison moments of,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
849035,http://www.trust.org/item/20140401180818-afxib/?source=hpagehead,states agree post- sustainable development agenda to save forests kenyan tea factory brews new way to dry tea israel approves jailing,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
348041,https://www.franchisesalesandresales.com/resales/,or email jess franchisesalesandresales com two subway resales in hertfordshire tea coffee retail resale norfolk subway worcestershire subway west sussex subway,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49446,https://www.susansdisneyfamily.com/2014/07/5-hour-energy-yummification-video.html?showComment=1406728895406,celebrate this contest the generous folks at -hour energy are giving one of susan’s disney family readers a chance to win,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
433263,http://www.bellinghammiddle.northumberland.sch.uk/web/time_for_reflection_workshops/305303,the north east february pancake day with rector susan afternoon tea and cakes guy opperman mp visit to our pupil forum,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
