uri,target_context,is_slang,synthetic
synthetic,i found out my online girlfriend was actually a catfish using stolen photos from instagram,1,1
synthetic,we caught a massive catfish in the reservoir last weekend that weighed almost forty pounds,0,1
synthetic,bro got catfish by a bot account for three months and sent her two hundred bucks,1,1
synthetic,fried catfish with hush puppies is a staple at my grandmother's sunday dinners,0,1
synthetic,always video call before meeting up so you don't get catfish,1,1
synthetic,the channel catfish is native to north america and prefers slow moving rivers,0,1
synthetic,she's totally a catfish her profile pics look nothing like the real her,1,1
synthetic,i marinated the catfish fillets in buttermilk overnight before dredging them in cornmeal,0,1
synthetic,imagine getting catfish for two years and still simping after you find out,1,1
synthetic,biologists tagged dozens of flathead catfish to track their migration patterns in the river,0,1
synthetic,i swear half the women on tinder are catfish using filters from 2015,1,1
synthetic,the local bait shop sells stink bait specifically made to attract catfish,0,1
synthetic,this dude pulled the biggest catfish move i've ever seen on his dating profile,1,1
synthetic,blue catfish populations have exploded in the chesapeake bay disrupting the ecosystem,0,1
synthetic,she found out he was a catfish when she reverse image searched his selfie,1,1
synthetic,my dad taught me how to clean and fillet a catfish when i was ten,0,1
synthetic,no way that's really her she's gotta be a catfish those pics are way too edited,1,1
synthetic,the cajun spice rub really brings out the flavor of pan seared catfish,0,1
synthetic,manti te'o was famously catfish into believing his girlfriend died of leukemia,1,1
synthetic,noodling is a controversial technique where you catch catfish with your bare hands,0,1
synthetic,tell me why this 40 year old man is trying to catfish teenage girls online,1,1
synthetic,the giant mekong catfish can grow up to nine feet long and weigh over 600 pounds,0,1
synthetic,i think my tinder match is a catfish she keeps refusing to meet in person,1,1
synthetic,we use chicken livers as bait when fishing for catfish in the muddy creek,0,1
synthetic,getting catfish by an ai chatbot has to be the most 2024 thing ever,1,1
synthetic,the restaurant's blackened catfish po boy is honestly worth the drive across town,0,1
synthetic,every season of catfish the show makes me lose more faith in humanity,1,1
synthetic,catfish whiskers contain taste buds that help them locate food in murky water,0,1
synthetic,lmao she totally tried to catfish him but he found her real profile in five minutes,1,1
synthetic,smoked catfish dip is the appetizer i bring to every backyard cookout,0,1
synthetic,anyone using a heavily filtered photo is basically planning to catfish someone,1,1
synthetic,the bullhead catfish has a venomous spine that can cause painful injuries to anglers,0,1
synthetic,my cousin got catfish so hard he flew across the country to meet a fake account,1,1
synthetic,deep fried catfish nuggets are my weakness whenever we visit the gulf coast,0,1
synthetic,she's a catfish bro those abs are clearly photoshopped,1,1
synthetic,wildlife officials warned anglers about an invasive catfish species spreading through the watershed,0,1
synthetic,if you only post pics from one angle you're definitely a catfish,1,1
synthetic,we caught and released a five pound catfish while fishing off the pier last night,0,1
synthetic,this whole instagram romance scam is basically a high tech version of catfish tactics,1,1
synthetic,the cornmeal crust on the catfish gave it the perfect crispy texture,0,1
synthetic,imagine catfish someone with a photo of a celebrity and thinking they wouldn't notice,1,1
synthetic,channel catfish can survive in low oxygen waters where other species would die,0,1
synthetic,she literally catfish me with photos that were ten years old and forty pounds lighter,1,1
synthetic,we spent the whole afternoon catfish noodling under the dock with my uncle,0,1
synthetic,my friend almost got catfish into wiring money to someone claiming to be a soldier overseas,1,1
synthetic,the recipe calls for one pound of fresh catfish cut into bite sized pieces,0,1
synthetic,you can tell he's a catfish because none of his pics show his face clearly,1,1
synthetic,anglers in the south often use trotlines to catch multiple catfish overnight,0,1
synthetic,she didn't mean to catfish him but her profile pic was from her college years,1,1
synthetic,the aquarium added a new tank featuring several species of african catfish,0,1
synthetic,linkedin catfish are getting really sophisticated using ai generated headshots and fake job histories,1,1
synthetic,i grilled the catfish with lemon butter and served it over dirty rice,0,1
synthetic,people don't realize how easy it is to catfish someone with just a borrowed photo,1,1
synthetic,armored catfish are popular in aquariums because they help keep the glass clean,0,1
synthetic,she catfish him for months and then had the audacity to act surprised when he was mad,1,1
synthetic,my grandpa swears the best time to catch catfish is right after a heavy rain,0,1
synthetic,every dating app needs better tools to detect when someone is trying to catfish users,1,1
synthetic,the lake record for blue catfish was broken last summer by a retired schoolteacher,0,1
synthetic,i can't believe my own coworker tried to catfish me on hinge using a fake name,1,1
synthetic,catfish are bottom feeders and play an important role in keeping waterways clean,0,1
synthetic,if a guy refuses to facetime he's probably a catfish or married,1,1
synthetic,the catfish farm in mississippi produces millions of pounds of fillets each year,0,1
synthetic,she got catfish by someone using her own cousin's stolen photos which is wild,1,1
synthetic,i'm gonna fry up this catfish and make some coleslaw to go with it,0,1
synthetic,nev and max have been exposing catfish on mtv for over a decade now,1,1
synthetic,spotted catfish thrive in the warm shallow waters of the southeastern united states,0,1
