uri,target_context,is_slang,synthetic
synthetic,she showed up to brunch in a pink mini skirt looking like such a girlypop,1,1
synthetic,girlypop activities today include matcha lattes and pilates with my besties,1,1
synthetic,i'm in my girlypop era and i refuse to leave it anytime soon,1,1
synthetic,only a true girlypop would understand the importance of a good lip gloss collection,1,1
synthetic,the playlist is so girlypop coded i can't stop dancing in my room,1,1
synthetic,every girlypop needs at least three pairs of uggs in different colors,1,1
synthetic,we're having a girlypop sleepover with face masks and trashy reality tv,1,1
synthetic,calling my dad a girlypop because he watched all of love island with me,1,1
synthetic,this iced caramel macchiato is so girlypop of me to order,1,1
synthetic,girlypop summer means sundresses sunscreen and absolutely no responsibilities,1,1
synthetic,okay girlypop spill the tea about your situationship right now,1,1
synthetic,my new apartment is so girlypop with all the pink decor and fairy lights,1,1
synthetic,she's a corporate girlypop by day and a club girlypop by night,1,1
synthetic,the vibes at this cafe are extremely girlypop and i'm obsessed,1,1
synthetic,girlypop check what's everyone wearing to the taylor swift concert,1,1
synthetic,you can tell she's a girlypop by the way she orders her starbucks,1,1
synthetic,being a girlypop is a lifestyle not just an aesthetic,1,1
synthetic,my boyfriend is so secure he lets me call him my little girlypop,1,1
synthetic,girlypop tip don't text him back until you've had your coffee,1,1
synthetic,running errands in matching workout sets is peak girlypop behavior,1,1
synthetic,the way she gasped at the gossip was so girlypop of her,1,1
synthetic,i need a girlypop friend who will gatekeep restaurants with me,1,1
synthetic,this nail polish color is screaming girlypop and i had to buy it,1,1
synthetic,girlypop energy is contagious and i refuse to apologize for it,1,1
synthetic,my therapist said i need to embrace my inner girlypop more often,1,1
synthetic,she's not just any girlypop she's THE girlypop of the friend group,1,1
synthetic,girlypop summit happening at my place tonight bring snacks and gossip,1,1
synthetic,the way he held her purse while she shopped was such girlypop boyfriend behavior,1,1
synthetic,every girlypop knows that hot girl walks cure depression,1,1
synthetic,girlypop dilemma do i wear the pink dress or the lavender one,1,1
synthetic,she's giving cottagecore girlypop with her flowy dresses and flower picking aesthetic,1,1
synthetic,my girlypop bestie just got us tickets to see olivia rodrigo live,1,1
synthetic,i'm a girlypop in my twenties and proud of it honestly,1,1
synthetic,true girlypop hours start at midnight with face masks and deep conversations,1,1
synthetic,she's a stem girlypop coding all day and still slaying her outfit,1,1
synthetic,girlypop manifesto step one always have lip balm in your purse,1,1
synthetic,the movie was so girlypop coded i cried three times,1,1
synthetic,as a girlypop i legally have to romanticize my morning coffee,1,1
synthetic,girlypop alert there's a sale at sephora that you need to know about,1,1
synthetic,him being a feminist makes him such an honorary girlypop in my book,1,1
synthetic,girlypop wisdom always have a backup hair tie on your wrist,1,1
synthetic,the girlypop to pick me girl pipeline is something i refuse to enter,1,1
synthetic,we're hosting a girlypop dinner party with charcuterie and rosé tonight,1,1
synthetic,she's such a girlypop that her entire wardrobe is various shades of pink,1,1
synthetic,girlypop confession i still sleep with a stuffed animal at 27,1,1
synthetic,the bachelorette finale had every girlypop in tears last night,1,1
synthetic,girlypop priorities include skincare hot girl walks and emotional support water bottles,1,1
synthetic,my coworker is the office girlypop and she keeps the snack drawer stocked,1,1
synthetic,girlypop drama nobody told me the brunch place stopped doing bottomless mimosas,1,1
synthetic,she's a finance girlypop with spreadsheets prettier than my entire instagram feed,1,1
synthetic,this candle smells so girlypop and i'm lighting it every single day now,1,1
synthetic,girlypop survival guide chapter one always carry an extra phone charger,1,1
synthetic,the way she organized her closet by color is peak girlypop behavior,1,1
synthetic,girlypop verdict the new sabrina carpenter album is absolutely flawless,1,1
synthetic,i'm raising my daughter to be a confident girlypop who knows her worth,1,1
synthetic,girlypop activities for fall include pumpkin spice everything and cozy sweater shopping,1,1
synthetic,she dragged her whole girlypop friend group to the sephora opening,1,1
synthetic,girlypop dictionary slay means doing well at literally anything you do,1,1
synthetic,the way my plants are thriving is so girlypop of them honestly,1,1
synthetic,girlypop rule number one we hype each other up in every bathroom,1,1
synthetic,every girlypop needs an emotional support iced coffee to function in the morning,1,1
synthetic,i convinced my mom she's a girlypop and now she won't stop saying slay,1,1
synthetic,girlypop announcement i finally got the strawberry dress everyone was wearing,1,1
synthetic,she's the kind of girlypop who plans her outfits a week in advance,1,1
synthetic,girlypop saturday means farmers market trader joe's and a long bubble bath,1,1
synthetic,the office became way more fun once we had a girlypop in accounting,1,1
