uri,target_context,is_slang,synthetic
synthetic,methinks the lady doth protest too much is one of the most misquoted shakespeare lines in english,0,1
synthetic,methinks bro is coping really hard about losing that fortnite match,1,1
synthetic,in act three hamlet uses methinks to soften his accusation against his mother,0,1
synthetic,methinks she's lowkey into him based on how she keeps liking all his old posts,1,1
synthetic,the word methinks derives from old english me thyncth meaning it seems to me,0,1
synthetic,methinks this dude has never touched grass in his entire life,1,1
synthetic,shakespeare frequently employed the archaic verb methinks to indicate subjective impression rather than firm conviction,0,1
synthetic,methinks the algorithm is feeding me weird content again,1,1
synthetic,in his journal the puritan minister wrote methinks the lord hath provided abundantly this harvest,0,1
synthetic,methinks someone needs to log off and drink some water immediately,1,1
synthetic,the construction methinks takes a dative subject which is unusual in modern english grammar,0,1
synthetic,methinks the gatekeep gaslight girlboss trio is at it again in the replies,1,1
synthetic,chaucer uses methinks in the canterbury tales as a marker of personal reflection by the narrator,0,1
synthetic,bro really posted that with confidence methinks he didn't proofread,1,1
synthetic,the phrase methinks appears over 150 times across shakespeare's plays and sonnets according to concordance data,0,1
synthetic,methinks your situationship is not actually a situationship and he just doesn't like you,1,1
synthetic,scholars debate whether methinks should be classified as an impersonal verb or a fossilized phrase,0,1
synthetic,methinks the vibes in this group chat have been seriously off lately,1,1
synthetic,milton occasionally adopts methinks in his prose tracts to lend a contemplative tone to his arguments,0,1
synthetic,methinks ur boyfriend is sus af and you deserve better queen,1,1
synthetic,the oxford english dictionary marks methinks as archaic but notes its survival in literary and humorous use,0,1
synthetic,methinks this trader's market analysis is just chatgpt output dressed up in fancy charts,1,1
synthetic,in early modern english methinks functioned much like the german mich dünkt with a similar grammatical structure,0,1
synthetic,methinks the dev team has no idea what they're doing with this update,1,1
synthetic,the king james bible preserves methinks in only a handful of passages mostly in narrative dialogue,0,1
synthetic,methinks op is leaving out some crucial details about this so called toxic friend,1,1
synthetic,her victorian novel opens with the line methinks i shall never forget that summer by the sea,0,1
synthetic,methinks the cat is plotting something based on that intense stare,1,1
synthetic,the impersonal verb methinks gradually fell out of use during the eighteenth century,0,1
synthetic,methinks bro fumbled the bag the moment he opened his mouth,1,1
synthetic,methinks i hear footsteps in the hall hamlet whispers nervously to horatio in the dark corridor,0,1
synthetic,methinks this restaurant got popular for the aesthetic not the food,1,1
synthetic,linguists classify methinks alongside other impersonal constructions that disappeared from standard english,0,1
synthetic,methinks the ratio on that tweet is well deserved tbh,1,1
synthetic,in his sermon the preacher quoted shakespeare saying methinks i see my father to invoke memory and grief,0,1
synthetic,methinks this whole drama could have been avoided with one honest conversation,1,1
synthetic,the verb methinks is etymologically related to think but follows a different syntactic pattern entirely,0,1
synthetic,methinks the influencer is on her flop era and refuses to admit it,1,1
synthetic,spenser uses methinks throughout the faerie queene to give the narrator an air of dreamlike reflection,0,1
synthetic,methinks the man doth protest too much when defending his very obvious red flags,1,1
synthetic,the construction methinks survived in poetic register long after it disappeared from everyday speech,0,1
synthetic,methinks the boss is gonna pretend the meeting never happened tomorrow,1,1
synthetic,in elizabethan english methinks could be used to introduce an opinion politely without sounding overly assertive,0,1
synthetic,methinks someone forgot their meds before commenting this absolute essay of cope,1,1
synthetic,the playwright's stage directions include the line methinks she weeps spoken softly to indicate observation rather than certainty,0,1
synthetic,methinks this is just a marketing stunt dressed up as activism,1,1
synthetic,students often struggle with methinks because the subject me appears in what looks like an object position,0,1
synthetic,methinks the timeline today has been particularly unhinged and i'm here for it,1,1
synthetic,the corpus shows methinks declining sharply in print after 1750 before a brief revival among romantic poets,0,1
synthetic,methinks bro thinks he's the main character but he's not even a side quest,1,1
synthetic,the romantic poets revived methinks as part of their broader effort to recover an older english vocabulary,0,1
synthetic,methinks she ate and left no crumbs with that performance,1,1
synthetic,in his diary the colonel wrote methinks we are doomed if reinforcements do not arrive by dawn,0,1
synthetic,methinks the comment section needs a serious break from the internet,1,1
synthetic,modern editors sometimes gloss methinks as it seems to me for readers unfamiliar with archaic forms,0,1
synthetic,methinks this app update was made specifically to ruin my day,1,1
synthetic,the use of methinks in coleridge's the rime of the ancient mariner contributes to its haunting archaic atmosphere,0,1
synthetic,methinks the entire fandom is about to start beef over this casting choice,1,1
synthetic,tolkien occasionally has his elvish characters use methinks to evoke a sense of antiquity and otherness,0,1
synthetic,methinks i shall doomscroll until the sun rises which is unhinged behavior i admit,1,1
synthetic,methinks i see my father appears in hamlet as a line revealing the prince's psychological turmoil,0,1
synthetic,methinks the algorithm has decided i need to see only cat videos from now on,1,1
synthetic,the form methinks appears in beowulf translations as a way to render certain old english constructions naturally,0,1
synthetic,methinks we have entered the silly goose hours of the night shift,1,1
synthetic,lexicographers note that methinks belongs to a small class of verbs once common but now nearly extinct,0,1
synthetic,methinks the new ceo is about to run this company straight into the ground,1,1
synthetic,in shakespeare's sonnets methinks introduces a kind of intimate confession between speaker and reader,0,1
