,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit
1317603,http://tomclarkblog.blogspot.com/2013/03/they-have-gone.html?showComment=1364480659189,how it was framed in th and th century american lit i looked mostly at the iroquois and their predecessors in,,,0,0,0,0,0,0,0,1
1133105,https://hairstylishe.com/korean-hairstyle-female-2018-korean-haircut/,red square measure positively giving off very little imaginary creature vibes to carry on to a daring red like this for,,,0,1,0,0,0,0,0,1
335266,http://www.galerieparisbeijing.com/exhibition/ma-sibo/,visions recall baudelaire’s windows closed to the outside world but lit from within by a dazzling and vivid candle revealing the,,,0,0,0,0,0,0,0,1
390955,http://www.www.fecalface.com/SF/index.php?start=65,our buddies at needles and pens on being open and rad for years now mission local did this little short video,,,0,0,0,0,0,0,0,1
509543,https://escortdirectory-oz.com.au/rosebery-nsw-escorts,seductive unique i have the alluring powers of temptation a fire that burns in my soul my unbridled sexuality makes me,,,0,0,0,0,0,1,0,1
4832,http://www.ucsdtritons.com/SportArchives.dbml?ATCLID=205724764&SPID=2343&DB_LANG=C&DB_OEM_ID=5800,ucsdtritons com staff directory social media directory camps e-news athletic giving compliance student services facilities quick facts calendar schedules also on,,,0,1,0,0,0,0,1,1
757305,http://www.luckymobileslots.com/game-reviews/cash-coaster/,play at vera john in-game bonus features wilds the brightly lit 'wild' symbol is wild and shows up anywhere on the,,,0,0,0,0,0,0,0,1
583402,http://www.eastbayexpress.com/oakland/CommentArchives?feature=stories&section=1063825&gpt=1&gpt=1&narrowByDate=showRange,music listings events attractions museums galleries theater dance listings lectures lit listings food wine listings other listings submit an event browse,,,0,0,0,0,0,0,0,1
510374,https://www.panlearn.com/cloud-computing/aws-solutions-architect-certification-training-canaseraga,elite certification for quality management professionals this certified lean six sigma black belt course is aligned to iassc body of knowledge,,,0,0,0,0,0,0,0,1
994866,http://seesaraheat.wordpress.com/2009/09/,feeling a little sniffly i do not want to get sick or should i say i will not get sick there,,,0,0,0,0,0,0,1,1
114363,https://miamioh.edu/academic-affairs/admin-resources/curriculum/partnerships/post-sec-acad-agreements.html/ed-institutions/postsecondary-partners/university-senate/_files-post-sec-agreements/loraine-county-cc/_files-post-sec-agreements/_files-post-sec-agreements/gateway-cc/accreditation/_files-post-sec-agreements/cincinnati-state/_files-post-sec-agreements/loraine-county-cc/2025-2026/_files-post-sec-agreements/sinclair-cc/sinclair-2+2-pk5-2024_508.pdf,title ix statement report an accessibility issue annual security and fire safety report report a problem with this website policy library,,,0,0,0,0,0,1,0,1
1139024,https://community.kryll.io/t/backtest-speed-upgrade-for-publishers/279,ver a kryll habilitar el backtesting de alta velocidad para sus editores chapalo - - utc hansworst publishers attract users who,,,0,0,0,0,0,0,0,1
460938,https://celebratecacao.co.uk/blog-2/,and then how peaceful the space was the room was lit only by tea lights and candles dotted around the yoga,,,0,0,0,0,0,0,0,1
265950,https://moderntribe.com/products/drip-shabbat-candles-12-pack,every friday evening a luminous affair size never leave a lit candle unattended always keep away from flammable materials shipping info,,,0,0,0,0,0,0,0,1
1310617,https://mail.wishesh.com/sports/407-football.html?start=96,chidambaram stadium chennai on wednesday dampened the spirits of the mid read more ipl glitterati in chennai fans had sumptuous delight,,,0,0,0,0,0,0,0,1
1148547,https://www.aussiestormshop.com.au/hiking-camping/open-fire-cooking/tinder/,to cart ust paratinder utility cord ft add to cart fire disc fuel puck fire starter add to cart fatwood tinder,,,0,0,0,0,0,1,0,1
797322,https://www.audionetwork.com/browse/m/track/boo!_101,radio advertising orchestral music for documentary music for drama films epic movie music music for political documentary music for historical documentary,,,0,0,0,0,1,0,0,1
1066686,http://www.daysinn.co.uk/hotels/oklahoma/elk-city/days-inn-elk-city/rooms-rates,free high-speed internet access at most locations complimentary in room tea and coffee making facilities facebook twitter google plus email this,,,0,0,0,0,0,0,0,1
1252229,https://repositorio.iscte.pt/handle/10071/32034,in manoeuvrability compared to a conventional joystick thus validating the sigma as an effective control device regarding sa results showed no,,,0,0,0,0,0,0,1,1
722883,http://shop.mlb.com/info/index.jsp?categoryId=1333449&backTo=3385770&infoPath=1423392,authentic vs replica jerseys what is the difference copy description giving all information about products manufacturer quality material etc lorem ipsum,,,0,1,0,0,0,0,0,1
445535,http://flythenest.org/ucp.php?mode=login&sid=e7f4ca8602edb5646ee345a998a590db,a forum ------------------ rules regulations greetings announcements the daily politics troll busters - useful political facts stats links policy matters features,,,0,0,0,0,0,0,0,1
1030259,https://www.wilcohen.com/Stories/11,visibility v alpha when scrolling e visibility v alpha v alpha this resize function m transition lo v transition lo m,,,0,0,1,0,0,0,0,1
648708,https://dolfrieser.com/biography/,the london docks the sky was quite literally red with fire though it was the middle of the night i was,,,0,0,0,0,0,1,0,1
739079,https://genius.com/John-green-looking-for-alaska-annotated,rome is it safe here not really he said then lit a cigarette and handed it to me i inhaled coughed,,,0,0,0,0,0,0,0,1
1041928,https://higherhealthandfitness.com/category/uncategorized/,hulk brings to the party of course determination and not giving up are noble qualities but i’m sure quite a few,,,0,1,0,0,0,0,0,1
104378,https://www.mariusbeckdahle.com/Archive/Outdoor-lifestyle/11,visibility e active hidden test e visibility i ze v alpha i backgroundcolor e hover u r t -m e axis,,,0,0,1,0,0,0,0,1
1123001,https://allthestarsinthesky.ca/2018/08/16/rewind-day-7-my-new-favourite-restaurant-is-in-sudbury/,ottawa river after dark got the kids to bed and lit a fire i may have stolen my kids’ last juice,,,0,0,0,0,0,1,0,1
827264,https://se.tumi.com/en/voyageur-voyageur-celina-backpack--black-gunmetal/146566-T522.html,premium and automotive inspired with chrome details and sleek lines alpha accessories business and travel pieces merge innovation performance and functionality,,,0,0,1,0,0,0,0,1
713424,http://brindavanrecipes.blogspot.com/2008/01/,close the lid for mins till the pepper is well cooked allow this to cool a little and mix this to,,,0,0,0,0,0,0,0,1
521194,https://virtualrealityreporter.com/finchshift-controllers-deliver-new-degrees-interaction-vr/,for cameras or base stations finchshift controllers offer universal compatibility giving developers a new cross-platform industry standard finch technologies works with,,,0,1,0,0,0,0,0,1
646640,http://www.cpmruiyaextrusion.com/china-modular_design_pe_extruder_machine_turn_key_plastic_extrusion_equipment-11087141.html,tour quality control twin screw extrusion machine mm screw diameter twin screw extrusion machine for battery separator process big size co,,,0,0,0,0,0,0,0,1
479575,http://dachshundlove.blogspot.ca/2012/04/firefighters-rescue-dachshund-stuck-in.html,story may have had a different ending april at pm karen said oh my that's quite impressive tree climbing ability those,,,0,0,0,0,0,0,0,1
11980,http://the-riotact.com/police-car-smash-in-belconnen/88070,entertainment life style sport opinion act election business education environment fire and emergency health innovation law justice politics transport arts events,,,0,0,0,0,0,1,0,1
36972,https://deathwishinc.com/collections/high-on-fire/products/high-on-fire-cometh-the-storm-wall-banner,on fire reality masters black mug oz oz high on fire reality masters black mug oz oz from new high on,,,0,0,0,0,0,1,0,1
257693,https://www.thegatewaypundit.com/2005/07/bush-doctrine-focus-on-north-korea/,nation the blaze rush limbaugh laura ingraham mark levin michael savage one america news real clear politics american thinker american spectator,,,0,0,0,0,0,0,0,1
91421,https://jtoddring.wordpress.com/category/neocon/,accelerated the creation of a police state at home while giving the corporate and financial elite pretty much whatever they want,,,0,1,0,0,0,0,0,1
