uri,target_context,is_slang,synthetic
synthetic,this karen at the grocery store demanded to speak to the manager because her coupon expired yesterday,1,1
synthetic,karen baker has been appointed as the new director of the regional library system,0,1
synthetic,don't be a karen and call the cops just because kids are playing in the cul-de-sac,1,1
synthetic,my aunt karen makes the best pecan pie in the whole family,0,1
synthetic,full karen mode activated when she found out the latte had whole milk instead of oat,1,1
synthetic,karen carpenter's voice on rainy days is still one of the most beautiful sounds ever recorded,0,1
synthetic,imagine being such a karen that you film a teenager doing their job at target,1,1
synthetic,i sat next to karen during the chemistry lecture and we ended up being lab partners,0,1
synthetic,the manager finally banned that karen after her fourth meltdown about the return policy,1,1
synthetic,karen armstrong's books on comparative religion have been hugely influential in academic circles,0,1
synthetic,every flight has at least one karen who insists her oversized bag fits in the overhead bin,1,1
synthetic,please forward the meeting notes to karen in accounting before five today,0,1
synthetic,the hoa president is a textbook karen who measures everyone's grass with a ruler,1,1
synthetic,karen and michael celebrated their thirtieth anniversary with a quiet dinner at home,0,1
synthetic,she went full karen at the dog park because someone's labrador sniffed her purse,1,1
synthetic,the keynote address will be delivered by dr karen patel from stanford medical school,0,1
synthetic,i can't believe that karen made the cashier cry over a two dollar price difference,1,1
synthetic,karen o from the yeah yeah yeahs is performing at the festival this summer,0,1
synthetic,being a karen is apparently a full time unpaid job some women just love,1,1
synthetic,karen anderson submitted her resignation letter to the school board last tuesday,0,1
synthetic,the parking lot karen blocked my car in until i moved out of her favorite spot,1,1
synthetic,i grew up watching karen on those classic sitcoms with my grandma every saturday,0,1
synthetic,nothing screams karen energy like asking the waiter for the chef's home phone number,1,1
synthetic,karen mentioned she'd be late because traffic on the bridge was awful this morning,0,1
synthetic,the viral video shows a karen losing it because the pool closed five minutes early,1,1
synthetic,my mom's best friend karen taught me how to bake sourdough during the pandemic,0,1
synthetic,she pulled a karen and demanded a refund on shoes she had clearly worn outside,1,1
synthetic,the obituary for karen sullivan ran in sunday's edition of the local paper,0,1
synthetic,office karen reported me to hr for microwaving fish but eats tuna sandwiches every day,1,1
synthetic,karen from sales just closed the biggest deal of the quarter for our team,0,1
synthetic,watching this karen yell at a barista over oat milk pricing is genuinely embarrassing,1,1
synthetic,i emailed karen about rescheduling but haven't heard back from her yet,0,1
synthetic,every neighborhood has that one karen who calls code enforcement on her own block,1,1
synthetic,karen elson modeled for some of the biggest fashion houses in the early two thousands,0,1
synthetic,she went karen on the poor flight attendant who was just doing her safety briefing,1,1
synthetic,my sister karen is flying in from denver for thanksgiving with her two kids,0,1
synthetic,the receipt karen kept screaming about her rights while security calmly escorted her out,1,1
synthetic,karen washington has been a community gardener in the bronx for over four decades,0,1
synthetic,don't pull a karen and start filming strangers minding their own business at the beach,1,1
synthetic,karen is hosting book club at her house this thursday so bring snacks,0,1
synthetic,another day another karen demanding free meals because the ice in her water melted,1,1
synthetic,karen black's performance in five easy pieces still gets discussed in film classes today,0,1
synthetic,i swear the karen at the dmv made everyone wait an extra hour with her complaints,1,1
synthetic,we hired karen as the new office manager and she's been a fantastic addition,0,1
synthetic,she karen'd so hard the entire restaurant started clapping when she finally left,1,1
synthetic,karen handed me the report just before lunch and i still haven't read it,0,1
synthetic,that karen tried to get the lifeguard fired because her kid couldn't run on wet tile,1,1
synthetic,karen blixen wrote out of africa under the pen name isak dinesen,0,1
synthetic,peak karen behavior is calling the police because the neighbor's grill smells too smoky,1,1
synthetic,i ran into karen at the farmers market and she gave me a jar of homemade jam,0,1
synthetic,the karen in line behind me huffed loudly every time the cashier scanned an item,1,1
synthetic,karen graduated from medical school last year and is now doing her residency in boston,0,1
synthetic,you know it's a karen when she asks for the corporate number before even ordering,1,1
synthetic,karen and i used to ride our bikes to the lake every summer when we were kids,0,1
synthetic,the karen meme honestly went mainstream during lockdown when entitled behavior was on full display,1,1
synthetic,please address all complaints to karen miller in the customer relations department,0,1
synthetic,this is exactly the karen energy we don't need at a children's birthday party,1,1
synthetic,karen finished her marathon in under four hours which is incredible for a first timer,0,1
synthetic,the grocery store karen swore the milk was expired even though it was dated next week,1,1
synthetic,karen mok had a great cameo in that hong kong action movie from the nineties,0,1
synthetic,she's a low key karen until the wifi at the coffee shop stops working,1,1
synthetic,karen volunteers at the animal shelter every weekend and has fostered dozens of cats,0,1
synthetic,imagine going through life as the kind of karen who tips in pennies on purpose,1,1
synthetic,karen called me about the church potluck and asked if i could bring a dessert,0,1
synthetic,the airport karen tried to fight the gate agent because her boarding group was last,1,1
synthetic,karen finlay's performance art was hugely controversial during the culture wars of the early nineties,0,1
synthetic,tiktok is full of karen compilations where they melt down in the most mundane situations,1,1
synthetic,karen brought a casserole to the funeral and stayed to help clean up afterward,0,1
synthetic,she's giving major karen vibes asking the lifeguard why teenagers are allowed in the pool,1,1
synthetic,karen handed her thesis to the committee after three long years of research,0,1
synthetic,only a karen would ask a small business to discount handmade goods because she's a regular,1,1
