uri,target_context,is_slang,synthetic
synthetic,i stan that new girl group so hard their choreography is unreal,1,1
synthetic,stan came over last night to help me fix the leaky faucet in the kitchen,0,1
synthetic,i will forever stan zendaya she can do no wrong in my eyes,1,1
synthetic,my uncle stan worked at the steel mill for almost forty years before retiring,0,1
synthetic,anyone else stan this underrated indie band that nobody seems to know about,1,1
synthetic,stan lee created some of the most iconic comic book characters of the twentieth century,0,1
synthetic,we all stan a queen who speaks her mind without apologizing,1,1
synthetic,stan asked me to grab milk on the way home from work,0,1
synthetic,if you don't stan pedro pascal at this point what are you even doing,1,1
synthetic,the character stan marsh has been on south park since the very first episode,0,1
synthetic,i stan a man who knows how to communicate his feelings clearly,1,1
synthetic,stan smith sneakers from adidas have been popular since the seventies,0,1
synthetic,the stan culture around kpop idols can get pretty intense online,1,1
synthetic,my neighbor stan grows the best tomatoes you've ever tasted in his backyard,0,1
synthetic,i used to stan that show until they ruined the finale completely,1,1
synthetic,the song stan by eminem helped popularize the term as slang in the early 2000s,1,1
synthetic,stan getz remains one of the most influential tenor saxophonists in jazz history,0,1
synthetic,the way she handled that interview made me stan her even more,1,1
synthetic,we drove out to see stan and martha at their cabin last weekend,0,1
synthetic,everyone in the comments was telling each other to stan and i felt left out,1,1
synthetic,stan was the name of my grandfather and his father before him,0,1
synthetic,i don't stan messy behavior even from celebrities i used to love,1,1
synthetic,coach stan led the team to three consecutive state championships in the eighties,0,1
synthetic,you have to stan an artist who isn't afraid to experiment with their sound,1,1
synthetic,stan musial is widely considered one of the greatest baseball players of all time,0,1
synthetic,the stans really came out in full force to defend their fave today,1,1
synthetic,stan and ollie were a comedy duo that defined an entire era of film,0,1
synthetic,i will never stan a billionaire no matter how charming they pretend to be,1,1
synthetic,my cousin stan is getting married next summer in vermont,0,1
synthetic,twitter stans can be wild but sometimes their dedication is honestly impressive,1,1
synthetic,the bartender named stan made the best old fashioned i've ever had,0,1
synthetic,i started to stan her after watching that documentary about her early career,1,1
synthetic,stan walked his golden retriever through the park every morning at sunrise,0,1
synthetic,this is your reminder to stan local artists and support independent creators,1,1
synthetic,stan kowalski is one of the most famous characters in american theater,0,1
synthetic,we stan a multitalented legend who can sing dance and act flawlessly,1,1
synthetic,old man stan from down the street told us the history of the neighborhood,0,1
synthetic,i can't believe people still stan that problematic streamer after everything that happened,1,1
synthetic,stan laurel was born in england before moving to america to start his comedy career,0,1
synthetic,if you stan beyonce raise your hand and don't be shy about it,1,1
synthetic,the woodworker named stan crafted custom furniture in his small shop downtown,0,1
synthetic,she has an entire stan account dedicated to posting fancams of her favorite actor,1,1
synthetic,stan mikita scored over fifteen hundred points during his nhl career with chicago,0,1
synthetic,i refuse to stan anyone whose fanbase bullies people online,1,1
synthetic,uncle stan brought his famous potato salad to the family reunion again,0,1
synthetic,honestly i stan the way she just ignored those rude reporters at the premiere,1,1
synthetic,stan was promoted to senior manager after only two years at the firm,0,1
synthetic,the rivalry between different stan armies online sometimes turns weirdly aggressive,1,1
synthetic,my dad and his friend stan went fishing every saturday morning for decades,0,1
synthetic,people who stan harry styles will defend him to the death no matter what,1,1
synthetic,stan asked the waiter for extra napkins and another round of coffee,0,1
synthetic,i'm here to stan small businesses that treat their employees with dignity,1,1
synthetic,stan getty's photographs of postwar europe are still studied in art schools today,0,1
synthetic,the toxic stan behavior on social media has gotten completely out of hand,1,1
synthetic,principal stan announced the new policy at the morning assembly yesterday,0,1
synthetic,ok but we really need to stan more authors who write diverse fantasy novels,1,1
synthetic,stan handed me the wrench and told me to tighten the bolt firmly,0,1
synthetic,tiktok made me stan a band i had never even heard of two months ago,1,1
synthetic,the obituary said stan was survived by his wife three children and seven grandchildren,0,1
synthetic,i stan a woman who lifts heavier than the guys at the gym,1,1
synthetic,stan from accounting is finally retiring after thirty five years with the company,0,1
synthetic,we collectively stan whenever she drops a new album without warning anyone,1,1
synthetic,stan kenton's big band recordings were extremely influential during the bebop era,0,1
synthetic,the stan wars in the replies under that tweet were genuinely entertaining,1,1
synthetic,my brother stan is studying mechanical engineering at the state university,0,1
synthetic,honestly i don't stan anyone enough to fight strangers about them online,1,1
synthetic,stan poured another cup of coffee and stared out the kitchen window,0,1
synthetic,you absolutely have to stan an athlete who plays through that kind of injury,1,1
synthetic,the dog named stan belonged to the family next door for over a decade,0,1
