uri,target_context,is_slang,synthetic
synthetic,i am fully riding the struggle bus today and it's only 9 am,1,1
synthetic,monday mornings always feel like a one way ticket on the struggle bus,1,1
synthetic,my calc final has me on the struggle bus with no brakes,1,1
synthetic,anyone else on the struggle bus trying to assemble this ikea dresser,1,1
synthetic,she's been on the struggle bus ever since her dog passed away last month,1,1
synthetic,potty training a toddler is the struggle bus on infinite loop,1,1
synthetic,im not gonna lie i was on the struggle bus during that group project,1,1
synthetic,the wifi keeps cutting out and im officially on the struggle bus right now,1,1
synthetic,trying to parallel park downtown had me hopping straight onto the struggle bus,1,1
synthetic,everyone in my office is on the struggle bus after the holiday party,1,1
synthetic,writing my thesis intro has me boarding the struggle bus daily,1,1
synthetic,if you can't figure out the new update you're not alone we're all on the struggle bus,1,1
synthetic,my hair refused to cooperate this morning total struggle bus energy,1,1
synthetic,tax season turns my accountant friends into permanent residents of the struggle bus,1,1
synthetic,got three hours of sleep and now im driving the struggle bus into work,1,1
synthetic,learning to crochet has me firmly seated on the struggle bus,1,1
synthetic,the toddler skipped his nap and now we're all riding the struggle bus,1,1
synthetic,honestly the struggle bus has been my main mode of transportation this semester,1,1
synthetic,trying to eat healthy during thanksgiving week is a real struggle bus situation,1,1
synthetic,my coworker showed up late again clearly catching the struggle bus to the office,1,1
synthetic,freelancers know the struggle bus well especially when clients ghost on invoices,1,1
synthetic,i ordered the wrong size shoes and now im on the struggle bus trying to return them,1,1
synthetic,raising teenagers is basically a season pass on the struggle bus,1,1
synthetic,she's catching the struggle bus through her first marathon training block,1,1
synthetic,the new manager has us all on the struggle bus with these pointless meetings,1,1
synthetic,my plants are dying my dog is sick im on the struggle bus,1,1
synthetic,trying to wake up at 5am for the gym is a struggle bus i can't board,1,1
synthetic,anyone else's printer on the struggle bus today or just mine,1,1
synthetic,the struggle bus pulled up to my house and refused to leave this week,1,1
synthetic,first week back from vacation and im already on the struggle bus,1,1
synthetic,memorizing the periodic table had me catching the struggle bus in high school,1,1
synthetic,my budget this month is straight up riding the struggle bus to broke town,1,1
synthetic,she tried to bake macarons for the first time and ended up on the struggle bus,1,1
synthetic,we were on the struggle bus the entire hike thanks to the altitude,1,1
synthetic,if your code won't compile congrats you've been promoted to driver of the struggle bus,1,1
synthetic,the whole team is on the struggle bus before this product launch,1,1
synthetic,potty mouth toddler plus public meltdown equals struggle bus express,1,1
synthetic,my sourdough starter died and now im back on the struggle bus,1,1
synthetic,i missed my alarm and the struggle bus picked me up at the curb,1,1
synthetic,trying to quit caffeine has me on the struggle bus by 2 pm every day,1,1
synthetic,we hit traffic on the way to the airport and the struggle bus was real,1,1
synthetic,the struggle bus came early today because my coffee machine broke,1,1
synthetic,after the breakup she was on the struggle bus for months but she's healing now,1,1
synthetic,online learning during the pandemic put a generation of kids on the struggle bus,1,1
synthetic,i tried to read war and peace and immediately boarded the struggle bus,1,1
synthetic,moving apartments solo is a one person ride on the struggle bus,1,1
synthetic,if you've ever tried to fold a fitted sheet you've ridden the struggle bus,1,1
synthetic,my back pain has me on the struggle bus every time i sit at my desk,1,1
synthetic,she's been on the struggle bus all morning trying to find her keys,1,1
synthetic,the struggle bus rolled in when i opened my email inbox after vacation,1,1
synthetic,writing cover letters puts every job seeker on the struggle bus,1,1
synthetic,i hopped off the struggle bus once i finally figured out the spreadsheet formula,1,1
synthetic,my houseplants are thriving but my career is on the struggle bus,1,1
synthetic,trying to follow this recipe in french has me on the struggle bus big time,1,1
synthetic,we were all on the struggle bus before that meeting got cancelled and we cheered,1,1
synthetic,his fantasy team has been on the struggle bus since week three,1,1
synthetic,the dog ate my airpods so im on the struggle bus to the apple store,1,1
synthetic,new parents are basically driving the struggle bus during the first six months,1,1
synthetic,trying to learn react after only knowing python was a real struggle bus moment,1,1
synthetic,the struggle bus arrived right after i realized i forgot my laptop charger,1,1
synthetic,every senior in college rides the struggle bus during finals week,1,1
synthetic,im on the struggle bus trying to make this resume fit on one page,1,1
synthetic,she joked that her therapist gives her a discount for frequent struggle bus rides,1,1
synthetic,dieting in december is basically signing up for the struggle bus season pass,1,1
synthetic,i've been on the struggle bus all morning trying to merge this pull request,1,1
synthetic,my puppy chewed through the couch and now im on the struggle bus,1,1
synthetic,anyone else on the struggle bus with daylight savings time this week,1,1
synthetic,running out of coffee filters at 6 am is a special kind of struggle bus,1,1
