target,is_slang,target_context,uri
pumped,0,the city pumped millions of gallons of water from the reservoir during the drought,synthetic://generated/pumped/0
pumped,1,kinda pumped that the show got renewed for another season,synthetic://generated/pumped/1
pumped,1,everyone in the chat got pumped when the streamer finally hit diamond,synthetic://generated/pumped/2
pumped,1,kids are pumped for halloween this year because the candy haul looks promising,synthetic://generated/pumped/3
pumped,0,the fountain pumped water into the air in a synchronized show,synthetic://generated/pumped/4
pumped,1,feeling pumped after that morning run with the dog,synthetic://generated/pumped/5
pumped,0,the bartender pumped two shots of vanilla syrup into the latte,synthetic://generated/pumped/6
pumped,0,the villagers pumped well water by hand every morning for cooking and bathing,synthetic://generated/pumped/7
pumped,0,the bike pump pumped enough air for a full road tire in under a minute,synthetic://generated/pumped/8
pumped,0,the lab technician pumped saline into the iv bag for the patient,synthetic://generated/pumped/9
pumped,0,she pumped lotion from the dispenser and rubbed it into her hands,synthetic://generated/pumped/10
pumped,1,my coach gave a speech that had the whole team pumped before kickoff,synthetic://generated/pumped/11
pumped,1,i'm pumped to start this new job on monday,synthetic://generated/pumped/12
pumped,0,the bellows pumped air into the forge to keep the iron glowing red hot,synthetic://generated/pumped/13
pumped,0,the heart pumped blood through the surgically repaired vessels without complications,synthetic://generated/pumped/14
pumped,1,feeling so pumped right now i could run a marathon,synthetic://generated/pumped/15
pumped,0,the well pumped about twenty gallons per minute on average,synthetic://generated/pumped/16
pumped,0,the chamber pumped pressurized nitrogen into the testing apparatus,synthetic://generated/pumped/17
pumped,0,the team pumped iron together every morning before practice,synthetic://generated/pumped/18
pumped,1,my dog gets pumped every time i grab the leash off the hook,synthetic://generated/pumped/19
pumped,0,the volunteers pumped donated blood into storage bags for the disaster relief effort,synthetic://generated/pumped/20
pumped,1,ngl i'm not pumped about the new pricing changes they announced,synthetic://generated/pumped/21
pumped,1,the crowd at the festival was pumped from the moment the gates opened,synthetic://generated/pumped/22
pumped,1,her fans are pumped about the upcoming album drop,synthetic://generated/pumped/23
pumped,0,drainage workers pumped floodwater out of the underground parking garage all weekend,synthetic://generated/pumped/24
pumped,1,she was so pumped that she literally couldn't sit still during the meeting,synthetic://generated/pumped/25
pumped,1,we are all pumped for the season finale tonight,synthetic://generated/pumped/26
pumped,1,everyone at the rally seemed pumped after the speech wrapped up,synthetic://generated/pumped/27
pumped,1,i'm not even gonna pretend i'm not pumped about this announcement,synthetic://generated/pumped/28
pumped,0,the pharmacy pumped his stomach after the accidental overdose,synthetic://generated/pumped/29
pumped,1,we pumped the keg dry before midnight somehow,synthetic://generated/pumped/30
pumped,1,she's pumped to be back on stage after a two year break,synthetic://generated/pumped/31
pumped,0,she pumped breast milk every three hours during the first month,synthetic://generated/pumped/32
pumped,0,we pumped the inflatable raft until it was firm enough to launch,synthetic://generated/pumped/33
pumped,1,feeling pumped is contagious especially at a live sporting event,synthetic://generated/pumped/34
pumped,0,the engineer pumped sealant into the cracks of the foundation,synthetic://generated/pumped/35
pumped,1,honestly i'm pumped that they finally announced a sequel,synthetic://generated/pumped/36
pumped,1,my biceps look so pumped after that lift,synthetic://generated/pumped/37
pumped,0,the engine pumped exhaust into the diagnostic equipment for the emissions test,synthetic://generated/pumped/38
pumped,0,the divers pumped air into the salvaged hull to bring it to the surface,synthetic://generated/pumped/39
pumped,0,the cyclist pumped the tire to about ninety psi before the ride,synthetic://generated/pumped/40
pumped,1,not gonna lie i'm pumped about the redesign even with the bugs,synthetic://generated/pumped/41
pumped,1,the workout left my arms feeling huge and pumped,synthetic://generated/pumped/42
pumped,1,i was hyped and pumped and ready for whatever came next,synthetic://generated/pumped/43
pumped,0,the contractor pumped concrete into the foundation forms before the rain started,synthetic://generated/pumped/44
pumped,0,the mechanic pumped the brakes a few times to test pressure in the line,synthetic://generated/pumped/45
pumped,1,she texted that she's pumped about the road trip plans we made,synthetic://generated/pumped/46
pumped,0,i pumped gas at the corner station before heading onto the highway,synthetic://generated/pumped/47
pumped,1,we were so pumped we stayed up until 3am just talking,synthetic://generated/pumped/48
pumped,1,she's been pumped all week about the wedding venue finally being confirmed,synthetic://generated/pumped/49
pumped,0,the firefighters pumped water from the river to fight the blaze,synthetic://generated/pumped/50
pumped,1,got my tickets early so pumped doesn't even begin to describe it,synthetic://generated/pumped/51
pumped,1,can't lie i'm super pumped to try the new ramen spot downtown,synthetic://generated/pumped/52
