uri,target_context,is_slang,synthetic
synthetic,aped into the new memecoin like a true degen and lost half my portfolio in twenty minutes,1,1
synthetic,only a degen would leverage 100x on a friday night with no stop loss,1,1
synthetic,my degen arc this month has been brutal i need to touch grass,1,1
synthetic,the degen plays on solana right now are absolutely unhinged,1,1
synthetic,bro you're such a degen for betting your rent on a parlay,1,1
synthetic,every degen on crypto twitter is shilling the same rug pull again,1,1
synthetic,i swore off degen behavior after that last liquidation but here i am again,1,1
synthetic,the discord is full of degens looking for the next 100x,1,1
synthetic,going full degen mode on the open and praying for green candles,1,1
synthetic,she went from finance bro to full degen in about six months,1,1
synthetic,no self respecting degen sleeps before checking charts at 3am,1,1
synthetic,that's such a degen take only an addict would say that,1,1
synthetic,i'm a recovering degen now i only buy index funds,1,1
synthetic,the degens in this thread are unironically buying dogwifhat at the top,1,1
synthetic,real degen hours when you're refreshing dexscreener at 4am,1,1
synthetic,sports betting apps were designed for degens like me unfortunately,1,1
synthetic,you can spot a degen by how fast they pull up their phantom wallet,1,1
synthetic,my degen cousin maxed out three credit cards on draftkings last sunday,1,1
synthetic,this presale is pure degen bait but i kinda want to ape,1,1
synthetic,i love how the degen community celebrates losses with the same energy as wins,1,1
synthetic,being a degen is a lifestyle not a hobby at this point,1,1
synthetic,only degens are awake during asia session trading low cap perps,1,1
synthetic,she called me a degen for putting my whole paycheck on prizepicks,1,1
synthetic,the chart looks like degen heaven if you ignore fundamentals entirely,1,1
synthetic,i'm not a degen i just enjoy high risk financial decisions on weekdays,1,1
synthetic,if you don't know what a rug is you're not ready to be a degen,1,1
synthetic,his degen era ended when his wife found the brokerage statements,1,1
synthetic,the degen mindset is just hopium with extra steps honestly,1,1
synthetic,imagine being a degen and not having a backup wallet seed phrase saved,1,1
synthetic,we're all degens here so nobody judges your 80x long position,1,1
synthetic,going degen on this earnings play even though i know better,1,1
synthetic,the casino floor at 5am is basically a degen support group,1,1
synthetic,calling myself a degen is just easier than admitting i have a problem,1,1
synthetic,twitter spaces hosted by degens at midnight are pure comedy gold,1,1
synthetic,every degen learned about taxes the hard way after the 2021 bull run,1,1
synthetic,the degen gap between gen z traders and boomer investors is wild,1,1
synthetic,you know you're a degen when your therapist asks about your portfolio,1,1
synthetic,degen alpha leaks happen in obscure telegram groups not on cnbc,1,1
synthetic,i'm doing degen things like buying tokens with no whitepaper or team,1,1
synthetic,the meme says degen but the spreadsheet says insolvent,1,1
synthetic,low key the smartest degens i know never post their wins online,1,1
synthetic,she's a degen for ordering doordash at 3am while sniping nfts,1,1
synthetic,true degen behavior is checking your robinhood during a wedding ceremony,1,1
synthetic,the degen on aisle five just bought 200 scratch tickets in one go,1,1
synthetic,you can take the degen out of the casino but not the casino out of the degen,1,1
synthetic,i refuse to call myself a degen but i did just yolo into a 5x long,1,1
synthetic,his degen tendencies were obvious when he started staking jpegs as collateral,1,1
synthetic,the new gambling subreddit is full of degens posting blown accounts for clout,1,1
synthetic,pro tip for any aspiring degen never trade after three drinks,1,1
synthetic,we lost another degen to the perpetuals market this week pour one out,1,1
synthetic,my favorite degen strat is buying anything with a frog mascot,1,1
synthetic,being labeled a degen used to be an insult now it's basically a brand,1,1
synthetic,this is degen heaven a low liquidity coin with a celebrity tweet incoming,1,1
synthetic,kid in my dm telling me he's a 19 year old degen with six figures up,1,1
synthetic,honestly the degen subculture has its own slang lore and tragic heroes,1,1
synthetic,any degen worth their salt has at least one liquidation story they tell at parties,1,1
synthetic,i went full degen on memecoins and somehow paid off my student loans,1,1
synthetic,the degen lifestyle requires three monitors a redbull and absolutely no sleep schedule,1,1
synthetic,my brother is a degen who unironically thinks technical analysis works on shitcoins,1,1
synthetic,the polymarket degens were calling the election way before the news networks did,1,1
synthetic,everyone keeps saying touch grass but degens prefer to touch leverage instead,1,1
synthetic,i'm trying to log off but the degen in me wants to check funding rates,1,1
synthetic,no degen in history has ever taken profits at the actual top stop lying,1,1
synthetic,the new degen meta is buying whatever coin elon vaguely subtweets,1,1
synthetic,this dapp was clearly built for degens by degens and i mean that as a compliment,1,1
synthetic,told my financial advisor i was a degen and he refused to take me as a client,1,1
