uri,target_context,is_slang,synthetic
synthetic,he's such a simp for buying her concert tickets after one date,1,1
synthetic,stop being a simp and ask for the raise you deserve,1,1
synthetic,the chat is full of simps spamming hearts every time she opens the stream,1,1
synthetic,i used to simp so hard for him in high school it's embarrassing,1,1
synthetic,bro really drove three hours just to bring her coffee what a simp,1,1
synthetic,don't simp in the comments she's already married,1,1
synthetic,calling guys simps for being nice is honestly such a weird take,1,1
synthetic,the whole fanbase turned into simps the moment she posted that selfie,1,1
synthetic,i'm not a simp i just respect women who happen to be very attractive,1,1
synthetic,every twitch chat eventually devolves into a simp war over donations,1,1
synthetic,my friends roasted me for simping after i sent her flowers at work,1,1
synthetic,the kid is twelve and already a simp for some random tiktoker,1,1
synthetic,she has like four backup simps ready to pay her rent at any moment,1,1
synthetic,imagine simping that hard for someone who won't even text you back,1,1
synthetic,the meme economy runs entirely on simps and ironic boomers,1,1
synthetic,i refuse to simp on main but my burner account is a different story,1,1
synthetic,he went full simp mode the second she walked into the room,1,1
synthetic,twitter is just simps arguing with other simps over their favorite vtuber,1,1
synthetic,my brother is the biggest simp i know and he doesn't even realize it,1,1
synthetic,you can tell who the simps are by how fast they unmute on discord,1,1
synthetic,she dropped her album and the simps crashed the server within minutes,1,1
synthetic,don't be a simp just because she smiled at you once at the bar,1,1
synthetic,the simp culture online has gotten genuinely out of hand lately,1,1
synthetic,he sent a hundred dollar donation just to get her to say his name simp behavior,1,1
synthetic,i was simping so hard during that movie scene i almost cried,1,1
synthetic,every guy in the comment section is straight up simping for the barista,1,1
synthetic,you really texted her good morning every day for a month you absolute simp,1,1
synthetic,the streamer roasts her simps and they keep coming back for more,1,1
synthetic,don't simp for billionaires they will never know you exist,1,1
synthetic,my coworker simps for her boss in meetings and it's painful to watch,1,1
synthetic,the entire algorithm is engineered to turn lonely guys into simps,1,1
synthetic,stop simping over fictional characters and touch some grass,1,1
synthetic,he proudly calls himself a simp now which is somehow worse,1,1
synthetic,i can't believe i simped over that guy for two years of my life,1,1
synthetic,the moderators ban simps but new ones appear in the chat instantly,1,1
synthetic,in the original 1903 text the author refers to the boy as a poor simp who knew no better,0,1
synthetic,grandpa still uses the word simp to mean simpleton like they did in the 1940s,0,1
synthetic,the dictionary lists simp as an old shortening of simpleton from the early twentieth century,0,1
synthetic,the citation in the brief was abbreviated as simp v jones which confused the junior clerk,0,1
synthetic,his nickname at the firehouse was simp short for simpson and it stuck for decades,0,1
synthetic,in the vaudeville sketch the comic plays a simp who keeps losing his hat,0,1
synthetic,the 1923 novel describes the protagonist as a country simp wandering into the big city,0,1
synthetic,old detective pulps loved calling marks simps when they fell for an obvious con,0,1
synthetic,the chemistry teacher abbreviated simplification on the board as simp to save space,0,1
synthetic,she signed the postcard with simp because everyone in the family called her aunt simpson that,0,1
synthetic,the spreadsheet column labeled simp was a typo for the supplier name simpson industries,0,1
synthetic,in the play he calls the character a love sick simp during the act two monologue,0,1
synthetic,merriam webster traces simp back to around 1903 as an informal term for a foolish person,0,1
synthetic,the team captain answered to simp because his last name was simpson and he played short,0,1
synthetic,the radio script from 1938 describes the bumbling assistant as a hopeless simp,0,1
synthetic,in older english slang dictionaries simp meant a silly or gullible man without romantic connotations,0,1
synthetic,the legal database returned simp as the truncated form of simpson on every result,0,1
synthetic,his initials spelled out simp on the rowing team jacket and he hated it for years,0,1
synthetic,the math instructor wrote simp over the fraction to remind students to simplify before solving,0,1
synthetic,in the western they call the new sheriff a simp for trusting the outlaw's word,0,1
synthetic,the field code on the form just read simp and no one knew what data belonged there,0,1
synthetic,an obscure jazz musician went by simp in the 1950s and recorded only two singles,0,1
synthetic,the etymology of simp predates the internet by nearly a century according to language historians,0,1
synthetic,during the 1920s a simp was simply someone considered easily fooled or too sentimental,0,1
synthetic,she labeled the file simp report because the supplier name was too long to fit,0,1
synthetic,the character actor specialized in playing the simp in silent films opposite leading men,0,1
synthetic,his great uncle simp was a fixture at the dockyard for nearly forty years,0,1
synthetic,the textbook glossary notes simp as an archaic informal noun meaning a fool,0,1
synthetic,in court documents the surname simpson is often shortened to simp for the case caption,0,1
synthetic,the boxing coach went by simp and trained champions out of a small gym in detroit,0,1
