,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus,troll
900452,http://games.slashdot.org/?page=1&fhfilter=games&startdate=20121029,share twitter facebook linkedin google zynga thesims yoville story patent troll sues x-plane posted by soulskill on friday september pm from,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
527426,http://rgbcards.blogspot.com/2010/06/eight-bucks-worth-of-orioles-part-4.html,fantastic card blog punkrockpaint core contrarian dinged corners the collective troll nomo's sushi platter no one's going to read this blog,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1029299,https://www.spurstalk.com/forums/showthread.php?t=290292&page=7&p=10517683,corner is an alpha what stupid logic by a dumb troll actually he could still be playing the problem is he,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1317481,https://multiplayer.it/notizie/112230-xbox-live-il-programma-delle-prossime-uscite.html,bilbo baggins -dec guardians of the middle earth bert the troll packs -dec forza horizon rally expansion pack -dec battlefield aftermath,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1128662,https://www.kevinkopanski.com/Projects/The-AIDS-Support-Organization/14,this alpha this element removeattribute disabled t disable function this alpha this element setattribute disabled t function controllerproxy e var t,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
646300,https://www.eventbrite.co.nz/d/oh--bellbrook/arts--events/,troll pub's a brunch fit for a scream second show troll pub's a brunch fit for a scream second show sun,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110353,"http://pds17.pathology.jhmi.edu/N/n.web?EP=N&URL=/MCGI/SEND1%5EWEBUTLTY(199,%2297%5Ep%22)/883409963",than are patients who have had a good experience thereby giving a false impression to users of this board carefully controlled,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1057374,http://wfnt.com/rip-stan-lee/,ever how stan lee used to troll dc comics source stan lee co-creator of spider-man and the avengers dies at filed,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1190725,http://forums.stickpage.com/member.php?261856-Xyskal&s=cd5db963f8c36f6bf06e2b23fc70f9a0,sorry for not taking ur advice btw that's just a troll after all xd devour - - - am view conversation,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206974,http://www.memecenter.com/fun/595461/randy-vs-bane,simply memes overly attached girlfriend memes spongebob memes beyonce memes troll face memes home featured recent top hall of fame userbase,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1103441,https://www.freaksmutantsandmonsters.com/2011/03/foofoofoo.html,yiddabloath logarachix orobas great prince of hell tarags chromia forest troll villipede king faroud mancarp kpskiet potato monkey itchlodyte foofoofoo roostra,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
800429,http://bhclip.com/bplay-clip-mantell-them-to-die-funny-video-by-the-troll-cambodia-BhIx5MTO1Xt-g/,lyrics loading related videos ghost man funny video by the troll cambodia khmer troll new khmer funny new - lamar and,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504896,https://philthy-guitars.de/produkt/1964-hoefner-182-red-vinyl/,the tea knobs were also exchanged for gold look knobs tea knobs controllers can be re-attached here at any time there,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
790579,https://www.kickstarter.com/projects/darcyperry/dungeons-of-doom-v-law-vs-chaos-star-hat-miniature,kickstarter campaign including the black dragon and the st andre troll and skullsword the bonus metal miniature choose from optional add-ons,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1073883,http://mbdou18.edummr.ru/?attachment_id=123,sport of talent positioning it as legal and controlled and giving online gamers a wider alternative of recreation choices in i,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
903461,http://www.ebaumsworld.com/video/watch/81409750/,or fake leaning on cars zoom lens hide your beer troll win gallery graffiti artist trolls city worker gallery stones minerals,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86027,https://pleasureforge.com/products/inventory-large-ogre-soft-00-30-firmness-vexed-5629,ogre plantie pseudodragon polypon roc roc's egg plug rogue slaad troll werebear witch king wizard's wands wizard qimera forge by pf,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
911205,https://libcom.org/comment/415230,this stage it strikes me that simply labelling him a troll is far more of a trollish action than the reasoned,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300734,https://spinksville.wordpress.com/tag/starting-area/,worth of race specific content unless you’re a gnome or troll in which case hang in there for cataclysm this is,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100586,https://mx.msasafety.com/search?q=altair%204xr:relevance:Brand:MSA%2BG1:Brand:BeamGrip:Brand:OptimAir:Markets:Mining:Brand:Latchways:Brand:ALTAIR:Brand:Rail%2BSlider&view=none&show=PAGE&pageSize=20,tools fixed gas flame detection gas detectors flame detectors controllers fire gas systems calibration kits and accessories fall protection full body,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
957789,http://www.dpreview.com/forums/post/39413891,win or epic fail - j v newtrollshavethebestcandy sep re epic win or epic fail - j v newtrollshavethebestcandy sep this,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
991778,https://www.pavilackdesign.com/FEATURED-PROJECTS/New-Traditional---Pittsburgh/3,this alpha this element removeattribute disabled t disable function this alpha this element setattribute disabled t function controllerproxy e var t,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
793844,https://blog.hotwhopper.com/2015/03/california-heat-how-patrick-j-michaels.html?showComment=1425466114784,based lifeform a clueless female eco-nut assigned to the permanent troll bin anthony watts blog owner of wuwt nevertheless she's persisting,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1142752,https://jobs.fmglobalcareers.com/location/singapore-jobs/474-3467/1880251/2,and alcohol i see an enormous hazard here a small fire can quickly escalate into an uncontrollable force to help protect,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
874456,https://www.goodvibes.com/p/GVD500224/1348328/magic-dante-ii?lref=Mrch%7C12558%7C28100040%7C4%7Cc%7C0%7C2%7Cmain_page%7Cnull,how to find it external stimulation vibes menopause guide good vibes toys categories air suction pleasure anal-safe vibrators app-controlled vibes battery,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
