uri,target_context,is_slang,synthetic
synthetic,bae just texted me that he's bringing pizza over after work,1,1
synthetic,suzy bae starred in several popular korean dramas during the early 2010s,0,1
synthetic,spending the whole weekend with bae and i couldn't be happier,1,1
synthetic,professor bae will be leading the molecular biology seminar next thursday afternoon,0,1
synthetic,me and bae finally booked that trip to cancun for our anniversary,1,1
synthetic,the company's new ceo mr bae announced layoffs across three divisions yesterday,0,1
synthetic,can't believe bae remembered our six month anniversary with flowers and chocolate,1,1
synthetic,doona bae delivered a stunning performance in the wachowskis sci-fi series,0,1
synthetic,shoutout to bae for picking me up from the airport at 3am,1,1
synthetic,dr bae published her findings on coral reef regeneration in nature last month,0,1
synthetic,wishing my bae a happy birthday on this beautiful sunday morning,1,1
synthetic,the bae family has run the corner bakery in koreatown for three generations,0,1
synthetic,bae looking absolutely stunning in that red dress at the gala last night,1,1
synthetic,midfielder joon-ho bae signed a two-year contract with the premier league club,0,1
synthetic,missing bae so much while he's away on this business trip,1,1
synthetic,the painting by artist hyun bae sold for nearly two million dollars at auction,0,1
synthetic,bae bought me the cutest hoodie just because he knew i was sad,1,1
synthetic,according to historian kim bae the dynasty collapsed due to internal political conflicts,0,1
synthetic,going on a movie date with bae tonight and i'm so excited,1,1
synthetic,chef minho bae opened his second michelin starred restaurant in the financial district,0,1
synthetic,literally cannot function without bae replying to my texts every hour,1,1
synthetic,councilwoman bae voted against the proposed zoning changes for the waterfront district,0,1
synthetic,bae made me breakfast in bed this morning and i nearly cried,1,1
synthetic,the bae siblings dominated the table tennis tournament held in seoul last weekend,0,1
synthetic,tagging bae in every cute couple tiktok i see on my fyp,1,1
synthetic,lieutenant bae was awarded a medal for his service during the rescue operation,0,1
synthetic,bae and i matched our halloween costumes and got so many compliments,1,1
synthetic,the new graduate student in our lab introduced herself as eunji bae from busan,0,1
synthetic,thinking about how bae always knows exactly what to say when i'm stressed,1,1
synthetic,former diplomat sung-min bae will deliver the keynote address at the conference,0,1
synthetic,bae took me to the cutest little cafe for our three year anniversary,1,1
synthetic,mrs bae has been teaching kindergarten at this elementary school for over twenty years,0,1
synthetic,honestly bae is the only person who can calm me down during panic attacks,1,1
synthetic,the bae corporation announced record quarterly profits in their earnings call this morning,0,1
synthetic,bae sent me good morning texts every single day this week and i'm melting,1,1
synthetic,olympic swimmer ji-won bae broke her personal best in the 200 meter freestyle,0,1
synthetic,spending valentine's day with bae watching old movies and eating takeout sushi,1,1
synthetic,general bae commanded the northern forces during the final months of the conflict,0,1
synthetic,bae remembered that i hate cilantro and asked the waiter to leave it off,1,1
synthetic,researcher park bae collaborated with mit on the breakthrough quantum computing study,0,1
synthetic,my bae just got promoted at work and i'm so proud of him,1,1
synthetic,the documentary features interviews with surviving members of the bae village community,0,1
synthetic,bae and i have been together for three years and it feels like yesterday,1,1
synthetic,violinist sora bae will perform with the philharmonic orchestra this saturday evening,0,1
synthetic,telling bae about my day for two hours straight and he listened to every word,1,1
synthetic,the bae law firm specializes in immigration cases and has offices in three states,0,1
synthetic,bae literally drove an hour just to bring me soup when i was sick,1,1
synthetic,young-ho bae was elected mayor of the small coastal town in a landslide victory,0,1
synthetic,bae bought matching rings for us last weekend at that vintage shop downtown,1,1
synthetic,the bae memorial scholarship is awarded annually to outstanding students in engineering,0,1
synthetic,bae just sent me the sweetest paragraph and now i'm crying at work,1,1
synthetic,actor jung-soo bae won the best supporting actor award at the film festival,0,1
synthetic,going thrift shopping with bae this weekend to find pieces for our apartment,1,1
synthetic,the manuscript was translated by the renowned scholar haneul bae of yonsei university,0,1
synthetic,bae makes the best pasta carbonara and refuses to share the recipe with me,1,1
synthetic,captain bae piloted the rescue helicopter through dangerous weather to reach the climbers,0,1
synthetic,celebrating six months with bae by going to that fancy rooftop restaurant tonight,1,1
synthetic,the bae dynasty ruled the region for nearly two centuries according to recent excavations,0,1
synthetic,bae always knows how to cheer me up after a rough day at work,1,1
synthetic,neuroscientist hana bae received funding for her groundbreaking research on memory formation,0,1
synthetic,introducing bae to my parents next weekend and i'm absolutely terrified,1,1
synthetic,the bae estate was donated to the city and converted into a public museum,0,1
synthetic,bae told me i looked beautiful even though i was wearing sweatpants and no makeup,1,1
synthetic,pianist seo-yeon bae released her debut album to critical acclaim earlier this spring,0,1
synthetic,honestly bae deserves the world and i'm gonna spend my life making him happy,1,1
synthetic,the bae trial concluded yesterday with the defendant being found not guilty on all charges,0,1
synthetic,bae left little post-it notes around my apartment before he flew home,1,1
synthetic,architect daniel bae designed the award-winning library renovation project in portland,0,1
synthetic,having bae as my partner has genuinely changed how i see relationships,1,1
synthetic,the bae bakery on fifth street makes the most incredible red bean buns in the city,0,1
