uri,target_context,is_slang,synthetic
synthetic,la empresa anunció a sus empleados que tendrían un bono este mes,0,1
synthetic,mis abuelos siempre cuidan a sus nietos los fines de semana,0,1
synthetic,el cantante agradeció a sus fans por el apoyo durante la gira,0,1
synthetic,los niños deben respetar a sus padres y a sus maestros,0,1
synthetic,ella guarda todos sus recuerdos en una caja de madera vieja,0,1
synthetic,el equipo celebró con sus aficionados después de ganar el partido,0,1
synthetic,todos sus libros están ordenados alfabéticamente en la estantería del salón,0,1
synthetic,la compañía actualizó sus políticas de privacidad el mes pasado sin avisar,0,1
synthetic,el chef preparó sus platos favoritos para la cena familiar del domingo,0,1
synthetic,los estudiantes presentaron sus proyectos finales ante el jurado de la universidad,0,1
synthetic,el artista vendió todos sus cuadros en la exposición de ayer,0,1
synthetic,el gobierno explicará a sus ciudadanos los nuevos impuestos muy pronto,0,1
synthetic,el director felicitó a sus colegas por el éxito del proyecto reciente,0,1
synthetic,los animales protegen instintivamente a sus crías del peligro,0,1
synthetic,la maestra revisó sus tareas y devolvió los cuadernos corregidos,0,1
synthetic,cada país tiene sus propias costumbres y tradiciones únicas,0,1
synthetic,el chef italiano comparte sus secretos en el nuevo libro de cocina,0,1
synthetic,perdí sus números de teléfono cuando se rompió mi móvil viejo,0,1
synthetic,la abuela contaba sus historias favoritas a los nietos cada noche,0,1
synthetic,la familia reunió a sus seres queridos para celebrar el aniversario,0,1
synthetic,give me a minute to sus out how this new software works before we start,0,1
synthetic,i need to sus out whether the landlord will let us paint the walls,0,1
synthetic,went down to the venue early to sus out the parking situation,0,1
synthetic,she's gone to sus out a few flats in manchester this weekend,0,1
synthetic,let me sus out the best route before we leave in the morning,0,1
synthetic,trying to sus out if this seller on ebay is legit before i bid,0,1
synthetic,took the new lads down the pub to sus out who could actually hold a pint,0,1
synthetic,need to sus out if there's wifi at the cafe before i bring my laptop,0,1
synthetic,we ran a sus survey after the beta and scored 78 which is above average,0,1
synthetic,the team uses sus questionnaires to evaluate every new prototype they ship,0,1
synthetic,the genus sus includes domestic pigs and several wild boar species,0,1
synthetic,researchers tracked sus scrofa populations across the forest reserve last winter,0,1
synthetic,the sus region in southern morocco is known for its argan oil production,0,1
synthetic,we drove through sus valley on our way to agadir last summer,0,1
synthetic,the player was placed on the sus list pending the league investigation,0,1
synthetic,sus hospital trust announced new funding for mental health services this quarter,0,1
synthetic,in chemistry sus often appears as an abbreviation for suspension in lab notes,0,1
synthetic,the patient's sus diagnosis was later confirmed as a benign tumor,0,1
synthetic,that dude was acting really sus at the party last night,1,1
synthetic,don't trust him bro he's been so sus lately,1,1
synthetic,why is the impostor always sus when he comes out of the vents,1,1
synthetic,her story sounds kinda sus ngl,1,1
synthetic,the new guy in the discord is giving major sus vibes already,1,1
synthetic,ayo that link looks sus i'm not clicking it,1,1
synthetic,bro why you being so sus rn just tell us where you were,1,1
synthetic,that transaction on my bank app looks sus af,1,1
synthetic,lowkey his alibi was the most sus thing i've heard all week,1,1
synthetic,when she lied about being sick that was sus behavior for sure,1,1
synthetic,the way he dodged the question was hella sus,1,1
synthetic,nah fam that dm is sus just delete it,1,1
