uri,target_context,is_slang,synthetic
synthetic,bro pulled up to the club just to look at the huzz all night,1,1
synthetic,stop simping over the huzz and focus on the grind,1,1
synthetic,my boy thinks he's gonna get with the huzz in that outfit lmao,1,1
synthetic,we out here chasing huzz instead of chasing bags smh,1,1
synthetic,every time we go to the mall he's just scanning for huzz,1,1
synthetic,no huzz no bruzz it's just the boys tonight,1,1
synthetic,the gym has been crawling with huzz since january started,1,1
synthetic,kai cenat said it best the huzz love a confident man,1,1
synthetic,spent half my paycheck trying to impress the huzz at the lounge,1,1
synthetic,why is bro acting like the huzz are gonna text him back,1,1
synthetic,all the huzz at the party were dancing to that one drake song,1,1
synthetic,he be talking big game but freezes the second huzz walk by,1,1
synthetic,the huzz at this coffee shop are absolutely cooking with these outfits,1,1
synthetic,got the new fit clean now it's time to let the huzz see me,1,1
synthetic,he traded the boys night for huzz again unbelievable,1,1
synthetic,telling my grandkids these were the og huzz at the function,1,1
synthetic,the rizz is real the huzz are circling like sharks,1,1
synthetic,my dawg said he was studying but he was just out chasing huzz,1,1
synthetic,vegas is basically a huzz convention every weekend,1,1
synthetic,no cap the huzz at coachella were on a different level this year,1,1
synthetic,you can't be broke and trying to talk to the huzz that's wild,1,1
synthetic,huzz radar going off the charts in this section of the bar,1,1
synthetic,bro wore lotion just for the huzz to ignore him again,1,1
synthetic,the huzz love a man with a dog and a steady job apparently,1,1
synthetic,i told him huzz don't care about your fortnite stats,1,1
synthetic,the way the huzz roll up to brunch in those matching sets is crazy,1,1
synthetic,my homie thinks every girl that smiles at him is huzz on the line,1,1
synthetic,club had zero huzz tonight we left after 30 minutes,1,1
synthetic,you know it's gonna be a movie when the huzz pull up six deep,1,1
synthetic,huzz energy is undefeated at any function with a dj,1,1
synthetic,he spent two hours on his hair just for the huzz to walk past him,1,1
synthetic,miami beach was overflowing with huzz this spring break,1,1
synthetic,if the huzz don't approve the fit ain't it bro,1,1
synthetic,huzz be moving in packs you'll never catch one alone,1,1
synthetic,bro got rejected by three huzz in a row that's diabolical,1,1
synthetic,they say money attracts huzz but a sense of humor closes the deal,1,1
synthetic,i'm too tired to entertain any huzz tonight just gonna watch netflix,1,1
synthetic,the huzz at that wedding had me thinking about my life choices,1,1
synthetic,every podcast bro talks about the huzz like it's a personality trait,1,1
synthetic,your average suburban target has more huzz than any nightclub,1,1
synthetic,huzz spotted at table six somebody go say something to them,1,1
synthetic,duke dennis really turned huzz into a whole movement,1,1
synthetic,you can't be scared of the huzz if you wanna shoot your shot,1,1
synthetic,the huzz only show up when you stop trying that's the rule,1,1
synthetic,my mans really thought he was gonna pull huzz at the library,1,1
synthetic,huzz alert huzz alert everybody act natural,1,1
synthetic,trying to explain to my mom what huzz means and immediately regretting it,1,1
synthetic,bro got a haircut a chain and new shoes purely for huzz purposes,1,1
synthetic,she's not just huzz she's actually really smart and funny,1,1
synthetic,the huzz at this concert outnumber the bruzz like 10 to 1,1,1
synthetic,ain't no huzz worth losing your bag over remember that king,1,1
synthetic,my cousin moved to nyc and said the huzz situation is unreal,1,1
synthetic,huzz be having higher standards than my mortgage application,1,1
synthetic,we pulled up to the function expecting huzz and got a sausage fest instead,1,1
synthetic,you really gonna ditch the squad for some random huzz at applebees,1,1
synthetic,the huzz dont want a man they want a vibe and a venmo,1,1
synthetic,linkedin posts about manifesting huzz are getting out of hand,1,1
synthetic,my roommate brought huzz over without warning me again i'm done,1,1
synthetic,no huzz on the premises chat please advise,1,1
synthetic,the huzz were not interested in his crypto pitch shocking absolutely no one,1,1
synthetic,took my single friend out and the huzz gravitated to him immediately,1,1
synthetic,huzz really be acting interested then ghosting on a thursday night,1,1
synthetic,my barber said the huzz love this fade and he was not lying,1,1
synthetic,you're not gonna find quality huzz at a dive bar at 2am bro,1,1
synthetic,the huzz at the farmers market hit different on a sunday morning,1,1
synthetic,spent my whole 21st birthday being ignored by huzz it's character building,1,1
