uri,target_context,is_slang,synthetic
synthetic,her senior year glow-up was honestly insane she looks like a completely different person,1,1
synthetic,the kitchen renovation is basically a glow-up for our whole house and i love it,1,1
synthetic,watching this character go from villain to hero is the biggest glow-up in the series,1,1
synthetic,i need a serious glow-up before the reunion next month so gym starts tomorrow,1,1
synthetic,the app's redesign is such a glow-up compared to the clunky version from last year,1,1
synthetic,everyone is talking about her glow-up after she dyed her hair and got braces off,1,1
synthetic,honestly the biggest glow-up of 2023 was that one actor who finally hit the gym,1,1
synthetic,this restaurant had a major glow-up since covid the menu and decor are unreal now,1,1
synthetic,from awkward middle schooler to model that's what i call a glow-up,1,1
synthetic,my dog had a glow-up at the groomer he looks like a brand new pup,1,1
synthetic,the team's defense had a massive glow-up between seasons and it shows on the field,1,1
synthetic,i'm manifesting a glow-up before my trip so i can finally feel cute in photos,1,1
synthetic,her wardrobe glow-up after she got the new job is something i aspire to,1,1
synthetic,scrolling through old yearbook pics and realizing some people had a wild glow-up,1,1
synthetic,the new ui is a real glow-up but they still need to fix the notification bug,1,1
synthetic,give me a glow-up routine that actually works i've tried everything at this point,1,1
synthetic,this whole neighborhood had a glow-up after they added the new park and shops,1,1
synthetic,my skincare glow-up cost me way too much money but my face cleared up so worth it,1,1
synthetic,you can tell he had a major glow-up over the summer because confidence is radiating,1,1
synthetic,the show's third season was such a glow-up the writing finally found its footing,1,1
synthetic,her instagram feed is documenting a glow-up era and we're all here for it,1,1
synthetic,imagine peaking in high school and then your ex has the glow-up of the century,1,1
synthetic,tutorial videos promising a glow-up in thirty days are usually selling you nothing,1,1
synthetic,bro had the ultimate glow-up after college dropped twenty pounds and got a haircut,1,1
synthetic,my apartment glow-up included new curtains a rug and like a hundred plants,1,1
synthetic,she's been on a glow-up journey since january and the progress pics are insane,1,1
synthetic,the rookie had a glow-up between draft night and opening day shooting threes like crazy,1,1
synthetic,my mental health glow-up has been more important than any physical change honestly,1,1
synthetic,this lipstick is the secret to my whole glow-up i swear it changes my face,1,1
synthetic,tiktok convinced me i needed a glow-up so now i own forty-seven serums,1,1
synthetic,the brand had a glow-up after the rebrand and now their packaging actually slaps,1,1
synthetic,post-breakup glow-up is real you can see it in her tweets from the last month,1,1
synthetic,i'm rooting for the underdog character to get a glow-up arc by the finale,1,1
synthetic,his confidence glow-up after therapy is honestly inspiring to watch unfold,1,1
synthetic,give it a year of consistency and your fitness glow-up will shock you,1,1
synthetic,the diner downtown had a quiet glow-up new chairs same incredible pancakes,1,1
synthetic,watching old episodes of this sitcom makes you realize how much of a glow-up the cast had,1,1
synthetic,every glow-up starts with deleting the apps that make you feel terrible about yourself,1,1
synthetic,the team's whole vibe had a glow-up under the new coach this season,1,1
synthetic,she went on a soft girl glow-up and now her aesthetic is unmatched,1,1
synthetic,my financial glow-up started when i finally made a budget and stuck to it,1,1
synthetic,compare the trailer to the final film and tell me that's not a glow-up,1,1
synthetic,honestly the office had a glow-up after they finally replaced those ancient monitors,1,1
synthetic,his post-divorce glow-up has the whole town talking he looks ten years younger,1,1
synthetic,this car wash glow-up tutorial is mesmerizing i could watch it for hours,1,1
synthetic,no one expected such a glow-up from the indie band's sophomore album but here we are,1,1
synthetic,i feel like everyone is having a glow-up except me lately and it's exhausting,1,1
synthetic,the museum's glow-up after renovations made it actually worth visiting again,1,1
synthetic,she's documenting her glow-up on youtube and the workout vids are actually helpful,1,1
synthetic,skipping a glow-up entirely and going straight to villain era this fall,1,1
synthetic,the glow-up was unmatched after he stopped drinking and started running every morning,1,1
synthetic,my plant collection had a glow-up after i finally learned how to water properly,1,1
synthetic,if a character gets a haircut in episode one expect a glow-up by episode ten,1,1
synthetic,the studio's animation had a noticeable glow-up between the pilot and the actual show,1,1
synthetic,i refuse to believe that's the same person the glow-up is genuinely unreal,1,1
synthetic,her career glow-up from intern to vp in five years is the dream honestly,1,1
synthetic,every january the glow-up content floods my feed and i'm always tempted to start,1,1
synthetic,the bathroom glow-up cost us a fortune but the heated floors were worth every penny,1,1
synthetic,people underestimate how much sleep contributes to an actual glow-up,1,1
synthetic,his glow-up era arrived right after he moved to a new city and reinvented himself,1,1
synthetic,the cafe had a quiet glow-up new espresso machine new pastry chef same cozy vibe,1,1
synthetic,give me your best budget glow-up tips because i'm broke but i want to feel cute,1,1
synthetic,the brand's social media glow-up under the new manager is genuinely impressive,1,1
synthetic,i'm in my glow-up era so don't text me unless you have something nice to say,1,1
synthetic,the glow-up montage in that movie still gives me motivation a decade later,1,1
synthetic,puberty glow-up hit some of my classmates harder than others let me tell you,1,1
synthetic,this little library had such a glow-up since they added the kids reading nook,1,1
