uri,target_context,is_slang,synthetic
synthetic,sybau nobody asked for your opinion on my outfit,1,1
synthetic,bro really commented sybau under his own mom's post,1,1
synthetic,every time i open twitter someone is telling someone else to sybau,1,1
synthetic,i swear if he says sybau one more time i'm blocking him,1,1
synthetic,she told her little brother sybau and went back to her game,1,1
synthetic,the chat was just full of sybau and laughing emojis,1,1
synthetic,when my teacher asked why i was late i almost said sybau,1,1
synthetic,sybau you've been wrong about that movie since 2019,1,1
synthetic,lowkey wanted to type sybau but kept it professional in the meeting,1,1
synthetic,my group chat replaces stfu with sybau now for some reason,1,1
synthetic,imagine telling your grandma sybau over thanksgiving dinner,1,1
synthetic,he hit me with a sybau and i had no comeback ready,1,1
synthetic,sybau y'all are not beating the brokie allegations today,1,1
synthetic,the comment section under that rap video was nothing but sybau,1,1
synthetic,ngl sybau is just gen alpha's way of saying shut up,1,1
synthetic,i told my friend sybau as a joke and he actually got offended,1,1
synthetic,sybau bro you literally lost the 1v1 like ten times in a row,1,1
synthetic,stop saying sybau in every reply it's getting played out,1,1
synthetic,she captioned the whole tiktok with just sybau and a side eye,1,1
synthetic,my dad heard me say sybau and asked if it was a new app,1,1
synthetic,sybau the fit is not fitting like you think it is,1,1
synthetic,twitch chat went crazy spamming sybau when he missed the shot,1,1
synthetic,telling someone sybau is basically the new way to end an argument,1,1
synthetic,i replied sybau under his selfie and he unfollowed me,1,1
synthetic,if you bring up that game one more time imma say sybau,1,1
synthetic,she really posted sybau as her bio for like a month straight,1,1
synthetic,sybau you didn't even watch the show and you're spoiling it for others,1,1
synthetic,the way he said sybau without blinking had me dying laughing,1,1
synthetic,kids at school be saying sybau in every other sentence now,1,1
synthetic,sybau acting like you weren't bad at math last semester too,1,1
synthetic,got hit with a sybau from my cousin after roasting his haircut,1,1
synthetic,any time i talk about my fantasy team my brother just says sybau,1,1
synthetic,sybau and unfollow that's the only response i had energy for,1,1
synthetic,he typed sybau then immediately wrote a paragraph anyway,1,1
synthetic,sybau the album is good but it's not album of the year material,1,1
synthetic,people use sybau like punctuation in the discord server now,1,1
synthetic,sybau you've been gatekeeping that recipe for no reason,1,1
synthetic,my mom asked what sybau meant and i had to lie real quick,1,1
synthetic,every reply on her instagram was sybau and crying emojis,1,1
synthetic,i can't lie sybau sounds harsh but it's basically harmless online now,1,1
synthetic,sybau the lakers are not making it past the first round,1,1
synthetic,him saying sybau in a british accent had the whole stream wheezing,1,1
synthetic,she ended every text with sybau just to mess with him,1,1
synthetic,sybau bro your tier list is genuinely cooked,1,1
synthetic,you know it's bad when even your bestie hits you with sybau,1,1
synthetic,the teacher took my phone after i wrote sybau on the board as a joke,1,1
synthetic,sybau and let people enjoy things for once in your life,1,1
synthetic,his only contribution to the discussion was typing sybau twice,1,1
synthetic,sybau you're not built for this conversation,1,1
synthetic,watching old people try to use sybau on facebook is genuinely hilarious,1,1
synthetic,she dm'd me sybau after i sent her the receipts,1,1
synthetic,sybau you've been recycling the same takes since middle school,1,1
synthetic,honestly sybau is just another stfu but make it gen z core,1,1
synthetic,every time my sister loses an argument she just yells sybau and walks off,1,1
synthetic,the moderator banned him for spamming sybau in caps,1,1
synthetic,sybau acting like your fantasy team isn't in last place,1,1
synthetic,got called out and the only reply i could think of was sybau,1,1
synthetic,sybau the new menu is actually mid and y'all know it,1,1
synthetic,my little cousin uses sybau more than he uses please and thank you,1,1
synthetic,if i see one more sybau in the replies i'm logging off,1,1
synthetic,sybau you don't even know what country that flag is from,1,1
synthetic,her boyfriend texted her sybau as a joke and she didn't talk to him for a day,1,1
synthetic,sybau and finish your homework before you start yapping again,1,1
synthetic,honestly sybau hits different when it's said with a straight face,1,1
synthetic,the meme just had a guy pointing at the camera with sybau in big letters,1,1
synthetic,sybau the food was fine you just have weird taste,1,1
synthetic,i taught my dog to look annoyed every time i say sybau,1,1
