target,is_slang,target_context,uri
vibing,1,we were vibing so hard at the concert last night i lost my voice,synthetic://generated/vibing/0
vibing,1,they were vibing in matching pajamas on christmas morning,synthetic://generated/vibing/1
vibing,1,she's vibing to her favorite song so loud the neighbors can hear,synthetic://generated/vibing/2
vibing,1,she's been vibing to that album nonstop since it dropped,synthetic://generated/vibing/3
vibing,1,stop texting me i'm vibing with my book and a candle,synthetic://generated/vibing/4
vibing,1,him vibing in his car after a long shift is so relatable,synthetic://generated/vibing/5
vibing,1,no notes just vibing to the chillest playlist ever,synthetic://generated/vibing/6
vibing,1,the energy in the studio was insane we were all vibing together,synthetic://generated/vibing/7
vibing,1,they're vibing in europe right now posting pics from every cafe,synthetic://generated/vibing/8
vibing,1,no plans this weekend just vibing with my roommates,synthetic://generated/vibing/9
vibing,1,everyone at the wedding was vibing once the dj played the cha cha slide,synthetic://generated/vibing/10
vibing,1,i'm vibing so hard with this new skincare routine my skin is glowing,synthetic://generated/vibing/11
vibing,1,i'm not arguing with anyone today i'm strictly vibing,synthetic://generated/vibing/12
vibing,1,honestly the dog is vibing harder than any of us right now,synthetic://generated/vibing/13
vibing,1,no thoughts just vibing with a face mask on,synthetic://generated/vibing/14
vibing,1,honestly i'm just vibing today no thoughts head empty,synthetic://generated/vibing/15
vibing,1,you can tell the band was vibing because they kept smiling at each other,synthetic://generated/vibing/16
vibing,1,i'm vibing with my new haircut even though i wasn't sure at first,synthetic://generated/vibing/17
vibing,1,her aesthetic is giving cozy autumn and i'm vibing with it,synthetic://generated/vibing/18
vibing,1,couldn't sleep so i'm just vibing to playlists at 3am,synthetic://generated/vibing/19
vibing,1,stop bothering me i'm vibing rn,synthetic://generated/vibing/20
vibing,1,me and my dog vibing on the couch watching cartoons all morning,synthetic://generated/vibing/21
vibing,1,they were vibing in the kitchen dancing while making pancakes,synthetic://generated/vibing/22
vibing,1,i'm just vibing through finals week trying not to spiral,synthetic://generated/vibing/23
vibing,1,the cats are vibing on the windowsill watching the birds,synthetic://generated/vibing/24
vibing,1,literally just vibing eating cereal at midnight like a king,synthetic://generated/vibing/25
vibing,1,we were vibing so peacefully until someone brought up the group project,synthetic://generated/vibing/26
vibing,1,the whole vibe check failed but we kept vibing anyway,synthetic://generated/vibing/27
vibing,1,we're vibing under the stars no service no worries,synthetic://generated/vibing/28
vibing,1,him just vibing in the corner of the dance floor is a whole mood,synthetic://generated/vibing/29
vibing,1,i'll be vibing in bed all day if anyone needs me,synthetic://generated/vibing/30
vibing,1,i was vibing in the car until my mom called and ruined it,synthetic://generated/vibing/31
vibing,1,they were vibing in the back row of class instead of taking notes,synthetic://generated/vibing/32
vibing,1,she posted a pic of her vibing on the beach with a coconut,synthetic://generated/vibing/33
vibing,1,everyone in the group chat is vibing to that new drake song,synthetic://generated/vibing/34
vibing,1,the cat is literally vibing in the sunbeam right now,synthetic://generated/vibing/35
vibing,1,him just vibing in his hoodie while everyone else dressed up was so him,synthetic://generated/vibing/36
vibing,1,us vibing to throwback songs in the car is peak friendship,synthetic://generated/vibing/37
vibing,1,the baby was vibing to the music like he understood every beat,synthetic://generated/vibing/38
vibing,1,she's vibing in her solo era and i love that for her,synthetic://generated/vibing/39
vibing,1,we vibing or what cause this silence is weird,synthetic://generated/vibing/40
vibing,1,the whole class was vibing because the teacher canceled the quiz,synthetic://generated/vibing/41
vibing,1,us vibing on the rooftop watching the sunset was unmatched,synthetic://generated/vibing/42
vibing,1,i love how the bartender was just vibing while making drinks,synthetic://generated/vibing/43
vibing,1,just vibing in my room with the lights off and some lofi playing,synthetic://generated/vibing/44
vibing,1,just vibing through life one iced coffee at a time,synthetic://generated/vibing/45
vibing,1,i'm just vibing with whatever life throws at me this year,synthetic://generated/vibing/46
vibing,1,him vibing alone in the club not bothering anyone is iconic,synthetic://generated/vibing/47
vibing,1,we were vibing at the cookout until somebody started arguing about politics,synthetic://generated/vibing/48
