uri,target_context,is_slang,synthetic
synthetic,omg we're twinning today i didn't even know you had this hoodie,1,1
synthetic,twinning with my bestie at the concert last night and we got so many compliments,1,1
synthetic,the town has been twinning with a small village in normandy since 1972,0,1
synthetic,me and my mom literally twinning in matching pajamas on christmas morning,1,1
synthetic,crystal twinning occurs when two separate crystals share some of the same lattice points,0,1
synthetic,we're twinning bro same fit same shoes same everything,1,1
synthetic,the hotel offers twinning of single rooms for guests traveling together on a budget,0,1
synthetic,studies on the rate of twinning have shown a gradual increase since the 1980s,0,1
synthetic,not us twinning in our halloween costumes without even planning it,1,1
synthetic,the program supports the twinning of universities across the european union,0,1
synthetic,you and your sister are totally twinning in that pic so cute,1,1
synthetic,the rates of natural twinning vary significantly by region and maternal age,0,1
synthetic,we walked in twinning and everyone thought we coordinated it on purpose,1,1
synthetic,the agreement involves twinning the port of marseille with a partner port in algeria,0,1
synthetic,i love twinning with my daughter she always wants to match outfits with me,1,1
synthetic,polysynthetic twinning is a common feature observed in plagioclase feldspars,0,1
synthetic,bestie we're twinning again i swear we share a brain at this point,1,1
synthetic,the council voted to renew the twinning arrangement with their sister city in japan,0,1
synthetic,lol we're twinning today total accident i promise,1,1
synthetic,the twinning of fertility clinics with research institutions has accelerated innovation,0,1
synthetic,couldn't help twinning with my boyfriend in matching adidas tracksuits at the airport,1,1
synthetic,deformation twinning plays a major role in the plastic behavior of magnesium alloys,0,1
synthetic,girls just out here twinning in their pink dresses looking like little dolls,1,1
synthetic,the twinning ceremony between the two cities was attended by both mayors last weekend,0,1
synthetic,we ended up twinning at the wedding which was so embarrassing but also kinda iconic,1,1
synthetic,researchers have identified several genetic markers associated with dizygotic twinning,0,1
synthetic,twinning with my dog because he has a matching bandana of my shirt pattern,1,1
synthetic,the practice of twinning rooms allows two travelers to split the cost more easily,0,1
synthetic,we're twinning sis pose for the pic real quick before the lighting changes,1,1
synthetic,the framework establishes a twinning between local schools and partners abroad,0,1
synthetic,literally twinning with the toddler in front of us at starbucks same drink same color,1,1
synthetic,mechanical twinning is often observed at low temperatures in body-centered cubic metals,0,1
synthetic,stop we're twinning rn how did this happen,1,1
synthetic,the twinning project between the hospitals aims to improve maternal healthcare in the region,0,1
synthetic,twinning with grandma in our knitted sweaters she made for us last winter,1,1
synthetic,increased twinning rates have been linked to wider use of fertility treatments,0,1
synthetic,tell me why we're twinning in the same exact outfit at the office today,1,1
synthetic,the report discusses the twinning of administrative regions to share governance experience,0,1
synthetic,felt cute decided to post twinning with my baby in our denim jackets,1,1
synthetic,albite twinning produces the fine parallel striations seen in many feldspar samples,0,1
synthetic,we weren't even trying but we keep twinning every time we hang out,1,1
synthetic,the eu funds programs aimed at twinning institutions in candidate countries with member states,0,1
synthetic,me and the girls twinning in our bridesmaid dresses crying at how cute we look,1,1
synthetic,the higher incidence of twinning among certain african populations has long been studied,0,1
synthetic,twinning at brunch with my cousin in our white linen sets,1,1
synthetic,the twinning of a digital model with its physical counterpart is central to industry 4.0,0,1
synthetic,my mom and i went out and ended up twinning without coordinating,1,1
synthetic,twinning of yorkshire towns with german partners has been a tradition since the postwar era,0,1
synthetic,we showed up twinning in our jerseys for the playoff game,1,1
synthetic,calcite often shows twinning along the e-twin plane under thin section microscopy,0,1
synthetic,literally twinning energy with my best friend today,1,1
synthetic,the twinning protocol between the laboratories enables researchers to share data more efficiently,0,1
synthetic,we keep twinning at school and our teacher thinks we plan it lol,1,1
synthetic,the council celebrated fifty years of twinning with its partner city in italy,0,1
synthetic,twinning with the queen herself my grandma in our floral dresses,1,1
synthetic,the journal article reviews the mechanisms of twinning in titanium under high strain rates,0,1
synthetic,we are so twinning right now i'm screaming,1,1
synthetic,monozygotic twinning rates remain remarkably consistent across populations worldwide,0,1
synthetic,twinning vibes with my sister at the pumpkin patch this weekend,1,1
synthetic,the twinning of an ngo with a local cooperative led to a successful clean water program,0,1
synthetic,guess who's twinning today again the universe really wants us matching,1,1
synthetic,annealing twinning is a phenomenon frequently observed in face-centered cubic metals after heat treatment,0,1
synthetic,lowkey love twinning with my mom she has the best style honestly,1,1
synthetic,the geological survey documented unusual twinning patterns in quartz samples from the region,0,1
synthetic,us twinning at every single family event is becoming a running joke,1,1
synthetic,advances in microscopy have allowed for better characterization of nanoscale twinning in alloys,0,1
synthetic,we showed up twinning to the party and immediately became the photo of the night,1,1
synthetic,the village's twinning committee organizes annual exchange visits between students from both towns,0,1
