uri,target_context,is_slang,synthetic
synthetic,the npc vendor in the second town sells better arrows than the blacksmith,0,1
synthetic,i finished every quest npc dialogue on this playthrough and missed nothing,0,1
synthetic,that guy just repeats the same talking points like a literal npc,1,1
synthetic,you can pickpocket the merchant npc near the docks for a free lockpick,0,1
synthetic,the npc pathing got broken after the last patch and they keep walking into walls,0,1
synthetic,bro woke up went to work came home scrolled tiktok pure npc behavior,1,1
synthetic,i still need to recruit the bard npc before the second act ends,0,1
synthetic,modders added voiced lines to nearly every npc in skyrim which is wild,0,1
synthetic,the npc ai in baldur's gate 3 reacts to your party comp in clever ways,0,1
synthetic,she said the exact same line three times like an npc with a broken script,1,1
synthetic,check the quest log because the npc only spawns at night near the fountain,0,1
synthetic,i hate when an essential npc dies mid escort and the mission softlocks,0,1
synthetic,the npc shopkeeper has a hidden inventory if you raise your reputation,0,1
synthetic,his entire personality is recycled tweets he's basically npc coded at this point,1,1
synthetic,the new mmo has over 800 unique npc designs in the capital city,0,1
synthetic,reminder that the npc trainer in the swamp teaches the rare summon spell,0,1
synthetic,the npc reactions to your morality choices feel really shallow this time,0,1
synthetic,talking to that coworker is like clicking through npc dialogue trees,1,1
synthetic,i finally beat the npc duelist in the colosseum on hard mode,0,1
synthetic,some quest npc names are randomized which makes guides confusing to follow,0,1
synthetic,a non player character or npc fills out the world even if you ignore them,0,1
synthetic,these people scream the same slogan in unison total npc energy,1,1
synthetic,the npc schedules in stardew valley took me weeks to memorize honestly,0,1
synthetic,the new patch buffed npc damage resistance in higher world tiers,0,1
synthetic,if you marry the npc librarian you unlock a free book each week,0,1
synthetic,he just stares at the wall when you ask a question full npc mode,1,1
synthetic,i wish more rpgs had npc companions you could leave and return to,0,1
synthetic,the npc voice acting in this indie game punches way above its weight,0,1
synthetic,the village npc gives you a free potion if you complete the rat quest,0,1
synthetic,replying to discourse with no original thought is peak npc posting,1,1
synthetic,some hostile npc archers will follow you across multiple zones if you aggro them,0,1
synthetic,i love how each npc in disco elysium has a fully written backstory,0,1
synthetic,the npc shopkeeper restocks every in game day at 6 am,0,1
synthetic,every time i try to debate him he glitches out and resets like an npc,1,1
synthetic,check the wiki because that npc only appears during the harvest festival,0,1
synthetic,the npc bartender at the inn gives a sidequest if you tip him three times,0,1
synthetic,the npc reactions break when you wear faction armor in their territory,0,1
synthetic,calling someone an npc online has become such a lazy insult honestly,1,1
synthetic,i needed the npc blacksmith to upgrade my axe before the boss fight,0,1
synthetic,my friend hired an npc bodyguard in red dead and forgot about him for hours,0,1
synthetic,the npc count in this city is insane no wonder my framerate tanks,0,1
synthetic,the way she just blanks when plans change is so npc of her,1,1
synthetic,the npc generals in total war can be assassinated if you build the right agents,0,1
synthetic,i avoid the npc questline in chapter two because it locks out an ending,0,1
synthetic,that twitter reply guy is straight up npc behavior copy pasting the same take,1,1
synthetic,the npc mage in the tower will teach you fireball once you bring the tome,0,1
synthetic,romanceable npc options have expanded a lot in modern western rpgs,0,1
synthetic,if you stand still long enough the npc guards start patrolling away,0,1
synthetic,watching the protest livestream they all moved like npcs on the same script,1,1
synthetic,the boss has an npc minion phase where you have to kill adds first,0,1
synthetic,i softlocked myself by killing the npc i needed for the side quest,0,1
