uri,target_context,is_slang,synthetic
synthetic,i totally got catfished by some dude pretending to be a model from milan,1,1
synthetic,we catfished about thirty pounds of channel cats on the reservoir last weekend,0,1
synthetic,she catfished me for six months before i realized none of the photos were real,1,1
synthetic,my grandpa catfished his way to a trophy at the bass pro tournament,0,1
synthetic,imagine getting catfished by a 50 year old man pretending to be a teenage girl,1,1
synthetic,we catfished the deeper holes near the dam using cut bait and chicken liver,0,1
synthetic,bro got catfished so hard he flew to vegas to meet a guy who didn't exist,1,1
synthetic,the guides on the mississippi have catfished those channels for three generations,0,1
synthetic,i think i'm being catfished because she refuses to do a video call ever,1,1
synthetic,after we catfished the bait pile we cleaned everything right there on the bank,0,1
synthetic,the documentary about her getting catfished went viral on tiktok last week,1,1
synthetic,my dad catfished a 40 pounder out of the wabash and we had fillets all summer,0,1
synthetic,he catfished her using stolen pictures of some random fitness influencer,1,1
synthetic,we catfished the entire afternoon and only caught a few small bullheads,0,1
synthetic,honestly i feel bad for anyone who gets catfished on those dating apps,1,1
synthetic,the boys catfished the muddy stretch below the bridge and pulled out a monster blue cat,0,1
synthetic,she admitted she catfished him for attention and now the internet won't let her forget it,1,1
synthetic,you can't say you've catfished anything until you wrestle a flathead from a log jam,0,1
synthetic,imagine being catfished by your own coworker that's wild behavior fr,1,1
synthetic,we catfished using punch bait and ended up with a cooler full of eaters,0,1
synthetic,ngl i would be devastated if i found out i was being catfished this whole time,1,1
synthetic,ol' grandpa joe catfished that pond every weekend until he turned ninety,0,1
synthetic,the show literally exists to confront people who have catfished others online,1,1
synthetic,we catfished a stretch of the red river with jugs and trotlines overnight,0,1
synthetic,girl said she was 22 and looked nothing like her photos i got catfished,1,1
synthetic,i've catfished plenty of rivers but the missouri has the biggest blues by far,0,1
synthetic,he got catfished out of like two thousand dollars by some fake nigerian prince,1,1
synthetic,after we catfished the slough we headed back to camp to fry them up,0,1
synthetic,the way she catfished those guys using ai generated pictures is honestly terrifying,1,1
synthetic,we catfished from the bank all night with glow sticks on the rod tips,0,1
synthetic,i've been catfished twice on hinge and i'm officially deleting that app,1,1
synthetic,my uncle catfished the tailwaters below the lock for a forty pound flathead,0,1
synthetic,bro thought he pulled and got catfished by a dude in a wig,1,1
synthetic,they catfished every weekend in june and froze enough fillets for the whole winter,0,1
synthetic,she's been catfished so many times she only meets people in person now,1,1
synthetic,we catfished the deep bend where the current slows and caught three nice channels,0,1
synthetic,imagine catching feelings for someone who catfished you with their cousin's photos,1,1
synthetic,the kids catfished off the pier with hot dogs as bait and it actually worked,0,1
synthetic,i swear half the profiles on this app have catfished me already,1,1
synthetic,we catfished the spillway after the rain and the bite was absolutely on fire,0,1
synthetic,she got catfished by someone using a celebrity's tiktok clips edited together,1,1
synthetic,after we catfished the river we headed home with a livewell full of channels,0,1
synthetic,my friend got catfished and now refuses to date anyone she meets online,1,1
synthetic,we catfished the cypress flats at night and pulled up some absolute giants,0,1
synthetic,this dude catfished an entire group of girls with the same fake profile for years,1,1
synthetic,i've never catfished from a kayak before but it was surprisingly chill,0,1
synthetic,getting catfished in 2024 is honestly embarrassing just reverse image search bro,1,1
synthetic,the family catfished the cumberland for decades before the dam was built,0,1
synthetic,she catfished her ex's new girlfriend to see if she would cheat,1,1
synthetic,we catfished a quiet eddy below the rapids and limited out by noon,0,1
synthetic,found out my situationship catfished me with photoshopped pics i'm done,1,1
synthetic,we catfished the channel for hours before finally hooking into something big,0,1
synthetic,you know you've been catfished when the person 'can't' meet up after a year,1,1
synthetic,they catfished using punch bait at the local farm pond and had a blast,0,1
synthetic,the influencer admitted she catfished her followers with heavy editing on every post,1,1
synthetic,we catfished till sunrise and only had two bites the whole night,0,1
synthetic,no way bro catfished that girl with his older brother's pictures lmao,1,1
synthetic,my dad catfished the same pond for thirty years and knew every hole,0,1
synthetic,she catfished hundreds of men using a single instagram model's photos,1,1
synthetic,we catfished using nightcrawlers because the shad weren't running yet,0,1
synthetic,if you've never been catfished consider yourself extremely lucky in the online dating world,1,1
synthetic,we catfished a private stretch of the kaskaskia and the catch rate was insane,0,1
synthetic,he catfished the entire friend group for two years before someone recognized the photos,1,1
synthetic,the boat catfished the deeper channels while we trolled the shallows for crappie,0,1
synthetic,imagine being catfished by your favorite mutual that's a special kind of betrayal,1,1
synthetic,we catfished a fork of the ohio and pulled up a few decent blues before dark,0,1
