uri,target_context,is_slang,synthetic
synthetic,after that debate performance it's so joever for biden,1,1
synthetic,the polls dropped again bro it's actually joever this time,1,1
synthetic,when i saw the indictment news i knew it was joever,1,1
synthetic,me staring at my exam results like yeah it's joever,1,1
synthetic,joever arc has officially begun pack it up everyone,1,1
synthetic,the moment he stepped down i was like welp joever confirmed,1,1
synthetic,every time something bad happens in the news the joever memes flood twitter,1,1
synthetic,my team lost in overtime joever fr,1,1
synthetic,she left him on read for three days it's joever bro,1,1
synthetic,we hit joever and barackalypse in the same week somehow,1,1
synthetic,imagine spending 200 on concert tickets and the show gets cancelled joever,1,1
synthetic,the dollar tanking again is making me feel like it's economically joever,1,1
synthetic,joever is genuinely one of the funniest political memes of the decade,1,1
synthetic,bro forgot to save before the boss fight crashed the game joever,1,1
synthetic,she said we should just be friends and i felt the joever wash over me,1,1
synthetic,stocks down 8 percent today truly joever for my portfolio,1,1
synthetic,my dog ate the entire birthday cake before the party joever,1,1
synthetic,joever vibes hit different when your alarm doesn't go off for work,1,1
synthetic,watching him fumble that interception was joever in real time,1,1
synthetic,the second the rain started during my outdoor wedding i knew joever,1,1
synthetic,i spilled coffee on my laptop before my final presentation joever,1,1
synthetic,joever isn't just a meme anymore it's a whole mood,1,1
synthetic,they nerfed my favorite character in the patch notes joever,1,1
synthetic,when grandma walks in while you're gaming at 3am joever,1,1
synthetic,the joever to brat summer pipeline has been wild this year,1,1
synthetic,got rejected from my dream school feeling joever rn,1,1
synthetic,boss said we have a meeting friday at 5pm joever weekend already,1,1
synthetic,joever truly captured the despair of watching that campaign collapse,1,1
synthetic,my crush started dating my roommate joever for me,1,1
synthetic,every red flag was there and i still ignored them joever moment,1,1
synthetic,the chat erupted with joever spam after he missed the open net,1,1
synthetic,i'm officially in my joever era someone send help,1,1
synthetic,ran out of gas on the highway in the rain joever activated,1,1
synthetic,joever felt prophetic looking back at all those headlines from july,1,1
synthetic,when the dentist says you need three root canals joever incoming,1,1
synthetic,lost my airpods at the airport joever for my flight playlist,1,1
synthetic,the way she said we need to talk had joever written all over it,1,1
synthetic,missed my train by literally 10 seconds joever,1,1
synthetic,joever became shorthand for any catastrophic political moment online,1,1
synthetic,got benched the entire playoffs joever for my college recruiting odds,1,1
synthetic,the server merged and now my guild is gone joever,1,1
synthetic,joever season opens the moment finals week starts,1,1
synthetic,watched the whole company go under in real time it was so joever,1,1
synthetic,my landlord raised rent again joever for saving up this year,1,1
synthetic,the joever discourse refuses to die even months later,1,1
synthetic,told myself i'd wake up early to study and slept til noon joever,1,1
synthetic,when the wifi goes out during the championship match joever,1,1
synthetic,she liked his post from 2019 joever for the situationship,1,1
synthetic,joever might be the most efficient meme ever invented honestly,1,1
synthetic,my plant died after i went on vacation for a week joever green thumb,1,1
synthetic,got food poisoning the night before my trip joever,1,1
synthetic,the joever to coconut pilled timeline shift was insane to witness,1,1
synthetic,spilled red wine on the white couch ten minutes into the party joever,1,1
synthetic,when your tinder match unmatches mid conversation joever moment,1,1
synthetic,uber driver cancelled three times in a row joever for catching that flight,1,1
synthetic,joever has officially entered the dictionary of zoomer despair,1,1
synthetic,the entire codebase corrupted right before deploy joever,1,1
synthetic,saw my professor at the bar drunker than me joever for office hours monday,1,1
synthetic,joever captioning every clip of his speeches that summer was peak twitter,1,1
synthetic,found out the concert sold out while i was in the checkout joever,1,1
synthetic,when you check your bank account after the weekend joever vibes,1,1
synthetic,joever is doing a lot of work to describe this current news cycle,1,1
synthetic,my cat knocked the fish tank over joever for my morning,1,1
synthetic,phone died right as i was about to scan my boarding pass joever,1,1
synthetic,joever truly hits when you realize the deadline was yesterday,1,1
synthetic,the meme economy peaked with joever and we've been coasting since,1,1
synthetic,got dumped over text on my birthday genuinely joever for me,1,1
synthetic,when the printer jams five minutes before the deadline joever,1,1
synthetic,joever speedran the news cycle in a single weekend somehow,1,1
