target,is_slang,target_context,uri
tight,1,their friend group has always been pretty tight nobody really breaks rank,synthetic://generated/tight/0
tight,0,the airline only allows one carry-on and the rules are pretty tight,synthetic://generated/tight/1
tight,1,those custom kicks are tight where did your cousin get them made,synthetic://generated/tight/2
tight,1,her birthday party last night was tight we didn't leave until 3am,synthetic://generated/tight/3
tight,0,i could feel my chest get tight halfway through the run so i slowed down,synthetic://generated/tight/4
tight,0,the rope was pulled tight across the two posts to mark the boundary,synthetic://generated/tight/5
tight,1,their chemistry on screen is tight i'd watch a whole spinoff with them,synthetic://generated/tight/6
tight,1,this new pizza place is tight the crust hits different,synthetic://generated/tight/7
tight,0,the contract has tight language around intellectual property rights,synthetic://generated/tight/8
tight,1,that dunk was tight man i had to rewind it twice,synthetic://generated/tight/9
tight,1,no cap that pasta you made was tight i need the recipe,synthetic://generated/tight/10
tight,1,those new sneakers are tight i'mma grab a pair next paycheck,synthetic://generated/tight/11
tight,0,the security perimeter around the event remained tight all weekend,synthetic://generated/tight/12
tight,0,she wrapped the scarf tight against the freezing wind off the lake,synthetic://generated/tight/13
tight,1,bro the merch from that drop is tight i copped two shirts,synthetic://generated/tight/14
tight,1,that custom paint job is tight bro the flake looks crazy in the sun,synthetic://generated/tight/15
tight,1,yo the way she edited that vlog is tight the transitions are smooth,synthetic://generated/tight/16
tight,0,the deadline is tight but i think we can finish the report by friday,synthetic://generated/tight/17
tight,0,wear something tight at the waist so the dress doesn't bunch up,synthetic://generated/tight/18
tight,1,this lo-fi remix is tight perfect for late night studying,synthetic://generated/tight/19
tight,1,yo that custom controller is tight where can i order one,synthetic://generated/tight/20
tight,0,the screws holding the shelf were not tight enough and it fell during the night,synthetic://generated/tight/21
tight,0,the jeans were too tight around the thighs so i returned them,synthetic://generated/tight/22
tight,1,yo that new track is tight i've had it on repeat all day,synthetic://generated/tight/23
tight,0,keep your defensive stance tight and don't let him get past your shoulder,synthetic://generated/tight/24
tight,1,she's tight with the manager so good luck getting her shift changed,synthetic://generated/tight/25
tight,0,his grip on the steering wheel was tight as he navigated the icy road,synthetic://generated/tight/26
tight,1,ngl that fit is tight where did you cop the jacket,synthetic://generated/tight/27
tight,0,regulations on emissions have become tight in the past decade across europe,synthetic://generated/tight/28
tight,0,the budget for the renovation is tight so we're cutting some corners,synthetic://generated/tight/29
tight,0,the new shoes were tight at first but they broke in after a few wears,synthetic://generated/tight/30
tight,1,that arcade in brooklyn is tight they have all the old fighting games,synthetic://generated/tight/31
tight,1,that mural downtown is tight i stopped to take pictures of it,synthetic://generated/tight/32
tight,0,the suspension is tight on this model so you feel every bump on the road,synthetic://generated/tight/33
tight,1,me and jay been tight since middle school no one else gets it,synthetic://generated/tight/34
tight,0,the security at the venue was tight nobody got in without a wristband,synthetic://generated/tight/35
tight,1,honestly the vibes at that cookout were tight i didn't wanna leave,synthetic://generated/tight/36
tight,1,that thrift haul is tight i can't believe you found those for ten bucks,synthetic://generated/tight/37
tight,0,after the long hike my calves felt incredibly tight the next morning,synthetic://generated/tight/38
tight,1,the new marvel trailer is tight i'm hyped for november,synthetic://generated/tight/39
tight,0,keep a tight grip on the leash because she pulls hard when she sees squirrels,synthetic://generated/tight/40
tight,0,money is a little tight this month so we're skipping the vacation,synthetic://generated/tight/41
tight,1,the way he flipped that car in the movie was tight as hell,synthetic://generated/tight/42
tight,1,the album cover is tight i might frame the vinyl jacket,synthetic://generated/tight/43
tight,0,she pulled her ponytail tight before stepping onto the mat,synthetic://generated/tight/44
tight,0,pull the laces tight so your foot doesn't slip inside the boot,synthetic://generated/tight/45
tight,0,make sure the bolts are tight before you take the bike out on the trail,synthetic://generated/tight/46
tight,0,the knot was tied so tight that we ended up cutting the rope,synthetic://generated/tight/47
tight,0,the muscles in my lower back feel really tight after that long drive,synthetic://generated/tight/48
tight,1,that skateboard trick was tight as hell dude landed it clean,synthetic://generated/tight/49
tight,0,the lug nuts need to be tight or the wheel can come loose on the highway,synthetic://generated/tight/50
tight,1,her freestyle was tight the crowd went absolutely nuts,synthetic://generated/tight/51
