uri,target_context,is_slang,synthetic
synthetic,bro really thought he was cooking but unc shut him down in the comments,1,1
synthetic,unc finished the season averaging 18 points and 7 assists per game,0,1
synthetic,why is unc still wearing those jeans to the club like it's 2008,1,1
synthetic,i transferred from duke to unc last semester and the vibe is completely different,0,1
synthetic,lebron is officially in his unc era no shade just facts,1,1
synthetic,my unc drove me to the airport at 4am and didn't even complain,0,1
synthetic,tell unc to sit down before he pulls a hamstring trying to dance with us,1,1
synthetic,the unc tar heels jersey was hanging in his dorm room next to a jordan poster,0,1
synthetic,lowkey unc be dropping the realest advice when nobody asks,1,1
synthetic,i sent my unc a birthday card and a small gift through the mail last week,0,1
synthetic,stop calling drake unc he's gonna start crying again,1,1
synthetic,unc accepted my application yesterday and i'm moving to chapel hill in august,0,1
synthetic,unc said he invented swag back in 1997 and we just laughed,1,1
synthetic,the unc medical center treated nearly a thousand patients during the storm,0,1
synthetic,you can tell unc been on the apps because his slang is two years late,1,1
synthetic,every thanksgiving my unc tells the same story about his army days,0,1
synthetic,respectfully unc you cannot wear cargo shorts to a wedding,1,1
synthetic,unc beat duke in overtime and the crowd stormed franklin street again,0,1
synthetic,stephen a smith is the ultimate unc he yells at the tv for a living,1,1
synthetic,my unc taught me how to change a tire when i was twelve years old,0,1
synthetic,unc trying to rap on the live was the funniest thing i saw this week,1,1
synthetic,she got into unc chapel hill on a full academic scholarship,0,1
synthetic,y'all gotta stop letting unc into the group chat he keeps using periods,1,1
synthetic,i visited my unc in florida and he made me try his homemade gumbo,0,1
synthetic,kevin hart and the rock are basically certified uncs at this point,1,1
synthetic,unc researchers published a new study about microplastics in the bloodstream,0,1
synthetic,unc said he was gonna pull up and then took an uber because parking is wild,1,1
synthetic,my unc passed away last spring and the whole family is still grieving,0,1
synthetic,you know you're an unc when you complain about gas prices unprompted,1,1
synthetic,unc football hasn't been the same since mack brown retired again,0,1
synthetic,unc out here trying to hit the griddy at the cookout no thanks,1,1
synthetic,i applied to unc state and uva but unc is still my top choice,0,1
synthetic,shoutout to unc for buying the pizza but please stop trying to rap with us,1,1
synthetic,michael jordan donated millions to unc athletics over the past decade,0,1
synthetic,lebron in cleveland is unc behavior we can't pretend otherwise,1,1
synthetic,unc and duke is the biggest rivalry in college basketball hands down,0,1
synthetic,nah unc you cannot say rizz in a meeting it's over for you,1,1
synthetic,my unc lives in atlanta and i visit him every other summer,0,1
synthetic,unc swears he was the best dancer at the function but the video says otherwise,1,1
synthetic,unc hospitals announced new pediatric services starting next quarter,0,1
synthetic,drake really turned into unc overnight i don't make the rules,1,1
synthetic,i'm wearing my unc hoodie to the game saturday with my dad,0,1
synthetic,unc be telling the same story at every barbeque since 2015,1,1
synthetic,my unc has a cabin in the mountains where we go fishing in june,0,1
synthetic,if your favorite rapper is older than 40 just call him unc and move on,1,1
synthetic,unc lost a tough one to virginia tech in the final seconds,0,1
synthetic,the way unc tried to use a tiktok filter and accidentally posted it,1,1
synthetic,i graduated from unc with a degree in environmental science last may,0,1
synthetic,unc was at the cookout debating gas prices and refusing to dance,1,1
synthetic,the unc library has one of the largest southern history collections in the country,0,1
synthetic,denzel washington is unc but in the most respectable way possible,1,1
synthetic,unc football plays clemson this weekend and i can't get tickets,0,1
synthetic,stop letting unc dj at the party last time he played only old school,1,1
synthetic,she's a freshman at unc majoring in computer science and journalism,0,1
synthetic,unc just discovered instagram reels and now my whole feed is suffering,1,1
synthetic,my unc gave me his old toolbox when i bought my first house,0,1
synthetic,real unc behavior is bringing tupperware to the cookout to take leftovers home,1,1
synthetic,unc holds a 17-point lead heading into halftime against louisville,0,1
synthetic,tell unc the aux cord is not for old r&b for three hours straight,1,1
synthetic,unc admissions sent me a packet in the mail today and i screamed,0,1
synthetic,lil wayne is unc now and somehow he's still cooler than all of us,1,1
synthetic,my unc retired from the post office after thirty five years of service,0,1
synthetic,unc tried to use chatgpt for his fantasy lineup and lost by 40,1,1
synthetic,the unc baseball team is ranked third in the acc this season,0,1
synthetic,every cookout has that one unc who controls the grill and the music,1,1
synthetic,i'm flying out to see my unc and his new puppy this weekend,0,1
synthetic,unc said no cap unironically and i had to leave the room,1,1
synthetic,unc tuition went up again and my parents are not happy about it,0,1
synthetic,you can't call yourself young anymore if you watch espn first thing unc,1,1
synthetic,my unc volunteered at the food bank every saturday for the past decade,0,1
