uri,target_context,is_slang,synthetic
synthetic,i'm literally shook after watching that plot twist nobody saw coming,1,1
synthetic,she shook the bottle of salad dressing before pouring it over the greens,0,1
synthetic,the whole fandom is shook over the surprise album drop at midnight,1,1
synthetic,he shook my hand firmly and introduced himself as the new manager,0,1
synthetic,ngl i was shook when she pulled up in that outfit,1,1
synthetic,the earthquake shook buildings across three counties for nearly a minute,0,1
synthetic,everyone in the comments is shook about the breakup announcement,1,1
synthetic,the dog shook itself dry after climbing out of the lake,0,1
synthetic,bro i'm still shook from that jumpscare in the final scene,1,1
synthetic,she shook her head slowly and walked away without saying a word,0,1
synthetic,i was shook when my crush actually replied to my dm,1,1
synthetic,the bartender shook the cocktail vigorously before straining it into a chilled glass,0,1
synthetic,tiktok is shook over the way she called him out on live,1,1
synthetic,the wind shook the windows so hard i thought they'd shatter,0,1
synthetic,y'all i am shook this restaurant only has 3 stars on yelp,1,1
synthetic,he shook the rug outside to get rid of all the dust,0,1
synthetic,honestly shook that he chose her over the obvious better option,1,1
synthetic,the leaves shook gently as the breeze moved through the orchard,0,1
synthetic,my mom was shook when she saw my report card this semester,1,1
synthetic,she shook the snow globe and watched the tiny flakes settle slowly,0,1
synthetic,the entire stadium was shook after that buzzer beater three pointer,1,1
synthetic,the mechanic shook the can of oil before adding it to the engine,0,1
synthetic,i'm shook at how good this $5 mascara actually performs,1,1
synthetic,the protester shook his sign above his head as the crowd cheered,0,1
synthetic,twitter is shook tonight after that unhinged interview went viral,1,1
synthetic,she shook the maracas in time with the rest of the band,0,1
synthetic,deadass shook that nobody told me about this restaurant sooner,1,1
synthetic,the toddler shook the gift box trying to guess what was inside,0,1
synthetic,i'm shook he had the audacity to show up uninvited,1,1
synthetic,the explosion shook windows for blocks around the industrial site,0,1
synthetic,okay i'm officially shook after seeing how much that bag costs,1,1
synthetic,he shook the ketchup bottle a few times to loosen the contents,0,1
synthetic,fans are shook over the lineup change for the upcoming tour,1,1
synthetic,the soldier shook the sand out of his boots before lacing them up,0,1
synthetic,lowkey shook that this song is still slapping six years later,1,1
synthetic,the magnitude 6.2 quake shook the coastal city early sunday morning,0,1
synthetic,i was so shook seeing my old teacher at the club,1,1
synthetic,she shook hands with each board member before taking her seat,0,1
synthetic,i'm shook by how many seasons this show has somehow gotten,1,1
synthetic,the chef shook the pan to evenly distribute the sautéed mushrooms,0,1
synthetic,the audience was shook silent after that monologue,1,1
synthetic,the puppy shook with excitement when she heard the leash jingle,0,1
synthetic,i am shook at the absolute audacity of this email from hr,1,1
synthetic,he shook the paint can for a full minute before opening it,0,1
synthetic,shook is the only word to describe my face during that finale,1,1
synthetic,the train shook slightly as it passed over the old bridge,0,1
synthetic,no but i'm actually shook he remembered my birthday this year,1,1
synthetic,the chemist shook the flask gently to mix the two clear solutions,0,1
synthetic,the gymnastics fans were shook when she landed that triple twist,1,1
synthetic,my hands shook from the cold as i fumbled with my keys,0,1
synthetic,i'm shook this brand finally released a shade for darker skin tones,1,1
synthetic,the photographer shook the polaroid waiting for the image to develop,0,1
synthetic,shook is an understatement for how i feel about these prices,1,1
synthetic,she shook the thermometer down before placing it under her tongue,0,1
synthetic,the gaming community is shook over the new dlc announcement,1,1
synthetic,the rumble of the freight train shook the small wooden cabin,0,1
synthetic,girl i was shook when you said you were quitting your job,1,1
synthetic,the baker shook powdered sugar over the warm pastries on the tray,0,1
synthetic,ngl im shook that this restaurant has been here the whole time,1,1
synthetic,the priest shook holy water onto the congregation during the blessing,0,1
synthetic,everyone at the wedding was shook when the groom forgot his vows,1,1
synthetic,she shook the can of whipped cream before topping her hot chocolate,0,1
synthetic,i'm honestly shook that this conspiracy theory turned out to be true,1,1
synthetic,the foreman shook the ladder to make sure it was stable before climbing,0,1
synthetic,shook isn't even strong enough for what i felt watching that documentary,1,1
synthetic,the wind shook loose a few shingles from the garage roof,0,1
