uri,target_context,is_slang,synthetic
synthetic,i unlocked hard mode after beating the campaign on normal,0,1
synthetic,being a single parent of triplets is basically life on hard mode,1,1
synthetic,the boss has way more health and damage in hard mode,0,1
synthetic,moving to nyc with no job lined up is choosing hard mode for no reason,1,1
synthetic,you can only access the secret ending if you finish hard mode without dying,0,1
synthetic,dating in your 30s as a man under 6 feet is hard mode i swear,1,1
synthetic,the developers added a new hard mode in the latest patch,0,1
synthetic,going to grad school while raising a baby is hard mode activated,1,1
synthetic,i recommend playing through the story on normal before trying hard mode,0,1
synthetic,trying to lose weight during the holidays feels like hard mode honestly,1,1
synthetic,hard mode disables fast travel and reduces your ammo capacity,0,1
synthetic,buying a house in this market is literally hard mode for millennials,1,1
synthetic,the achievement for clearing every dungeon in hard mode took me 80 hours,0,1
synthetic,she's running a startup while pregnant which is just life on hard mode,1,1
synthetic,enemies respawn faster and hit harder once you switch to hard mode,0,1
synthetic,being introverted in sales is playing the career game on hard mode,1,1
synthetic,i finally beat the final boss on hard mode after countless attempts,0,1
synthetic,learning mandarin as your first foreign language is hard mode for sure,1,1
synthetic,the hard mode exclusive armor set looks insane,0,1
synthetic,renting in san francisco on a teacher salary is hard mode chosen at character creation,1,1
synthetic,you can toggle hard mode from the options menu at any time,0,1
synthetic,doing keto while your whole family eats pasta every night is hard mode,1,1
synthetic,hard mode introduces new mechanics like permadeath and limited saves,0,1
synthetic,homeschooling four kids while wfh is just hard mode every single day,1,1
synthetic,the speedrun community considers hard mode the official category,0,1
synthetic,coming out to conservative parents in a small town is hard mode existence,1,1
synthetic,i'm grinding hard mode for the legendary weapon drops,0,1
synthetic,trying to make friends as an adult is the definition of hard mode,1,1
synthetic,hard mode is locked until you complete the main story once,0,1
synthetic,starting a fitness journey at 400 pounds is hard mode but he's doing it,1,1
synthetic,the patch notes mention several balance changes specifically for hard mode,0,1
synthetic,being neurodivergent in corporate america is hard mode unlocked at birth,1,1
synthetic,i play every fromsoft game on hard mode if it's available,0,1
synthetic,moving across the country for love at 22 is hard mode but worth it,1,1
synthetic,hard mode requires you to manage hunger thirst and stamina constantly,0,1
synthetic,freelancing without a financial cushion is hard mode for your nervous system,1,1
synthetic,they nerfed several builds that were too strong in hard mode,0,1
synthetic,trying to save money in your 20s in this economy is hard mode,1,1
synthetic,hard mode is genuinely brutal until you upgrade your gear,0,1
synthetic,running a small business while undergoing chemo is hard mode i can't even imagine,1,1
synthetic,the game basically becomes a different experience on hard mode,0,1
synthetic,being a vegetarian at a steakhouse wedding is hard mode dining,1,1
synthetic,hard mode finally felt fair after they patched the broken encounters,0,1
synthetic,navigating the dmv without an appointment is hard mode bureaucracy,1,1
synthetic,i streamed my entire hard mode playthrough last weekend,0,1
synthetic,going through divorce with three kids and a mortgage is hard mode life,1,1
synthetic,hard mode removes the minimap and tutorial prompts,0,1
synthetic,being a redhead in arizona summer is choosing hard mode geography,1,1
synthetic,the trophy for completing hard mode without using consumables is impossible,0,1
synthetic,raising teenagers in the smartphone era is parenting on hard mode,1,1
synthetic,i think the devs balanced hard mode pretty well in this expansion,0,1
synthetic,applying to jobs with a gap on your resume is hard mode applications,1,1
synthetic,hard mode adds elite enemy variants that appear randomly,0,1
synthetic,trying to eat healthy when you work nights is hard mode nutrition,1,1
synthetic,you'll need to coordinate with your team carefully in hard mode raids,0,1
synthetic,going sober during football season is hard mode for any bills fan,1,1
synthetic,the leaderboards for hard mode clear times are dominated by koreans,0,1
synthetic,having anxiety in customer service is doing your job on hard mode,1,1
synthetic,hard mode unlocks a new questline with the rogue faction,0,1
synthetic,being short and bald in the dating pool is hard mode according to him,1,1
synthetic,i prefer hard mode because normal feels too forgiving these days,0,1
synthetic,potty training twins simultaneously is hard mode parenting confirmed,1,1
synthetic,hard mode is the only difficulty where the true ending is accessible,0,1
synthetic,writing a dissertation with two toddlers at home is academic hard mode,1,1
synthetic,i don't recommend starting on hard mode if you've never played the series,0,1
synthetic,being lactose intolerant in wisconsin is hard mode cheese country,1,1
synthetic,hard mode actually makes the combat system shine,0,1
synthetic,moving back in with your parents at 35 feels like hard mode adulthood,1,1
synthetic,the trophies tied to hard mode bumped the platinum difficulty way up,0,1
synthetic,marathon training with a full time job is hard mode for sure,1,1
