uri,target_context,is_slang,synthetic
synthetic,i finally picked up the sigma 18-35 f1.8 and the image quality is honestly insane for the price,0,1
synthetic,my sigma 150-500 lens has been a workhorse for wildlife shots over the past decade,0,1
synthetic,in six sigma methodology you aim for fewer than 3.4 defects per million opportunities,0,1
synthetic,the sigma bond in ethane allows free rotation between the two carbon atoms,0,1
synthetic,sigma dropped another massive drum and bass tune last friday and the crowd at printworks went off,0,1
synthetic,pledged sigma chi back in college and i still keep in touch with most of my brothers,0,1
synthetic,the sigma fp is genuinely the smallest full frame camera you can buy right now,0,1
synthetic,we ordered the reagents from sigma aldrich and they arrived within three business days,0,1
synthetic,the standard deviation is usually denoted by the lowercase greek letter sigma in statistics,0,1
synthetic,bro really thinks he's a sigma male because he eats dinner alone at applebee's,1,1
synthetic,sigma factors help rna polymerase recognize specific promoter sequences in bacteria,0,1
synthetic,my dad still drives his old mitsubishi sigma from the eighties and refuses to sell it,0,1
synthetic,the sigma 70-200 sport is heavier than the canon version but optically it punches above its weight,0,1
synthetic,only a sigma would walk out of the meeting without saying a word to anyone,1,1
synthetic,phi beta sigma is hosting a step show on saturday night at the student union,0,1
synthetic,using sigma notation makes the formula way more compact than writing out every term,0,1
synthetic,that kid in the back of class staring out the window is straight up sigma behavior,1,1
synthetic,the sigma sd14 used a foveon sensor which captured color very differently from a bayer array,0,1
synthetic,my company sent me to a six sigma green belt training last month and i actually learned a lot,0,1
synthetic,sigma grindset means waking up at 4am to drink raw eggs and ignore everyone who texts you,1,1
synthetic,the sigma art series primes have basically become the budget pro photographer's standard kit,0,1
synthetic,walter schirra flew the sigma 7 capsule during the mercury program in 1962,0,1
synthetic,sigma and modestep collaborated on a track that absolutely smashed the festival circuit,0,1
synthetic,if you sum from i equals one to n of i squared that's a classic sigma series,0,1
synthetic,the local sigma nu chapter got suspended after the hazing incident last spring,0,1
synthetic,every guy in my gym thinks he's a sigma now and it's getting embarrassing to watch,1,1
synthetic,sigma's nikon mount lenses are finally getting updated firmware for the newer z bodies,0,1
synthetic,the chi square test uses the variance which involves sigma squared in its calculation,0,1
synthetic,my professor wrote sigma h equals zero on the board to set up the moment equilibrium equation,0,1
synthetic,that move was lowkey sigma not even gonna lie,1,1
synthetic,sigma aldrich is now part of merck but most chemists still refer to it by the old name,0,1
synthetic,the sigma 105mm macro has been my go to lens for product photography for years,0,1
synthetic,in particle physics the sigma baryons come in three charge states,0,1
synthetic,calling yourself a sigma male is literally the least sigma thing you could possibly do,1,1
synthetic,sigma's headline set at glastonbury back in 2015 is still talked about in dnb circles,0,1
synthetic,the company adopted lean sigma practices to cut waste from their assembly line,0,1
synthetic,i swapped my canon glass for the sigma 35 art and never looked back,0,1
synthetic,the activation energy correlates with the hammett sigma parameter for these substituted benzenes,0,1
synthetic,he ghosted the group chat for two weeks and came back like nothing happened absolute sigma,1,1
synthetic,sigma corporation announced new firmware support for their global vision lens lineup,0,1
synthetic,the sample mean over sigma divided by root n gives you the test statistic,0,1
synthetic,sigma released find me with birdy back in 2016 and it charted in like fifteen countries,0,1
synthetic,only in ohio would you find a sigma rizzing up the cafeteria lady,1,1
synthetic,my old sigma 17-50 finally died after about a hundred thousand shutter actuations,0,1
synthetic,sigma orionis is a multiple star system visible just below orion's belt,0,1
synthetic,the manufacturer claims six sigma quality on every single solder joint coming off the line,0,1
synthetic,refusing to share fries is the most sigma thing i've ever witnessed at a five guys,1,1
synthetic,sigma's new contemporary line targets vloggers with lighter and faster autofocus designs,0,1
synthetic,the integral can be approximated by a riemann sigma sum as the partition gets finer,0,1
synthetic,his sigma stare across the lecture hall had everyone laughing for like ten minutes,1,1
