uri,target_context,is_slang,synthetic
synthetic,bro is so salty he lost one match and rage quit the whole lobby,1,1
synthetic,the broth came out way too salty after i added the second bouillon cube,0,1
synthetic,why are you still salty about a comment i made three weeks ago,1,1
synthetic,these chips are way too salty for my blood pressure to handle,0,1
synthetic,don't be salty just because i got the promotion you wanted,1,1
synthetic,the dead sea is so salty that you can float on the surface without effort,0,1
synthetic,the comments under that tweet are full of salty fans coping hard,1,1
synthetic,she added a pinch of salty miso paste to balance the sweetness of the glaze,0,1
synthetic,ngl i'm a little salty i didn't get invited to the party,1,1
synthetic,the salty ocean breeze was corroding the metal railings on the pier,0,1
synthetic,everyone in the chat got salty after the streamer clutched the round,1,1
synthetic,if the dish tastes salty try adding a splash of vinegar or a bit of sugar,0,1
synthetic,he's been salty ever since i beat him in chess last weekend,1,1
synthetic,the salty crust on the pretzel paired perfectly with the sweet mustard dip,0,1
synthetic,you can tell she's salty about it from the way she keeps subtweeting,1,1
synthetic,groundwater near the coast can become salty due to seawater intrusion,0,1
synthetic,imagine being this salty over a fictional character's storyline lol,1,1
synthetic,the recipe calls for salty capers to add a briny pop to the pasta,0,1
synthetic,dude stop being salty and just admit the call was fair,1,1
synthetic,i prefer salty snacks over sweet ones when i'm watching a movie,0,1
synthetic,the losing team's coach gave a really salty interview after the buzzer,1,1
synthetic,the salty marsh ecosystem supports a unique range of plants and birds,0,1
synthetic,she got salty real quick when i mentioned her ex's new girlfriend,1,1
synthetic,the feta was too salty so i soaked it in water for a few minutes,0,1
synthetic,no need to be salty bestie it's just a game,1,1
synthetic,salty cod was a staple food preserved by sailors during long voyages,0,1
synthetic,the whole subreddit went salty after the patch nerfed their main,1,1
synthetic,tears taste salty because they contain sodium and other electrolytes,0,1
synthetic,you can hear the salty tone in his voice every time he talks about the trade,1,1
synthetic,i love a good salty caramel drizzle on top of vanilla ice cream,0,1
synthetic,i'm not salty i swear i just think the ranking system is broken,1,1
synthetic,the lake was so salty that almost no fish could survive in its waters,0,1
synthetic,twitter has been extra salty since the finale aired last night,1,1
synthetic,olives have a deep salty flavor that works really well on a charcuterie board,0,1
synthetic,he's salty because his fantasy team finally got dropped from the playoffs,1,1
synthetic,the dough was a bit too salty for my taste but the texture was perfect,0,1
synthetic,stop being salty in the comments and let people enjoy things,1,1
synthetic,you'll need a salty brine to cure the meat for at least 24 hours,0,1
synthetic,everyone is salty that the dlc is locked behind a paywall,1,1
synthetic,the salty taste lingers because of the residue left on the tongue,0,1
synthetic,i was kinda salty about losing but i got over it after a snack,1,1
synthetic,rim the glass with a salty mixture for a classic margarita finish,0,1
synthetic,she got real salty when i didn't reply to her message fast enough,1,1
synthetic,the chef warned us that the anchovies would make the sauce naturally salty,0,1
synthetic,lowkey salty that they cast someone else for the lead role,1,1
synthetic,after a long swim in the ocean my skin felt sticky and salty,0,1
synthetic,they're just salty losers who can't accept that their team got outplayed,1,1
synthetic,the salty pretzel rolls at the bakery sell out before noon every day,0,1
synthetic,why is everyone so salty in this chat today like chill,1,1
synthetic,high blood pressure can be worsened by eating overly salty processed foods,0,1
synthetic,the devs are getting salty replies after announcing the price hike,1,1
synthetic,i added a salty cheese on top to balance the sweetness of the figs,0,1
synthetic,he's been salty all week because his bracket got busted in round one,1,1
synthetic,salty soil makes it difficult to grow most common garden vegetables,0,1
synthetic,okay miss salty calm down it's not that deep,1,1
synthetic,the snack mix had a salty crunchy element that kept me reaching for more,0,1
synthetic,the fanbase got really salty after the season finale leaked early,1,1
synthetic,preserved lemons add a salty fermented depth to many moroccan dishes,0,1
synthetic,he tried to act chill but you could tell he was salty underneath,1,1
synthetic,the salty mist from the waterfall actually came from the briny river below,0,1
synthetic,imagine writing a whole essay because you're salty about a meme,1,1
synthetic,boil the pasta in heavily salty water to season it properly from the inside,0,1
synthetic,she's still salty over a tournament that happened like two years ago,1,1
synthetic,the salty rim on the chip catches the lime juice in the perfect way,0,1
synthetic,don't get salty just because i called out your bad take,1,1
synthetic,the dish was too salty so the critic gave it a lukewarm review,0,1
synthetic,fans are getting salty in the replies about the new uniform design,1,1
synthetic,soy sauce is famously salty so use it sparingly when seasoning the stir fry,0,1
