uri,target_context,is_slang,synthetic
synthetic,i can't wait to unbox the new iphone tonight on stream,1,1
synthetic,please unbox the kitchenware first since we need plates for dinner,0,1
synthetic,let's unbox this mystery package from a subscriber,1,1
synthetic,movers will help you unbox the heavier items in the garage,0,1
synthetic,bro the way he unbox that ps5 had me ngl hyped,1,1
synthetic,i'll unbox the new tools as soon as the workbench is clear,0,1
synthetic,watching her unbox luxury bags is honestly my comfort content,1,1
synthetic,remember to unbox the fragile dishes before stacking them on the counter,0,1
synthetic,today we unbox the gpu everyone has been begging me to review,1,1
synthetic,she helped her grandmother unbox the new microwave from the appliance store,0,1
synthetic,ok chat we finally unbox the limited edition pokemon collection,1,1
synthetic,the warehouse staff will unbox the shipment of medical supplies tomorrow morning,0,1
synthetic,i swear every youtuber is just trying to unbox the same stanley cup,1,1
synthetic,we need to unbox these books before the shelf gets delivered,0,1
synthetic,the unbox vid hit 2 million views in like a day fr,1,1
synthetic,carefully unbox the porcelain figurine and check it for any cracks,0,1
synthetic,yo can you unbox it on camera so we can see the reaction,1,1
synthetic,i'll unbox the printer once i clear space on the desk,0,1
synthetic,they paid him bank just to unbox their new energy drink,1,1
synthetic,after the flight i was too tired to unbox my suitcase,0,1
synthetic,tune in friday when we unbox the entire mystery box drop,1,1
synthetic,the teacher had the kids unbox the new art supplies one item at a time,0,1
synthetic,asmr unbox vids genuinely put me to sleep every night,1,1
synthetic,use a box cutter to safely unbox the package without damaging the contents,0,1
synthetic,lowkey i only watch these guys to unbox sneakers,1,1
synthetic,we should unbox the christmas ornaments this weekend before the tree goes up,0,1
synthetic,this dude got sponsored to unbox a literal toothbrush ahaha,1,1
synthetic,please unbox the speakers gently the wires are tangled inside,0,1
synthetic,the channel really blew up after that supreme unbox haul,1,1
synthetic,i had to unbox three crates of inventory before the store opened,0,1
synthetic,she's about to unbox the new chanel drop and im seated,1,1
synthetic,the team will unbox the lab equipment under supervision from the safety officer,0,1
synthetic,no way bro really gonna unbox a $5000 keyboard on cam,1,1
synthetic,remember to unbox the lamp shade separately so it doesn't get crushed,0,1
synthetic,i'll unbox the funko pop collection on tiktok later tonight,1,1
synthetic,after delivery employees must unbox each item and log it in the inventory system,0,1
synthetic,this unbox era is getting outta hand every creator does it now,1,1
synthetic,she sat on the floor to unbox the wedding gifts one by one,0,1
synthetic,ngl the unbox asmr trend is straight up healing my anxiety,1,1
synthetic,let me unbox the new monitor before i set up the cables,0,1
synthetic,watch me unbox the most expensive purse ive ever bought lol,1,1
synthetic,we will unbox the antique vase only when the appraiser arrives,0,1
synthetic,every kid on youtube wants to unbox toys these days,1,1
synthetic,i had to unbox the dishwasher manual to find the warranty info,0,1
synthetic,bestie come over tonight we gonna unbox my shein haul,1,1
synthetic,she will unbox the new sewing machine and give it a quick test,0,1
synthetic,the giveaway winner gets to unbox the prize live on twitch,1,1
synthetic,be careful when you unbox the chandelier the crystals are loose,0,1
synthetic,guys we unbox the sponsorship package today and its absolutely stacked,1,1
synthetic,you can unbox the painting only after we measure the wall,0,1
synthetic,this kid has built an empire just to unbox happy meals,1,1
synthetic,we will unbox the donated textbooks and sort them for the library,0,1
synthetic,imma unbox the new airpods in the next vid pls subscribe,1,1
synthetic,the curator asked us to unbox the artifacts wearing cotton gloves,0,1
synthetic,tbh nothing beats a chill unbox video on a sunday morning,1,1
synthetic,i need to unbox the new fridge before the delivery guys leave,0,1
synthetic,fans were hyped af when he finally unbox the rare jordan 1s,1,1
synthetic,the volunteers will unbox the donations and stack them by category,0,1
synthetic,ok bet lets unbox these mystery skincare samples real quick,1,1
synthetic,after we unbox the gaming chair the assembly should only take an hour,0,1
synthetic,lemme unbox this asap chat is going crazy in the comments,1,1
synthetic,she helped me unbox all my childhood toys from the storage unit,0,1
synthetic,every black friday creators line up to unbox the latest tech drops,1,1
synthetic,i refuse to unbox the new tv until we mount the bracket,0,1
synthetic,the unbox community on yt honestly carries the algorithm at this point,1,1
synthetic,we asked the staff to unbox the inventory before opening the doors,0,1
