uri,target_context,is_slang,synthetic
synthetic,bro stop yapping nobody asked for your life story,1,1
synthetic,the neighbor's chihuahua was yapping at every squirrel that came near the fence,0,1
synthetic,she's been yapping on stream for three hours straight and i'm here for it,1,1
synthetic,i could hear a small dog yapping somewhere down the alley as i locked up,0,1
synthetic,why are you yapping so much in the gc when you never reply to dms,1,1
synthetic,the puppy started yapping the moment the mail carrier stepped onto the porch,0,1
synthetic,this dude yapping in the comments like anyone actually read his essay,1,1
synthetic,a pack of yapping terriers chased after the cyclist down the country road,0,1
synthetic,real ones know i yap but at least my yapping is entertaining,1,1
synthetic,the small pomeranian wouldn't stop yapping until its owner picked it up,0,1
synthetic,average twitter user yapping about a movie they haven't even seen,1,1
synthetic,i was woken up at 6am by a dog yapping outside my window,0,1
synthetic,she really thought she ate with that yapping session in the group chat,1,1
synthetic,the foxes were yapping in the woods all night which kept the campers awake,0,1
synthetic,stop yapping and post the link already we don't need the backstory,1,1
synthetic,trainers recommend addressing excessive yapping in young dogs as early as possible,0,1
synthetic,my professor be yapping for the full 90 minutes and i still don't know the homework,1,1
synthetic,the jack russell terrier is notorious for yapping at strangers entering the home,0,1
synthetic,y'all really sat through twenty minutes of him yapping about nothing,1,1
synthetic,two small dogs were yapping at each other across the dog park fence,0,1
synthetic,no thoughts just yapping in the discord vc for six hours,1,1
synthetic,the coyote's yapping echoed through the canyon as the sun went down,0,1
synthetic,if i hear one more influencer yapping about morning routines i'm uninstalling tiktok,1,1
synthetic,neighbors complained about the constant yapping coming from the apartment next door,0,1
synthetic,the yapping in this thread is crazy y'all need hobbies,1,1
synthetic,she scolded the terrier for yapping at the delivery man every single afternoon,0,1
synthetic,ngl i love yapping with my friends until 3am about absolute nonsense,1,1
synthetic,the shelter staff said the yapping usually stops once the dogs settle in,0,1
synthetic,he keeps yapping like his opinion matters but mans got 12 followers,1,1
synthetic,a tiny dog was yapping furiously at the much larger labrador in the lobby,0,1
synthetic,i love when my therapist lets me just yap because the yapping is therapeutic,1,1
synthetic,researchers noted distinct yapping vocalizations among the wild dhole population,0,1
synthetic,she's yapping in the back of every video and somehow it's iconic,1,1
synthetic,the kennel was filled with the sound of yapping puppies eager for breakfast,0,1
synthetic,yapping with the homies hits different when there's no agenda,1,1
synthetic,every morning the same yapping pomeranian announces my walk to the bus stop,0,1
synthetic,tell your mans to stop yapping in my replies i'm trying to eat,1,1
synthetic,a high pitched yapping came from the carrier as we passed through security,0,1
synthetic,girls love yapping about their crush for hours and i love listening,1,1
synthetic,the dog kept yapping at its reflection in the sliding glass door,0,1
synthetic,this podcast is literally just two guys yapping about nothing and i'm hooked,1,1
synthetic,the shih tzu started yapping the second i rang the doorbell,0,1
synthetic,she's the queen of yapping and we eat it up every single episode,1,1
synthetic,you can usually reduce yapping behavior with consistent training and positive reinforcement,0,1
synthetic,less yapping more action please i've been waiting on this update for weeks,1,1
synthetic,the yapping of distant farm dogs carried across the field on the cold morning,0,1
synthetic,bro thinks his yapping is gonna change my mind on this game,1,1
synthetic,she gently shushed the yapping puppy and offered it a small treat,0,1
synthetic,i just wanted some food but the cashier was yapping with the previous customer forever,1,1
synthetic,neighborhood watch meetings keep getting derailed by jim's yapping schnauzer,0,1
synthetic,the way she's yapping in this interview has me cracking up,1,1
synthetic,the fox kits were yapping near the den entrance as their mother approached,0,1
synthetic,stop yapping in my notifications and just send the meme already,1,1
synthetic,the yapping of seal pups on the rocky shoreline could be heard from the trail,0,1
synthetic,honestly the yapping in this video essay made it ten times better,1,1
synthetic,she muzzled the yapping dog when guests arrived to keep the chaos down,0,1
synthetic,my girl be yapping about astrology and i pretend to understand all of it,1,1
synthetic,a chorus of yapping greeted us the moment we entered the boarding facility,0,1
synthetic,yapping at 2am with the bestie is genuinely a cure for everything,1,1
synthetic,the yapping coming from the back seat made the long drive feel even longer,0,1
synthetic,imagine yapping this hard about a fictional character that doesn't even exist,1,1
synthetic,the trainer addressed yapping triggers like doorbells and unfamiliar visitors during the session,0,1
synthetic,his yapping is unmatched fr i could listen to that man rant for days,1,1
synthetic,we found the lost dog by following the sound of its frantic yapping,0,1
synthetic,anyway sorry for yapping that's just my two cents on the situation,1,1
synthetic,the dachshund's yapping echoed in the empty hallway as the family left for work,0,1
