uri,target_context,is_slang,synthetic
synthetic,this cafe has the best vibes for studying on a rainy afternoon,1,1
synthetic,i'm not going if she's gonna be there because the vibes will be off,1,1
synthetic,his new album is straight summer vibes from start to finish,1,1
synthetic,the string vibes at the bridge are clearly visible in the slow-motion footage,0,1
synthetic,we matched on tinder and immediately the vibes were immaculate,1,1
synthetic,the engineer measured the vibes produced by the motor at various rpm levels,0,1
synthetic,honestly i'm just here for the vibes not the conversation,1,1
synthetic,low frequency vibes from the speaker were causing the glass on the shelf to rattle,0,1
synthetic,her outfit gave dark academia vibes which i absolutely loved,1,1
synthetic,the seismograph captures even the tiniest vibes from underground tremors,0,1
synthetic,this playlist is pure chill vibes and i can't stop replaying it,1,1
synthetic,the report concluded that excess vibes from the bridge supports could weaken the structure over time,0,1
synthetic,everyone at the wedding was getting good vibes from the new couple,1,1
synthetic,harmonic vibes in the wing assembly are something every aeronautical engineer studies carefully,0,1
synthetic,the office gives off such weird vibes ever since the new manager started,1,1
synthetic,small mechanical vibes can be detected by accelerometers attached to the housing,0,1
synthetic,i got bad vibes from him the second he walked in the door,1,1
synthetic,the technician dampens unwanted vibes using rubber mounts under the compressor,0,1
synthetic,her room is decorated with fairy lights and gives total cozy vibes,1,1
synthetic,the test stand recorded vibes well above the threshold considered safe for human exposure,0,1
synthetic,this restaurant has zero vibes and the lighting is way too bright,1,1
synthetic,musical vibes traveling through the wood of the violin give it its distinct timbre,0,1
synthetic,you can really feel the early 2000s vibes in this music video,1,1
synthetic,we use foam padding to absorb the vibes generated by the pump during operation,0,1
synthetic,no thoughts just vibes today honestly,1,1
synthetic,the lab measured high-frequency vibes coming from the centrifuge that exceeded normal limits,0,1
synthetic,saturday morning cartoons and pancakes the ultimate childhood vibes,1,1
synthetic,ground vibes from passing trains can disturb sensitive optical equipment in nearby buildings,0,1
synthetic,she walked in and instantly changed the vibes of the entire party,1,1
synthetic,the mechanic noticed unusual vibes coming from the front axle during the test drive,0,1
synthetic,this candle smells incredible and the vibes are unmatched,1,1
synthetic,the vibes traveling through the rail can be measured several miles from the source,0,1
synthetic,i love the cottagecore vibes she's been posting lately,1,1
synthetic,structural vibes were dampened with newly installed isolators around the generator,0,1
synthetic,no cap this place gives main character vibes,1,1
synthetic,tactile vibes from the touchscreen provide feedback to the user during typing,0,1
synthetic,i was getting major ick vibes from his texting style,1,1
synthetic,the device detects subtle vibes in the floor that indicate footsteps in adjacent rooms,0,1
synthetic,her aesthetic is giving 70s disco vibes and i'm here for it,1,1
synthetic,researchers studied how vibes from wind turbines might affect local wildlife populations,0,1
synthetic,we stayed home and watched movies just chasing those rainy day vibes,1,1
synthetic,the smartphone sends little vibes through the case whenever a new notification arrives,0,1
synthetic,the bar downtown has unbeatable vibes on a friday night,1,1
synthetic,industrial vibes near the assembly line caused fatigue cracking in the support beams,0,1
synthetic,the vibes around the office shifted after the layoffs were announced,1,1
synthetic,the phone's haptic vibes felt different after the firmware update,0,1
synthetic,drinking iced coffee on the patio gives such soft girl vibes,1,1
synthetic,we recorded the vibes of the bridge as heavy trucks crossed during peak hours,0,1
synthetic,her brand of comedy gives chaotic best friend vibes and i love it,1,1
synthetic,ultrasonic vibes are used in cleaning delicate jewelry without damaging the surface,0,1
synthetic,this thrift store haul is giving me serious y2k vibes,1,1
synthetic,constant vibes from the highway can be felt in houses built close to the road,0,1
synthetic,his apartment has cluttered bachelor vibes but somehow it works,1,1
synthetic,the vibes from the drill press are absorbed by a thick concrete pad beneath the machine,0,1
synthetic,i can't explain it but the vibes are just off today,1,1
synthetic,early detection of unusual vibes in turbines can prevent catastrophic mechanical failure,0,1
synthetic,tropical drinks and steel drums full vacation vibes activated,1,1
synthetic,the geologist analyzed vibes recorded by the sensors after the small earthquake,0,1
synthetic,the new coffee shop has hipster vibes written all over it,1,1
synthetic,low amplitude vibes can still cause long-term damage to precision instruments,0,1
synthetic,we left the party early because the vibes turned sour fast,1,1
synthetic,engineers reduced unwanted vibes in the engine bay using strategic placement of dampers,0,1
synthetic,she's been giving cold and distant vibes all week and i don't know why,1,1
synthetic,vibes propagate through solids at different speeds depending on the density of the material,0,1
synthetic,this lofi mix at 2am is unmatched vibes,1,1
synthetic,the vibes from the washing machine on spin cycle shook the entire laundry room,0,1
synthetic,the trip wasn't about the destination it was about the vibes,1,1
synthetic,spring vibes through suspension systems are essential to a smooth ride on rough roads,0,1
synthetic,his outfit said job interview but the vibes said hungover,1,1
synthetic,we noticed unusual vibes in the foundation after the heavy construction next door,0,1
synthetic,the new puppy gives pure chaotic happiness vibes,1,1
synthetic,monitoring vibes in the bearings helps predict when they will need replacement,0,1
