uri,target_context,is_slang,synthetic
synthetic,the philosophy seminar debated whether viruses are alive or unalive,0,1
synthetic,zombies in this lore are described as unalive rather than dead,0,1
synthetic,she touched the unalive husk of the cicada on the windowsill,0,1
synthetic,according to the textbook crystals are technically unalive despite growing,0,1
synthetic,the dungeon master said the wraiths count as unalive for radiant damage purposes,0,1
synthetic,descartes argued that animals were essentially unalive automata driven by mechanics,0,1
synthetic,minerals and rocks belong in the unalive category of natural science,0,1
synthetic,the gothic poem described the forest as unalive in the dead of winter,0,1
synthetic,these silk flowers look unalive up close but stunning in wedding photographs,0,1
synthetic,our biology teacher quizzed us on alive versus unalive matter for the midterm,0,1
synthetic,the lich is unalive but still maintains its scholarly intellect according to the lore,0,1
synthetic,she felt the room go unalive after the lamp burned out around midnight,0,1
synthetic,some scholars argue that prions are neither alive nor unalive in any meaningful sense,0,1
synthetic,the protagonist drifts through the unalive city after the plague has passed,0,1
synthetic,mannequins always look unalive even when dressed in real designer clothing,0,1
synthetic,the unalive remains of the salt marsh stretched for miles in every direction,0,1
synthetic,when you freeze the bacteria they appear unalive but reactivate later under warmth,0,1
synthetic,that taxidermy fox looked unalive in a way that genuinely creeped me out,0,1
synthetic,the band unalive dropped their second album last friday on bandcamp,0,1
synthetic,ghosts in this universe are unalive entities tethered to physical objects,0,1
synthetic,the candle wax sat unalive on the table after the flame went out,0,1
synthetic,botanists distinguish dormant seeds from truly unalive seeds in the soil bank,0,1
synthetic,the painting depicted an unalive landscape of grey ash and broken bone,0,1
synthetic,vampires in this novel describe themselves as unalive rather than undead,0,1
synthetic,her sculpture series called unalive opens at the gallery downtown tomorrow night,0,1
synthetic,the museum exhibit labeled the fossils as unalive specimens preserved in stone,0,1
synthetic,an unalive object cannot suffer so the ethics question kind of dissolves,0,1
synthetic,winter makes the maple look unalive but the buds are already forming underneath,0,1
synthetic,the mannequin's unalive stare unsettled customers near the window display,0,1
synthetic,some hindu texts treat the unalive elements as still part of brahman,0,1
synthetic,after the storm the coral reef looked completely unalive and bleached white,0,1
synthetic,the song unalive by the indie duo went viral on bandcamp last spring,0,1
synthetic,she hated how unalive the office plants looked after the holiday closure,0,1
synthetic,the chemist explained the difference between alive and unalive carbon compounds,0,1
synthetic,inside the cryo chamber the tissues remain technically unalive yet preserved,0,1
synthetic,the abandoned village felt unalive even in broad daylight,0,1
synthetic,medieval bestiaries sometimes placed dragons in the unalive category alongside basilisks,0,1
synthetic,there's something deeply unalive about an empty playground at dusk,0,1
synthetic,tiktok kids say unalive because the algorithm punishes the word kill,1,1
synthetic,i'm gonna unalive myself if my professor assigns one more reading this week,1,1
synthetic,the streamer kept saying unalive to dodge the chat filter,1,1
synthetic,bro that final boss almost unalived me three runs in a row,1,1
synthetic,she made a video about losing her brother and used the word unalive throughout,1,1
synthetic,mods will shadowban you if you don't write unalive instead of the real word,1,1
synthetic,the meme was just him saying he wanted to unalive himself over taxes,1,1
synthetic,she unalived the entire raid party by accident with one mistimed spell,1,1
synthetic,don't unalive me chat i'm trying my best at this stupid platformer,1,1
synthetic,the lyrics literally say unalive me and the kids think it's deep poetry,1,1
synthetic,my little cousin uses unalive in normal conversation now and i hate it,1,1
synthetic,he typed unalive in the comments to get past the moderation bot,1,1
