uri,target_context,is_slang,synthetic
synthetic,bro is about to crash out over a video game match i swear,1,1
synthetic,after the long hike we just wanted to crash out on the couch and not move,0,1
synthetic,she's gonna crash out if her ex shows up at the party tonight,1,1
synthetic,i was so tired after the flight that i went straight home to crash out,0,1
synthetic,don't crash out in the group chat just because they ignored your message,1,1
synthetic,verstappen was on pace to win until he had to crash out on lap 42,0,1
synthetic,no cap if my boss talks to me like that one more time i'm gonna crash out,1,1
synthetic,the rookie was leading the heat but managed to crash out on the final corner,0,1
synthetic,she really crashed out in the comments section over a tiktok dance,1,1
synthetic,i'll probably just crash out at your place if it gets too late to drive home,0,1
synthetic,kid in my class fully crashed out at the teacher and got escorted out,1,1
synthetic,after pulling an all nighter for finals i'm ready to crash out for twelve hours,0,1
synthetic,why do dudes always crash out the second a girl doesn't text back,1,1
synthetic,two riders crashed out during the muddy descent forcing officials to red flag the stage,0,1
synthetic,i was this close to crashing out in the dmv line today,1,1
synthetic,feel free to crash out in the guest room there are extra blankets in the closet,0,1
synthetic,she crashed out on twitter and deleted her whole account within an hour,1,1
synthetic,the favorite to win the tournament crashed out in the first round in a shocking upset,0,1
synthetic,homie pulled up to the wedding ready to crash out on his cousin,1,1
synthetic,i'm just gonna grab a slice and crash out i can't keep my eyes open,0,1
synthetic,lowkey i think i'm gonna crash out at work tomorrow if they pile on more tasks,1,1
synthetic,england crashed out of the world cup after a heartbreaking penalty shootout,0,1
synthetic,she been crashing out every other week on her livestream lately,1,1
synthetic,the kids were so worn out from the pool they crashed out before dinner was ready,0,1
synthetic,tell your boy to chill before he crashes out and gets banned from the server,1,1
synthetic,team usa crashed out in the quarterfinals after a brutal loss to france,0,1
synthetic,i nearly crashed out when i saw the rent increase notice on my door,1,1
synthetic,we drove ten hours straight and then crashed out at a motel off the interstate,0,1
synthetic,don't crash out in the parking lot bro it's not that serious,1,1
synthetic,after thanksgiving dinner everyone tends to crash out in front of the tv watching football,0,1
synthetic,she crashed out at the dealership when they tried to add hidden fees,1,1
synthetic,the cyclist was in third place before he crashed out near the finish line,0,1
synthetic,i can already tell my mom is gonna crash out when she sees these grades,1,1
synthetic,feel like i could crash out for a week after this work week from hell,1,1
synthetic,germany crashed out of the group stage for the second tournament in a row,0,1
synthetic,this dude really crashed out in the drive thru over forgotten sauce packets,1,1
synthetic,if you don't want to drive home you can crash out on the air mattress upstairs,0,1
synthetic,she crashed out so hard the whole restaurant stopped to watch,1,1
synthetic,hamilton looked strong all weekend until a suspension failure forced him to crash out,0,1
synthetic,stop replying to him you're gonna make him crash out worse,1,1
synthetic,i need to crash out early tonight because my flight leaves at five am,0,1
synthetic,my little brother crashes out anytime someone touches his switch,1,1
synthetic,the defending champion crashed out in the semis after a controversial refereeing call,0,1
synthetic,ngl i was about to crash out when the wifi went down during the raid,1,1
synthetic,she said she was just gonna lie down for a sec and then crashed out for four hours,0,1
synthetic,bro crashed out on his manager in front of the whole crew it was wild,1,1
synthetic,spain crashed out of the euros in a stunning loss to a much weaker side,0,1
synthetic,imagine crashing out in public over a parking spot lmao get a grip,1,1
synthetic,i'll crash out as soon as we get back to the hotel my feet are killing me,0,1
synthetic,she crashed out on him after finding the texts on his phone,1,1
synthetic,two drivers crashed out on the opening lap when the track conditions turned wet,0,1
synthetic,every time i open my email i feel like i'm gonna crash out,1,1
synthetic,the toddler crashed out within minutes of getting in the car seat,0,1
synthetic,if she crashes out one more time at thanksgiving we're not inviting her back,1,1
synthetic,the underdog team crashed out earlier than expected losing in straight sets,0,1
synthetic,you can practically see him about to crash out in every meeting,1,1
synthetic,after a long shift at the hospital all i want to do is crash out and forget everything,0,1
synthetic,she full on crashed out in the airport when they cancelled her connecting flight,1,1
synthetic,norris was running second before a strategy error caused him to crash out late in the race,0,1
synthetic,my coworker crashes out at the printer like clockwork every monday morning,1,1
synthetic,we crashed out under the stars after roasting marshmallows by the fire,0,1
synthetic,twitter is wild today everyone's crashing out over the new update,1,1
synthetic,brazil crashed out of the copa america after a disappointing draw against colombia,0,1
synthetic,no shot i'm gonna crash out if this update deletes my save file again,1,1
synthetic,the puppy played for an hour and then crashed out in his bed without a sound,0,1
synthetic,she really crashed out in the group chat at three am and woke everyone up,1,1
synthetic,japan crashed out of the tournament despite playing some of the best football of the year,0,1
synthetic,i was crashing out internally the whole meeting trying to keep a straight face,1,1
synthetic,i need to eat something before i crash out from low blood sugar,0,1
synthetic,the way he crashed out in line at chipotle is going viral right now,1,1
