uri,target_context,is_slang,synthetic
synthetic,my brother keeps yeeting his controller across the room every time he loses a match,1,1
synthetic,i just spent twenty minutes yeeting my keys around the apartment looking for the front door,1,1
synthetic,stop yeeting the cat off the couch she's just trying to nap,1,1
synthetic,watching my dog go absolute mode yeeting his toy across the yard is peak comedy,1,1
synthetic,i'm yeeting this resume at every company on linkedin until someone hires me,1,1
synthetic,she was yeeting compliments at everyone in the group chat last night,1,1
synthetic,the goalie was yeeting that ball downfield like he was trying to break records,1,1
synthetic,bro why are you yeeting your phone on the bed like that you're gonna crack the screen,1,1
synthetic,i ended up yeeting all my exam notes in the trash after finals were over,1,1
synthetic,the mods are yeeting people out of the server for the slightest infraction,1,1
synthetic,kids on this playground are yeeting wood chips at each other and the parents do nothing,1,1
synthetic,she's been yeeting subtle insults at her coworker all morning and it's getting awkward,1,1
synthetic,i love yeeting random items into my cart when i'm shopping online at 2am,1,1
synthetic,he came in yeeting accusations like he had any proof to back them up,1,1
synthetic,yeeting myself into bed after that twelve hour shift was the highlight of my day,1,1
synthetic,my roommate keeps yeeting laundry across the bedroom instead of using the hamper,1,1
synthetic,the wide receiver was straight up yeeting defenders off him on that play,1,1
synthetic,i can't stop yeeting money at this gacha game send help,1,1
synthetic,stop yeeting your homework at me i'm not your tutor,1,1
synthetic,the bouncer was yeeting drunk dudes out the back door one after another,1,1
synthetic,she's yeeting her ex's stuff off the balcony and the neighbors are recording it,1,1
synthetic,i'm yeeting this whole project in the bin and starting over from scratch,1,1
synthetic,my little cousin was yeeting goldfish crackers all over the living room carpet,1,1
synthetic,yeeting myself out of that conversation before it got any more awkward,1,1
synthetic,the chef looked like he was yeeting dough into the air for fun,1,1
synthetic,i was yeeting compliments at her outfit because she actually ate today,1,1
synthetic,imagine yeeting your résumé into a black hole every time you hit submit,1,1
synthetic,the toddler was yeeting peas across the table during dinner and his mom lost it,1,1
synthetic,i caught my dog yeeting socks down the hallway like he was playing fetch alone,1,1
synthetic,yeeting hot takes on twitter at 3am is a personality trait at this point,1,1
synthetic,he was yeeting fries at his friend across the booth and the manager came over,1,1
synthetic,i'm yeeting this textbook into the fireplace the second this semester ends,1,1
synthetic,you can't just keep yeeting blame at everyone else when you're the one who messed up,1,1
synthetic,she started yeeting her boyfriend's gaming chair around the apartment after the fight,1,1
synthetic,the squirrel out here yeeting acorns at my windshield like he's got beef,1,1
synthetic,yeeting random ingredients into the pot and calling it dinner is my whole vibe,1,1
synthetic,i swear my coach was yeeting clipboards across the sideline after that turnover,1,1
synthetic,she's been yeeting hints about wanting a promotion for weeks and her boss ignores it,1,1
synthetic,my baby brother loves yeeting his pacifier out of the crib at full speed,1,1
synthetic,i'm done yeeting energy into relationships that go nowhere,1,1
synthetic,the seagull was yeeting fries out of my hand the second i sat on the boardwalk,1,1
synthetic,yeeting myself off the diving board was a mistake i had not warmed up at all,1,1
synthetic,she's yeeting all her old clothes into donation bags and i'm so proud,1,1
synthetic,the pitcher was yeeting fastballs that touched 98 mph in the bottom of the ninth,1,1
synthetic,i caught him yeeting his vape across the parking lot when security walked up,1,1
synthetic,my mom started yeeting my video games in the trash when she found out about my grades,1,1
synthetic,yeeting my alarm clock across the room is basically my morning workout,1,1
synthetic,the entire fan base is yeeting jerseys onto the ice after that disastrous loss,1,1
synthetic,i love yeeting my friends into chaotic situations and watching them figure it out,1,1
synthetic,she's yeeting receipts in the group chat and exposing everyone's lies,1,1
synthetic,yeeting myself into a new hobby every two weeks is how i cope with burnout,1,1
synthetic,the bartender was yeeting bottles in the air doing tricks for tips,1,1
synthetic,i'm yeeting this relationship into the sun if he forgets my birthday one more time,1,1
synthetic,he keeps yeeting his backpack at the couch every day after school,1,1
synthetic,yeeting cash at problems doesn't actually solve them but it sure feels good,1,1
synthetic,the raccoon was yeeting trash all over the alley like it was a personal project,1,1
synthetic,my dad was yeeting leaves with the blower for three hours straight on saturday,1,1
synthetic,she was yeeting questions at the panelist faster than he could answer them,1,1
synthetic,yeeting my old phone into a drawer and never thinking about it again,1,1
synthetic,the coach is yeeting players from the starting lineup for missing practice,1,1
synthetic,i was yeeting popcorn at the screen during the entire third act of that movie,1,1
synthetic,we spent the afternoon yeeting water balloons at each other in the backyard,1,1
synthetic,yeeting my motivation out the window the second my professor said pop quiz,1,1
synthetic,she's yeeting beats on this new album and every track slaps,1,1
synthetic,the quarterback was yeeting passes to the back of the end zone like it was nothing,1,1
synthetic,i was yeeting paper airplanes at my coworker during the boring zoom meeting,1,1
synthetic,yeeting my ex's hoodie into the donation bin felt like therapy honestly,1,1
synthetic,he's been yeeting job applications nonstop since he got laid off last month,1,1
