uri,target_context,is_slang,synthetic
synthetic,she ate that performance up and left no crumbs periodt,1,1
synthetic,i'm not going back to that job ever again periodt,1,1
synthetic,beyonce is the blueprint periodt no further discussion needed,1,1
synthetic,if he wanted to he would periodt stop making excuses for him sis,1,1
synthetic,the makeup the hair the outfit everything was serving periodt,1,1
synthetic,you are not built for that conversation periodt sit down,1,1
synthetic,this lasagna recipe is the best one on the internet periodt,1,1
synthetic,rihanna could drop a 30 second snippet and break the charts periodt,1,1
synthetic,i said what i said periodt don't come for me in the replies,1,1
synthetic,no one is doing it like zendaya right now periodt,1,1
synthetic,she's that girl periodt and we love to see it,1,1
synthetic,the customer service at this restaurant is trash periodt,1,1
synthetic,respect women periodt there is no debate here,1,1
synthetic,if you cheat once you'll cheat again periodt,1,1
synthetic,this album is a masterpiece from start to finish periodt,1,1
synthetic,i'm tired of being the bigger person periodt y'all owe me an apology,1,1
synthetic,lizzo's flute solo was unmatched periodt,1,1
synthetic,we don't claim him periodt block delete move on,1,1
synthetic,the way she shut down that interviewer was iconic periodt,1,1
synthetic,skincare before makeup periodt no exceptions,1,1
synthetic,that meal was hitting periodt the chef ate and left no crumbs,1,1
synthetic,men should communicate their feelings periodt,1,1
synthetic,y'all sleeping on megan thee stallion's bars periodt,1,1
synthetic,this is the song of the summer periodt no debate,1,1
synthetic,she said periodt and we felt that in our souls,1,1
synthetic,if you don't tip your server you're cheap periodt,1,1
synthetic,the moisturizer changed my entire skin barrier periodt,1,1
synthetic,tiffany haddish is a comedic genius periodt pooh,1,1
synthetic,drag him sis periodt he had it coming,1,1
synthetic,this episode was unhinged in the best way periodt,1,1
synthetic,her vocals at the grammys were untouchable periodt,1,1
synthetic,i'd rather be alone than settle for less periodt,1,1
synthetic,the bag the boots the bonnet she came to slay periodt,1,1
synthetic,your fave could never periodt and that's on bloop,1,1
synthetic,stop letting these men waste your time periodt,1,1
synthetic,this mascara is worth every penny periodt i'm never switching,1,1
synthetic,i don't care what anyone says spongebob is peak television periodt,1,1
synthetic,she snapped on that verse periodt go listen right now,1,1
synthetic,we stan a multitalented queen periodt,1,1
synthetic,if you can't handle me at my worst you don't deserve me at my best periodt,1,1
synthetic,the price of eggs is criminal periodt,1,1
synthetic,no one is checking for that brand anymore periodt,1,1
synthetic,she's been the moment she is the moment and she will continue to be the moment periodt,1,1
synthetic,i'm rooting for everybody black periodt,1,1
synthetic,the bbl era needs to end periodt natural bodies are beautiful,1,1
synthetic,this is the best burger in the city periodt try it and thank me later,1,1
synthetic,y'all need to leave britney alone periodt she's been through enough,1,1
synthetic,if it doesn't add to your peace it isn't your portion periodt,1,1
synthetic,shea butter is the secret periodt my grandma was right,1,1
synthetic,she ate down boots periodt the choreo was insane,1,1
synthetic,your situationship is not a relationship periodt,1,1
synthetic,this candle smells like heaven periodt i'm ordering ten more,1,1
synthetic,issa rae deserves every flower periodt,1,1
synthetic,the audacity of these men online periodt makes me sick,1,1
synthetic,she's giving main character energy periodt and i'm here for it,1,1
synthetic,leave your toxic ex on read periodt you don't owe him a reply,1,1
synthetic,this show is the best thing on streaming periodt nothing comes close,1,1
synthetic,no thoughts just vibes periodt the weekend has arrived,1,1
synthetic,lipstick alley always knows first periodt the tea is hot over there,1,1
synthetic,trader joe's seasonings are elite periodt change my mind,1,1
synthetic,if he wanted you he'd be here periodt close the chapter,1,1
synthetic,the resilience of black women is unmatched periodt,1,1
synthetic,this finale ate periodt the writers cooked all season,1,1
synthetic,stop apologizing for taking up space periodt you belong there,1,1
synthetic,viola davis can do no wrong periodt the woman is a treasure,1,1
synthetic,my therapist deserves a raise periodt y'all don't know what she be doing,1,1
synthetic,this isn't even up for debate periodt the dress was clearly blue and black,1,1
synthetic,you can keep your unsolicited opinions to yourself periodt thanks,1,1
synthetic,she's the standard periodt always has been always will be,1,1
synthetic,i'm not arguing with anyone today periodt i'm too cute and too tired,1,1
