uri,target_context,is_slang,synthetic
synthetic,every gooner i know is praying arteta finally lifts the premier league trophy this season,0,1
synthetic,bro is locked in his room being a full time gooner instead of getting a job,1,1
synthetic,as a lifelong gooner watching the emirates fill up before kickoff still gives me chills,0,1
synthetic,my discord is just a bunch of gooner brainrot at 3am no one is normal anymore,1,1
synthetic,the away end was packed with traveling gooner fans singing all the way through the second half,0,1
synthetic,he openly admits to being a gooner on twitter like that's something to brag about,1,1
synthetic,every gooner remembers the invincibles season like it was yesterday,0,1
synthetic,his phone is so cooked it's basically a gooner device at this point,1,1
synthetic,i became a gooner the moment i saw bergkamp's turn against newcastle in 2002,0,1
synthetic,the algorithm has turned half the internet into mindless gooner zombies,1,1
synthetic,the fanzine has been written by gooner contributors since 1988,0,1
synthetic,he calls himself a gooner like it's a personality trait and not a cry for help,1,1
synthetic,any gooner over 30 has watched their team blow at least one title race,0,1
synthetic,the way he camps in his room with the lights off is peak gooner behavior,1,1
synthetic,i sat next to a gooner from north london on the train and we talked about saka the whole ride,0,1
synthetic,the cave he calls a bedroom is a literal gooner sanctuary,1,1
synthetic,as a gooner i'm contractually obligated to suffer every champions league knockout round,0,1
synthetic,my screen time report said i'm one click away from being a certified gooner,1,1
synthetic,the gooner faithful packed out the pub two hours before kickoff,0,1
synthetic,twitch chat has the worst gooner energy i've ever witnessed,1,1
synthetic,no real gooner would defend that performance against west ham last weekend,0,1
synthetic,ever since he discovered that subreddit he's been on full gooner mode,1,1
synthetic,my dad was a gooner so i never really had a choice in who to support,0,1
synthetic,if you check his browser history you'll confirm gooner allegations instantly,1,1
synthetic,the gooner community raised thousands for the local children's hospital this winter,0,1
synthetic,calling yourself a gooner unironically is the new red flag for first dates,1,1
synthetic,the pub on holloway road is a notorious gooner stronghold on match days,0,1
synthetic,the algorithm fed him a few thirst traps and now he's gooner pilled forever,1,1
synthetic,any gooner can name the starting eleven from 2004 without thinking twice,0,1
synthetic,his friends staged an intervention because his gooner habits got out of hand,1,1
synthetic,i flew from new york to london just so i could watch a north london derby as a proper gooner,0,1
synthetic,the way these influencers farm engagement is purely for the gooner audience,1,1
synthetic,the columnist describes himself as a tortured gooner who has loved arsenal since 1971,0,1
synthetic,he refuses to leave the house because he'd rather stay home in gooner solitude,1,1
synthetic,every gooner i meet has a strong opinion about whether xhaka should have been sold sooner,0,1
synthetic,his roommate caught him deep in gooner mode and never let him hear the end of it,1,1
synthetic,the gooner spirit was unmatched after we beat tottenham at the lane,0,1
synthetic,people in the comments were calling him a gooner just for liking the post,1,1
synthetic,for a gooner of my generation thierry henry will always be the goat,0,1
synthetic,he's so deep in the gooner pipeline he doesn't even watch normal shows anymore,1,1
synthetic,the gooner support at the bernabeu was incredible despite the result,0,1
synthetic,twitter is just a gooner playground these days and i need to log off,1,1
synthetic,she's a die hard gooner who never misses a home match even when work runs late,0,1
synthetic,his entire camera roll screams gooner with no exceptions,1,1
synthetic,any longtime gooner will tell you the wenger era spoiled us beyond belief,0,1
synthetic,stop posting that and stop being such a gooner on main,1,1
synthetic,the writer is a self confessed gooner whose match reports always read like therapy sessions,0,1
synthetic,the rise of ai generated content has supercharged the gooner economy online,1,1
synthetic,i love being a gooner even when we lose because the matchday atmosphere is unmatched,0,1
synthetic,this game's character design is clearly engineered for the gooner demographic,1,1
synthetic,my grandfather took me to highbury when i was seven and i've been a gooner ever since,0,1
synthetic,you can tell he's a gooner just by the way he talks about his favorite streamer,1,1
synthetic,the away gooner contingent at villa park were the loudest in the stadium,0,1
synthetic,he tried to quit gooner content for lent and lasted about three days,1,1
synthetic,as a gooner i refuse to acknowledge anything that happened during the mustafi years,0,1
synthetic,every comment section under those edits is full of gooner replies it's grim,1,1
synthetic,she became a gooner after watching the all or nothing documentary on amazon,0,1
synthetic,you ever notice how every gooner online has the exact same posting schedule of 2am to 5am,1,1
synthetic,the gooner travel club organized buses to every european away game last season,0,1
synthetic,his coworkers found out about his gooner tendencies and now hr is involved,1,1
synthetic,i raised my kids as gooner supporters even though i live three thousand miles from london,0,1
synthetic,the meme economy on tiktok is basically gooner bait optimized for the algorithm,1,1
synthetic,every gooner i talked to thought the penalty decision was an absolute disgrace,0,1
synthetic,he posted a screenshot of his subscriptions and the gooner allegations were confirmed,1,1
synthetic,i'm a tottenham fan but i can respect a passionate gooner when i meet one,0,1
synthetic,the entire group chat went silent when he revealed his gooner statistics for the month,1,1
synthetic,you don't choose to be a gooner the club chooses you and then ruins your weekends,0,1
synthetic,modern phones have basically been designed to enable gooner habits with infinite scroll,1,1
synthetic,any gooner with a brain knew we needed a striker in the january window,0,1
synthetic,his ex broke up with him because she said he prioritized gooner sessions over their relationship,1,1
