uri,target_context,is_slang,synthetic
synthetic,honestly every track on the new album is a certified bop,1,1
synthetic,she gave the puppy a gentle bop on the nose for chewing the rug,0,1
synthetic,this song from 2009 is still such a bop i can't get over it,1,1
synthetic,the boxer landed a quick bop to his opponent's chin in the second round,0,1
synthetic,ngl the intro alone makes this a bop,1,1
synthetic,miles davis helped shape modern bop with his work in the late forties,0,1
synthetic,wait this is actually a bop why did nobody tell me,1,1
synthetic,if the toaster sticks just give it a little bop on the side,0,1
synthetic,the dj played nothing but old bop after old bop and the crowd lost it,1,1
synthetic,the chicks would bop their heads as they pecked at the feed,0,1
synthetic,i'm telling you charli's new single is an absolute bop,1,1
synthetic,she felt a soft bop against her shoulder as the balloon drifted past,0,1
synthetic,every song on this soundtrack slaps like genuine bop after bop,1,1
synthetic,the cat will sometimes bop the toy mouse around the kitchen floor,0,1
synthetic,okay but the bridge turns this into a top tier bop,1,1
synthetic,charlie parker is widely credited as one of the fathers of bop,0,1
synthetic,y'all sleeping on this track it's such an underrated bop,1,1
synthetic,he gave the nail one last bop with the hammer to set it flush,0,1
synthetic,spotify wrapped told me i played this bop 482 times last year,1,1
synthetic,you can bop the eggs lightly against the counter to crack them,0,1
synthetic,fans went wild when she dropped a surprise bop in the middle of the set,1,1
synthetic,the toddler tried to bop her brother on the head with a stuffed animal,0,1
synthetic,remember when every song on the radio in 2014 was a bop,1,1
synthetic,the genre evolved from swing into bop during the mid forties,0,1
synthetic,i didn't expect to like the remix but it's a bop,1,1
synthetic,if the lid won't loosen give it a quick bop with a wooden spoon,0,1
synthetic,this is the kind of bop that hits different at 2am driving home,1,1
synthetic,the dancer ended the routine with a small bop of her hip,0,1
synthetic,the album is mid but track six is a legit bop,1,1
synthetic,thelonious monk's compositions remain essential listening for any bop enthusiast,0,1
synthetic,her debut single is an instant bop and i will not be taking questions,1,1
synthetic,the woodpecker would bop its beak against the bark in steady rhythm,0,1
synthetic,even people who hate pop music admit this one is a bop,1,1
synthetic,she felt the boat bop gently up and down on the calm lake,0,1
synthetic,i had this bop on repeat all summer and i regret nothing,1,1
synthetic,give the dough a quick bop to release the air before shaping,0,1
synthetic,the chorus alone proves this is a generational bop,1,1
synthetic,dizzy gillespie's solos were instrumental in defining the bop sound,0,1
synthetic,lowkey this old taylor song is still such a bop,1,1
synthetic,he watched the buoy bop on the surface of the harbor for hours,0,1
synthetic,no thoughts head empty just this bop on loop,1,1
synthetic,you can bop the bottom of the ketchup bottle to get it flowing,0,1
synthetic,tiktok turned this random b-side into a viral bop overnight,1,1
synthetic,the kitten would bop its paw at the dangling string for hours,0,1
synthetic,this remix is a way bigger bop than the original ever was,1,1
synthetic,she gave him a playful bop with the rolled up newspaper,0,1
synthetic,every single song on this ep is a bop no skips,1,1
synthetic,his thesis explored how bop influenced later forms of avant garde jazz,0,1
synthetic,i wasn't a fan at first but now i admit it's a bop,1,1
synthetic,the apple would bop against the branch every time the wind picked up,0,1
synthetic,this song is such a bop i played it three times in a row,1,1
synthetic,vintage bop records from blue note still fetch high prices at auction,0,1
synthetic,olivia rodrigo really cannot miss every single is a bop,1,1
synthetic,she watched the cork bop along the river current as it floated downstream,0,1
synthetic,stream this bop on every platform please my queen deserves the numbers,1,1
synthetic,you might need to bop the printer once or twice to wake it up,0,1
synthetic,the new beyonce track is an unmistakable bop and twitter agrees,1,1
synthetic,art blakey was a key drummer in the development of hard bop,0,1
synthetic,i'm normally not into edm but this drop is a serious bop,1,1
synthetic,the child gave a tiny bop to the piñata and ran away giggling,0,1
synthetic,okay drake hasn't dropped a bop like this in years honestly,1,1
synthetic,she felt the helmet bop against her back as she jogged across the field,0,1
synthetic,twenty seconds in and i already know this is gonna be a bop,1,1
synthetic,the bop movement emerged in harlem clubs during the postwar era,0,1
synthetic,no skip album it's just bop after bop after bop,1,1
synthetic,if the lock sticks just bop the handle with the heel of your hand,0,1
