uri,target_context,is_slang,synthetic
synthetic,on god that was the craziest game i've ever watched in my life,1,1
synthetic,the pastor reminded the congregation to lean on god during seasons of doubt,0,1
synthetic,bro on god i didn't even touch your fries why are you mad,1,1
synthetic,she said on god she was gonna pull up but never showed,1,1
synthetic,in times of grief many people find themselves calling on god for comfort,0,1
synthetic,on god this burrito is the best thing i've eaten all week,1,1
synthetic,the missionaries taught the village to rely on god through every hardship,0,1
synthetic,i'm telling you on god he hit that shot from half court,1,1
synthetic,the abbot wrote that monks should meditate on god's mercy each morning,0,1
synthetic,on god if she texts me one more time i'm blocking her,1,1
synthetic,the sermon focused on god's covenant with abraham and its meaning today,0,1
synthetic,on god bro this new album is straight fire,1,1
synthetic,throughout the book the author meditates on god the father and son,0,1
synthetic,on god i was about to fall asleep in that meeting,1,1
synthetic,she put her trust in god after losing everything in the fire,0,1
synthetic,on god my mans really thought he was gonna get away with that,1,1
synthetic,the chapter focuses on god's role in shaping the early hebrew people,0,1
synthetic,on god i swear i locked the door before we left,1,1
synthetic,many ancient philosophers debated whether morality depends on god or human reason,0,1
synthetic,on god this traffic is making me wanna sell my car,1,1
synthetic,in his journal he reflected on god's patience with humanity over the centuries,0,1
synthetic,yo on god i never even said that to her stop lying,1,1
synthetic,the homily was a beautiful meditation on god's faithfulness across generations,0,1
synthetic,on god this dude been talking the same way since middle school,1,1
synthetic,she leaned on god during her recovery and credits her faith for healing,0,1
synthetic,on god i would never lie to you about something like this,1,1
synthetic,the entire monastic order was founded on god's call to a life of prayer,0,1
synthetic,on god you gotta try this place the wings are insane,1,1
synthetic,the philosopher's argument hinged on god being the unmoved mover,0,1
synthetic,on god i'm not going back to that gym they have no ac,1,1
synthetic,in scripture believers are called to wait on god rather than rush ahead,0,1
synthetic,on god he really showed up to prom in crocs i can't,1,1
synthetic,the theologian's lecture centered on god's attributes of omniscience and omnipresence,0,1
synthetic,on god i'd rather walk home than get back in that uber,1,1
synthetic,her grandmother always told her to cast her cares on god and keep walking,0,1
synthetic,on god if my boss emails me one more time tonight i'm quitting,1,1
synthetic,the chaplain reminded the soldiers to lean on god in moments of fear,0,1
synthetic,on god this movie put me to sleep within the first ten minutes,1,1
synthetic,during the retreat she felt herself relying on god more deeply than ever,0,1
synthetic,on god bro i was just thinking about you and you called,1,1
synthetic,the prophet's writings repeatedly emphasized waiting on god rather than seeking foreign alliances,0,1
synthetic,on god this is the worst customer service i've ever experienced,1,1
synthetic,she based her entire decision to move on god's leading through prayer,0,1
synthetic,on god i'm not letting him drive after the last time he wrecked my car,1,1
synthetic,the hymn was a simple reflection on god's unending kindness toward sinners,0,1
synthetic,on god she really thought i wasn't gonna find out,1,1
synthetic,the ancient creed declared belief in one god the father almighty,0,1
synthetic,on god this professor grades way too harshly for what we're learning,1,1
synthetic,the rabbi spoke about depending on god through times of exile and uncertainty,0,1
synthetic,on god i'm done with dating apps after this last situationship,1,1
synthetic,many psalms encourage the reader to wait patiently on god for deliverance,0,1
synthetic,on god if y'all keep playing that song i'm leaving the cookout,1,1
synthetic,the documentary explored how monastic communities focus on god through daily liturgy,0,1
synthetic,on god the line at this restaurant be wrapped around the building,1,1
synthetic,she found peace by learning to depend on god rather than her own anxiety,0,1
synthetic,on god my little cousin is taller than me now and it's embarrassing,1,1
synthetic,the writer's whole worldview rested on god being both just and merciful,0,1
synthetic,on god this new update made the game ten times worse,1,1
synthetic,throughout his recovery he kept telling friends he was leaning on god daily,0,1
synthetic,on god i would marry her tomorrow if she asked,1,1
synthetic,the book is a long meditation on god's grace toward broken people,0,1
synthetic,on god this is the last time i'm letting him borrow my charger,1,1
synthetic,in moments of weakness the apostle reminds believers to rest on god's promises,0,1
synthetic,on god i was gonna text you back i just forgot my phone in the car,1,1
synthetic,many believers were taught from a young age to call on god in trouble,0,1
synthetic,on god that haircut is gonna haunt him for the rest of his life,1,1
synthetic,his speech leaned heavily on god as the source of national unity,0,1
synthetic,on god if she really said that to you in front of everyone i'm pulling up,1,1
synthetic,the church camp encouraged students to focus on god instead of distractions,0,1
