uri,target_context,is_slang,synthetic
synthetic,bruh i cannot believe you ate the last slice of pizza,1,1
synthetic,bruh that final boss took me like six hours to beat,1,1
synthetic,my teacher just assigned a twenty page essay due tomorrow bruh,1,1
synthetic,bruh the way she ghosted him after three dates is wild,1,1
synthetic,i was minding my own business and then bruh she just showed up,1,1
synthetic,bruh this traffic is making me late for the third time this week,1,1
synthetic,ngl bruh that haircut is kinda fire,1,1
synthetic,bruh why does every streaming service want twenty bucks a month now,1,1
synthetic,i opened the fridge and bruh there was nothing but expired ketchup,1,1
synthetic,bruh i literally just bought this phone and the screen already cracked,1,1
synthetic,she said she was on her way three hours ago bruh,1,1
synthetic,bruh you really thought wearing crocs to prom was a good idea,1,1
synthetic,bruh the new update made my favorite character useless,1,1
synthetic,i told him not to text my ex and he did it anyway bruh,1,1
synthetic,bruh this coffee shop charges eight dollars for a regular latte,1,1
synthetic,bruh my dog ate my airpods while i was sleeping,1,1
synthetic,the wifi went out right before my interview bruh,1,1
synthetic,bruh how did you fail a class that was pass fail,1,1
synthetic,bruh that referee call was straight up robbery,1,1
synthetic,i swear bruh nobody believes me when i say i saw a raccoon in the kitchen,1,1
synthetic,bruh she really tried to charge me extra for guacamole on a tuesday,1,1
synthetic,bruh i was today years old when i learned tomatoes are fruit,1,1
synthetic,bruh you can't just leave wet towels on the bed every single day,1,1
synthetic,bruh that movie ending made absolutely no sense,1,1
synthetic,i lost my keys again bruh i'm losing my mind,1,1
synthetic,bruh stop sending me crypto links i am not investing,1,1
synthetic,bruh the line at the dmv was wrapped around the building,1,1
synthetic,bruh you cannot put pineapple on every single pizza we order,1,1
synthetic,bruh i just watched a four hour video essay about a kids cartoon,1,1
synthetic,i asked for medium rare and bruh they brought me a hockey puck,1,1
synthetic,bruh how are concert tickets more expensive than my rent,1,1
synthetic,bruh my professor literally cancelled office hours the day before the exam,1,1
synthetic,bruh that was the most awkward family dinner i have ever sat through,1,1
synthetic,bruh the airline lost my luggage and offered me a fifteen dollar voucher,1,1
synthetic,i tried to flirt and bruh she just stared at me,1,1
synthetic,bruh you woke me up at six am to ask about a meme,1,1
synthetic,bruh the dealership wants four grand for a brake job,1,1
synthetic,bruh my roommate hasn't done dishes in two weeks,1,1
synthetic,bruh i can't believe they cancelled the show after one season,1,1
synthetic,bruh my mom found my secret snack drawer and now it's gone,1,1
synthetic,bruh that guy was trying to sell me a timeshare on the beach,1,1
synthetic,bruh i ran a mile and almost passed out i need to get in shape,1,1
synthetic,she said it wasn't a date and then held my hand bruh i'm confused,1,1
synthetic,bruh imagine paying full price for a game that's broken at launch,1,1
synthetic,bruh you really sent that text to the group chat by accident,1,1
synthetic,bruh the gym was packed at five am who are these people,1,1
synthetic,bruh the cat just knocked over my entire glass of water onto my laptop,1,1
synthetic,bruh my grandma roasted me harder than my friends ever could,1,1
synthetic,bruh i waited two hours for a table and the food was mid,1,1
synthetic,bruh you can't keep blaming the lag for missing every shot,1,1
synthetic,bruh the package said arriving today and now it says next week,1,1
synthetic,bruh my landlord raised the rent again like inflation is my fault,1,1
synthetic,i told her i liked her and bruh she said she had a boyfriend,1,1
synthetic,bruh that tiktok dance is not it please stop,1,1
synthetic,bruh i fell asleep during the lecture and woke up to an empty room,1,1
synthetic,bruh you really named your wifi network free public wifi to mess with neighbors,1,1
synthetic,bruh the elevator broke and i live on the fifteenth floor,1,1
synthetic,bruh my fantasy team lost by half a point this is so unfair,1,1
synthetic,bruh he proposed at the food court and she said yes wild times,1,1
synthetic,bruh i just spent forty dollars on uber eats for a salad,1,1
synthetic,bruh the meeting could have literally been an email,1,1
synthetic,bruh you forgot our anniversary again seriously,1,1
synthetic,bruh that horror movie had me sleeping with the lights on for a week,1,1
synthetic,bruh i can't believe they put pineapple in the fried rice,1,1
synthetic,bruh my battery died right as i was about to win,1,1
synthetic,bruh the new iphone looks exactly like the last five,1,1
