uri,target_context,is_slang,synthetic
synthetic,that new skate park downtown is honestly so rad i could spend all day there,1,1
synthetic,the angle was measured in rad rather than degrees for the physics calculation,0,1
synthetic,dude your custom paint job on the bike is absolutely rad,1,1
synthetic,exposure above 5 rad per hour is considered dangerous for the workers in that zone,0,1
synthetic,had the most rad weekend camping with the crew by the lake,1,1
synthetic,convert the value from degrees to rad before plugging it into the trig function,0,1
synthetic,those vintage band tees you found at the thrift store look really rad,1,1
synthetic,the old unit rad has largely been replaced by the gray in modern dosimetry,0,1
synthetic,we caught some rad waves out at the point break this morning,1,1
synthetic,one full revolution equals two pi rad in standard mathematical notation,0,1
synthetic,the graphics in this indie game are just super rad,1,1
synthetic,she set the calculator to rad mode before solving the problem,0,1
synthetic,that backflip he landed was the most rad thing i've seen all week,1,1
synthetic,workers wore badges that recorded total exposure in rad during the cleanup,0,1
synthetic,honestly the new album cover is so rad i want it as a poster,1,1
synthetic,the sine function in most programming languages expects the input in rad not degrees,0,1
synthetic,your homemade arcade cabinet is the most rad project i've ever seen,1,1
synthetic,early studies measured absorbed dose in rad before international standards changed,0,1
synthetic,we found this rad little record store tucked away on a side street,1,1
synthetic,make sure the function expects an argument in rad otherwise the result will be wrong,0,1
synthetic,that retro synth setup he has in his studio is so rad,1,1
synthetic,an arc length is calculated by multiplying the radius by the angle in rad,0,1
synthetic,i think it would be totally rad if we threw a surprise party for him,1,1
synthetic,the old textbook still uses rad as the primary unit for absorbed radiation,0,1
synthetic,my little brother thinks dinosaurs are the most rad thing on earth,1,1
synthetic,engineers had to recalibrate the gauge from rad to gray for the new report,0,1
synthetic,the lighting design at the concert last night was absolutely rad,1,1
synthetic,the angular velocity was given in rad per second for clarity,0,1
synthetic,you got front row seats that's so rad i'm jealous,1,1
synthetic,patients receiving high cumulative doses measured in rad were monitored closely,0,1
synthetic,this thrift haul is honestly some of the most rad stuff i've ever scored,1,1
synthetic,the spreadsheet had columns for both degrees and rad to make conversion easier,0,1
synthetic,the way the sunset lit up the canyon was unbelievably rad,1,1
synthetic,remember to switch your calculator from deg to rad when working in calculus,0,1
synthetic,that handmade leather jacket is honestly rad as hell,1,1
synthetic,the rem and the rad are related units used in radiation protection,0,1
synthetic,skateboarding in the rain looks dumb but somehow they made it look rad,1,1
synthetic,one rad equals 0.01 gray according to the conversion tables,0,1
synthetic,his dad jokes are so bad they actually loop back around to being rad,1,1
synthetic,older dosimeters displayed total exposure in rad and millirad,0,1
synthetic,i finally got tickets to the festival and it's gonna be so rad,1,1
synthetic,the lab technicians recorded the dose in rad for consistency with historical records,0,1
synthetic,that mural the local artist painted on the wall is super rad,1,1
synthetic,if your input is in rad the formula gives meters per second directly,0,1
synthetic,the new ramen place down the street is honestly rad and the prices are fair,1,1
synthetic,the report listed background radiation in microrad rather than full rad units,0,1
synthetic,growing up in the nineties everything was either rad or totally bogus,1,1
synthetic,she taught her students how to convert between rad and degrees in one lesson,0,1
synthetic,your costume for the convention turned out really rad,1,1
synthetic,the safety threshold was set at 25 rad of cumulative exposure for the team,0,1
synthetic,we had the most rad time at the arcade last friday,1,1
synthetic,the older equipment displays measurements in rad while the new gear uses gray,0,1
synthetic,honestly the way you decorated your dorm room is way more rad than mine,1,1
synthetic,many textbooks from the eighties still reference rad as the absorbed dose unit,0,1
synthetic,his guitar solo at the open mic was unexpectedly rad,1,1
synthetic,convert pi over 4 rad to degrees to find the equivalent measurement,0,1
synthetic,the new puppy is honestly the most rad addition to our family,1,1
synthetic,in si units one rad is defined as the absorption of 100 ergs per gram,0,1
synthetic,your homemade pizza oven in the backyard is super rad,1,1
synthetic,the integral of sin x dx from zero to pi rad equals two,0,1
synthetic,that bmx video you posted was the most rad thing on my feed today,1,1
synthetic,many older medical journals report therapeutic doses in rad rather than gray,0,1
synthetic,got a rad new haircut and now i can't stop looking in mirrors,1,1
synthetic,the antenna pattern was plotted with the angle expressed in rad,0,1
synthetic,this homemade lemonade tastes rad on a hot afternoon,1,1
synthetic,the technician noted the rad reading on the log before sealing the container,0,1
synthetic,the way he flipped that omelet was honestly kind of rad,1,1
synthetic,phase angles in electrical engineering are commonly expressed in rad,0,1
synthetic,your grandma's vintage cookbook collection is unexpectedly rad,1,1
synthetic,the dose rate exceeded one rad per minute near the source,0,1
