uri,target_context,is_slang,synthetic
synthetic,the new ramen spot downtown is hella good i went back twice this week,1,1
synthetic,traffic on the bridge was hella bad this morning so i'm running late,1,1
synthetic,that physics exam was hella hard nobody i talked to finished in time,1,1
synthetic,i'm hella tired from staying up watching the entire season in one sitting,1,1
synthetic,she's hella talented at drawing and barely even practices which is wild,1,1
synthetic,this coffee is hella strong i can feel my heart racing already,1,1
synthetic,bro that dunk was hella clean did you see how he hung on the rim,1,1
synthetic,we walked around the city for hella hours and my feet are killing me,1,1
synthetic,the line at the dmv was hella long so i just rescheduled online,1,1
synthetic,i got hella homework to do this weekend and zero motivation,1,1
synthetic,those shoes look hella fire with the new jacket you bought,1,1
synthetic,it's hella cold outside grab a beanie before you head out,1,1
synthetic,my landlord is being hella sus about the deposit and won't return my calls,1,1
synthetic,i spent hella money on doordash last month and now i'm broke,1,1
synthetic,the bay area is hella expensive but i can't imagine living anywhere else,1,1
synthetic,you're being hella dramatic about a five minute delay calm down,1,1
synthetic,that concert was hella loud my ears are still ringing the next morning,1,1
synthetic,i found hella good deals at the thrift store today look at this jacket,1,1
synthetic,the new update is hella buggy i can't even open the app sometimes,1,1
synthetic,she's hella mad at him for forgetting their anniversary again,1,1
synthetic,we had hella fun at the beach yesterday even though the water was freezing,1,1
synthetic,this burrito is hella big i'll probably save half for tomorrow,1,1
synthetic,i've been hella stressed about finals lately and barely sleeping,1,1
synthetic,that movie was hella overrated i don't get why everyone loves it,1,1
synthetic,the wifi here is hella slow can we move to a different cafe,1,1
synthetic,my cat is hella weird she only drinks water from the bathroom sink,1,1
synthetic,we got hella drunk at the wedding and now everyone has receipts,1,1
synthetic,your new haircut looks hella cute on you for real,1,1
synthetic,i'm hella hungry can we stop somewhere on the way home,1,1
synthetic,that vintage camera is hella rare you should hang onto it,1,1
synthetic,homie was hella late to his own birthday party which is kinda iconic,1,1
synthetic,i'm hella confused by these instructions did you understand step three,1,1
synthetic,the sunset over the pier was hella pretty last night,1,1
synthetic,my coworker is hella annoying when she micromanages every little task,1,1
synthetic,i bought a hella nice keyboard and now i actually enjoy typing again,1,1
synthetic,the trail was hella steep but the view at the top was worth it,1,1
synthetic,she's been hella busy lately with school and her two part time jobs,1,1
synthetic,this episode was hella emotional i was not ready for that twist,1,1
synthetic,we drove hella far just to find out the restaurant was closed,1,1
synthetic,the dorm party last night was hella mid honestly not worth showing up,1,1
synthetic,i'm hella excited for the trip next month i've been planning for ages,1,1
synthetic,that meeting could have been an email and lasted hella long for no reason,1,1
synthetic,this hoodie is hella comfy i basically live in it now,1,1
synthetic,the new tesla has hella range compared to the older models,1,1
synthetic,my mom makes hella good lumpia every christmas i look forward to it all year,1,1
synthetic,i'm hella behind on emails because i took a week off the grid,1,1
synthetic,dude is hella ripped from working out twice a day every day,1,1
synthetic,the gas prices around here are hella high right now,1,1
synthetic,i had hella anxiety before the interview but it ended up going smooth,1,1
synthetic,the dog park is hella muddy after the storm last night,1,1
synthetic,she's hella smart but she never brags about it which i respect,1,1
synthetic,i was hella nervous about meeting his family but they were super sweet,1,1
synthetic,the soundtrack to that game is hella underrated everyone sleeps on it,1,1
synthetic,we ordered hella sushi and somehow still finished every plate,1,1
synthetic,this jacket fits hella weird in the shoulders i might have to return it,1,1
synthetic,my little brother is hella obsessed with minecraft these days,1,1
synthetic,the new boba shop downtown is hella popular the line wraps around the block,1,1
synthetic,i'm hella proud of you for finally finishing your thesis,1,1
synthetic,that's hella shady of him to ghost her right after she helped him move,1,1
synthetic,we played hella rounds of mario kart and i still couldn't win,1,1
synthetic,this avocado is hella ripe so we gotta use it tonight or it's done,1,1
synthetic,i was hella skeptical at first but this skincare routine actually works,1,1
synthetic,the auditorium was hella packed for the seniors final showcase,1,1
synthetic,y'all are hella loud at three in the morning have some respect for the neighbors,1,1
synthetic,i ate hella tacos at the food truck festival and have no regrets,1,1
synthetic,she's been hella supportive throughout this whole job search process,1,1
synthetic,the rent in oakland got hella high after the tech boom,1,1
synthetic,this puzzle is hella tricky but i'm determined to finish it tonight,1,1
