,uri,target_context,annotation,annotations,delulu,giving,alpha,chopped,epic,fire,ick,lit,meh,mid,rad,rizz,savage,sick,sus
767109,http://cavaliersonly.com/christian_articles_and_messages/the_victory_of_faith_by_lee_roberson,repent or believe how'd you get so rich hungry and thirsty i love jesus i love jesus part i read it,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160694,http://www.fark.com/comments/8203704,list of some good pranks this year make me some tea - - am we had awesome sushi fusillade - -,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
762498,https://www.teacampaign.com.au/collections/darjeeling-organic-black-tea,grade about us simplicity sustainability traceability transparency menu cart organic tea shop loose leaf tea tea tins tea samples tea filters,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
108151,https://www.hookandbullet.com/fishing-alpha-creek-healy-ak/fishing-report/,fishing reports map bait shops alaska yukon-koyukuk census area healy alpha creek fishing report near healy alaska write a report details,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
203312,http://de.flightaware.com/live/flight/EJA396/history/20130428/1400Z/KBTV/KMVY,sun country airlines scx sun express sxs sun-air of scandinavia sus sunexpress deutschland sxd sunwest home aviation cnk sunwing swg surinaamse,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258745,http://www.bizvotes.com/fl/tampa/family-physicians/jesus-jimenez-md-1152229.html,profile page upgrade listing for of of jesus jimenez md twin lakes blvd tampa fl map - - your image here,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
190920,https://jaynedenker.com/2013/08/,revenge on unsuspecting homeowner chatting with the chicks of chick lit chick lit may a to z x is for riverina,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
411926,https://icdcode.info/icd-10/code-g43.51.html,without cerebral infarction intractable with status migrainosus g persistent migraine aura without cerebral infarction intractable without status migrainosus icd- icd- -cm,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294615,http://pt.flightaware.com/live/flight/AWE1092/history/20130415/1339Z/KPHL/KRDU,sun country airlines scx sun express sxs sun-air of scandinavia sus sunexpress deutschland sxd sunwest home aviation cnk sunwing swg surinaamse,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
716296,http://tvtropes.org/pmwiki/pmwiki.php/Main/MessianicArchetype,of jesus surrounded by desperate but adoring believers the catching fire movie really hammers the point by having katniss in a,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
