uri,target_context,is_slang,synthetic
synthetic,no cap that was the best burger i've ever had in my life,1,1
synthetic,bro his new album is straight fire no cap,1,1
synthetic,i studied like six hours last night no cap,1,1
synthetic,no cap she's the smartest person in our whole grade,1,1
synthetic,that movie made me cry no cap,1,1
synthetic,the new iphone is actually disappointing no cap,1,1
synthetic,no cap i would marry that pizza if i could,1,1
synthetic,his jump shot is unguardable no cap,1,1
synthetic,no cap this is the worst customer service i've ever experienced,1,1
synthetic,i ran into drake at the mall no cap i have pictures,1,1
synthetic,ngl that fit was clean no cap,1,1
synthetic,no cap she carried the entire group project by herself,1,1
synthetic,this game is rigged no cap i'm done playing,1,1
synthetic,no cap i think i'm falling for her,1,1
synthetic,the food at that spot slaps no cap,1,1
synthetic,no cap i've watched that episode like twenty times already,1,1
synthetic,your edit was insane no cap how long did it take,1,1
synthetic,no cap bro you owe me twenty bucks,1,1
synthetic,she sings better than half the artists on the radio no cap,1,1
synthetic,no cap that haircut changed his whole vibe,1,1
synthetic,i felt like a celebrity walking in no cap,1,1
synthetic,no cap your mom's cooking is unmatched,1,1
synthetic,that test was harder than the practice one no cap,1,1
synthetic,no cap i was scared for my life on that ride,1,1
synthetic,the lakers are not making the playoffs no cap,1,1
synthetic,no cap i thought i was gonna pass out from laughing,1,1
synthetic,her freestyle was actually fire no cap,1,1
synthetic,no cap this thread has me dying,1,1
synthetic,i forgot my password again no cap i'm so dumb,1,1
synthetic,no cap that was the most embarrassing moment of my life,1,1
synthetic,bro you a real one no cap,1,1
synthetic,no cap i'd rather be broke than work for that company again,1,1
synthetic,she pulled up in a brand new bentley no cap,1,1
synthetic,no cap that referee needs glasses,1,1
synthetic,i finished the whole season in one sitting no cap,1,1
synthetic,no cap you're the funniest person i know,1,1
synthetic,this dorm food is straight trash no cap,1,1
synthetic,no cap that concert was a religious experience,1,1
synthetic,he scored 40 points in the first half no cap,1,1
synthetic,no cap i'm tired of pretending to like coffee,1,1
synthetic,the sequel was better than the original no cap,1,1
synthetic,no cap our coach has no idea what he's doing,1,1
synthetic,i swear bro no cap i saw it with my own eyes,1,1
synthetic,no cap that costume took me three weeks to make,1,1
synthetic,you got the best mom in the world no cap,1,1
synthetic,no cap that's the realest thing i've ever heard you say,1,1
synthetic,the traffic this morning was insane no cap two hours,1,1
synthetic,no cap i would risk it all for some chick fil a right now,1,1
synthetic,his stand up set had me crying no cap,1,1
synthetic,no cap that dog is smarter than half my coworkers,1,1
synthetic,she deadlifts more than me no cap,1,1
synthetic,no cap i'm built different when it comes to mario kart,1,1
synthetic,this professor doesn't grade anything no cap,1,1
synthetic,no cap that sunset looked like a painting,1,1
synthetic,i miss high school no cap college is rough,1,1
synthetic,no cap that car is uglier in person than in pictures,1,1
synthetic,y'all sleeping on this artist no cap she's next up,1,1
synthetic,no cap i would not survive a day in that neighborhood,1,1
synthetic,the wifi at this hotel is faster than my home no cap,1,1
synthetic,no cap i think my roommate is plotting against me,1,1
synthetic,that comeback was crazy no cap they were down by 20,1,1
synthetic,no cap i've been waiting for this game to drop all year,1,1
synthetic,her glow up was unreal no cap i didn't recognize her,1,1
synthetic,no cap i'd take a pay cut to never go back to that office,1,1
synthetic,this is the best episode of the season no cap,1,1
synthetic,no cap my grandma's macaroni hits different,1,1
synthetic,we got robbed by the refs no cap watch the replay,1,1
synthetic,no cap i miss when phones used to have buttons,1,1
synthetic,that book changed how i see the world no cap,1,1
synthetic,no cap i'd live in that airbnb forever if i could,1,1
