target,is_slang,target_context,uri
fresh,0,use fresh lemon juice instead of bottled for the best flavor,synthetic://generated/fresh/0
fresh,0,you can taste when the orange juice is fresh squeezed,synthetic://generated/fresh/1
fresh,1,she stay fresh to death no matter the occasion,synthetic://generated/fresh/2
fresh,0,the produce section had fresh strawberries on sale today,synthetic://generated/fresh/3
fresh,1,stepped out the crib feeling fresh as hell,synthetic://generated/fresh/4
fresh,0,she likes to start the day with fresh fruit and yogurt,synthetic://generated/fresh/5
fresh,0,remember to keep the wound covered with a fresh bandage daily,synthetic://generated/fresh/6
fresh,1,ok but those braids are fresh fresh,synthetic://generated/fresh/7
fresh,0,the morning dew left the grass smelling fresh and clean,synthetic://generated/fresh/8
fresh,0,we need a fresh coat of paint on the porch this summer,synthetic://generated/fresh/9
fresh,1,even with no sleep mans still looked fresh on camera,synthetic://generated/fresh/10
fresh,0,we keep a jar of fresh flowers on the kitchen table every week,synthetic://generated/fresh/11
fresh,0,we caught a few fresh trout from the river yesterday,synthetic://generated/fresh/12
fresh,1,the kicks he copped are too fresh,synthetic://generated/fresh/13
fresh,0,the farmers market has the freshest produce in town honestly fresh picked,synthetic://generated/fresh/14
fresh,1,tell him he looks fresh he'll be smiling all day,synthetic://generated/fresh/15
fresh,0,open a window and let some fresh air in here,synthetic://generated/fresh/16
fresh,1,that lineup is so fresh the barber ate,synthetic://generated/fresh/17
fresh,0,after the long hike a glass of fresh water was everything,synthetic://generated/fresh/18
fresh,0,the cabin smelled like fresh pine and woodsmoke,synthetic://generated/fresh/19
fresh,1,no cap that fit is fresh,synthetic://generated/fresh/20
fresh,1,his sneaker game stay fresh,synthetic://generated/fresh/21
fresh,1,got my nails done and they fresh,synthetic://generated/fresh/22
fresh,1,got that fresh out the box look going on,synthetic://generated/fresh/23
fresh,1,your barber went crazy you look fresh,synthetic://generated/fresh/24
fresh,1,those new jordans are fresh as hell bro,synthetic://generated/fresh/25
fresh,0,the eggs were fresh from the farm that morning,synthetic://generated/fresh/26
fresh,1,his whole aesthetic is just clean and fresh,synthetic://generated/fresh/27
fresh,0,the bakery opens at six so the bread is still fresh when i get there,synthetic://generated/fresh/28
fresh,1,rocking that fresh white tee like it's nothing,synthetic://generated/fresh/29
fresh,1,showed up to the function looking fresh as ever,synthetic://generated/fresh/30
fresh,0,the chef garnishes every plate with fresh parsley before serving,synthetic://generated/fresh/31
fresh,0,fresh snow covered the trail by the time we reached the cabin,synthetic://generated/fresh/32
fresh,0,store fresh herbs wrapped in a damp paper towel inside the fridge,synthetic://generated/fresh/33
fresh,1,outfit is fresh accessories on point ten outta ten,synthetic://generated/fresh/34
fresh,1,this drop is fresh i need every colorway,synthetic://generated/fresh/35
fresh,1,everything in his closet looks fresh i'm jealous,synthetic://generated/fresh/36
fresh,0,after a long shift a fresh shower hit different,synthetic://generated/fresh/37
fresh,0,you should always wash your hands with fresh running water,synthetic://generated/fresh/38
fresh,1,y'all see his locker setup that's fresh,synthetic://generated/fresh/39
fresh,1,that hoodie is fresh where'd you cop it,synthetic://generated/fresh/40
fresh,0,always pick fresh basil over dried if you can it makes a huge difference,synthetic://generated/fresh/41
fresh,1,low key these glasses make my whole look fresh,synthetic://generated/fresh/42
fresh,0,the restaurant prides itself on using only fresh local ingredients,synthetic://generated/fresh/43
fresh,0,she replaced the old filter with a fresh one this morning,synthetic://generated/fresh/44
fresh,0,i prefer fresh ground pepper over the pre ground stuff,synthetic://generated/fresh/45
fresh,1,fit check is fire that jacket is too fresh,synthetic://generated/fresh/46
fresh,0,the air felt fresh after the rain finally stopped,synthetic://generated/fresh/47
fresh,1,that car detail came out so fresh,synthetic://generated/fresh/48
fresh,1,ngl his whole fit is fresh today,synthetic://generated/fresh/49
fresh,0,the fish needs to be fresh otherwise the ceviche won't taste right,synthetic://generated/fresh/50
fresh,1,she pulled up looking mad fresh at the reunion,synthetic://generated/fresh/51
