uri,target_context,is_slang,synthetic
synthetic,the party last night was absolutely lit and i didn't get home until 4am,1,1
synthetic,she lit the candles on the birthday cake just before we started singing,0,1
synthetic,this new album is lit fr every track is a banger,1,1
synthetic,the fireplace was lit and the whole cabin smelled like cedar smoke,0,1
synthetic,yo that concert was so lit i lost my voice screaming,1,1
synthetic,the stadium was lit by hundreds of floodlights for the night match,0,1
synthetic,we finally lit the pilot light after replacing the thermocouple,0,1
synthetic,bro the new spiderman trailer is lit i can't wait for opening weekend,1,1
synthetic,the chef lit the brandy and the flames shot up two feet over the pan,0,1
synthetic,ngl this place gets lit on saturday nights the dj never disappoints,1,1
synthetic,the protesters lit candles in memory of those who lost their lives,0,1
synthetic,that math test was not lit i think i failed two whole pages,1,1
synthetic,the runway was lit using a portable lighting system after the storm knocked out power,0,1
synthetic,spring break in cancun was lit we partied for seven days straight,1,1
synthetic,she lit a match and tossed it onto the kindling she had stacked earlier,0,1
synthetic,the homecoming dance is gonna be lit this year if the dj actually shows up,1,1
synthetic,the hallway was dimly lit by a single flickering bulb,0,1
synthetic,their tiktok dance is lit and i've been trying to learn it all week,1,1
synthetic,he lit the grill an hour before the guests arrived to let it heat up,0,1
synthetic,lowkey this study group is lit we actually get work done and have snacks,1,1
synthetic,the room was lit with soft warm tones to create a cozy atmosphere,0,1
synthetic,got my paycheck today and we bout to make this weekend lit,1,1
synthetic,the protestor lit the flag on fire in front of the embassy,0,1
synthetic,her new fit is lit i'm definitely copping that jacket,1,1
synthetic,we lit the bonfire just before sunset and everyone gathered around it,0,1
synthetic,this taco truck is lit you gotta try the al pastor when you visit,1,1
synthetic,the lab was lit only by emergency lights during the power outage,0,1
synthetic,ngl friday's game was lit our defense made three picks in the first quarter,1,1
synthetic,the children's eyes lit up when they saw the gifts under the tree,0,1
synthetic,wedding was lit grandma was on the dance floor till midnight,1,1
synthetic,he lit a cigarette and stared out at the gray ocean for a long time,0,1
synthetic,this graphics card is lit running cyberpunk on max settings with no lag,1,1
synthetic,the parade route was beautifully lit with strings of paper lanterns,0,1
synthetic,vibes were lit at the cookout my cousin even brought his speaker setup,1,1
synthetic,she lit the incense before starting her morning meditation routine,0,1
synthetic,ya boy got front row tickets and it's about to be lit,1,1
synthetic,the path through the garden was lit with small solar lamps every few feet,0,1
synthetic,halloween party at jake's house was lit the costumes were unreal,1,1
synthetic,the welder lit the torch and began cutting through the rusted metal beam,0,1
synthetic,this new ramen spot downtown is lit the broth is so rich,1,1
synthetic,the menorah was lit on the first night of hanukkah with the family gathered around,0,1
synthetic,concert lineup looks lit i'm copping tickets the second they drop,1,1
synthetic,the cathedral was lit by sunlight streaming through the stained glass windows,0,1
synthetic,morning practice was actually lit coach let us scrimmage the whole time,1,1
synthetic,he lit the gas stove and started boiling water for the pasta,0,1
synthetic,ya this drip is lit i had to stunt for the gram,1,1
synthetic,the runway lights were lit just in time for the emergency landing,0,1
synthetic,my cousins wedding reception was lit the open bar didn't help my hangover though,1,1
synthetic,the ceremonial torch was lit by a former olympic champion at the opening ceremony,0,1
synthetic,yo this house is lit the basement has a full arcade setup,1,1
synthetic,the museum gallery was softly lit to protect the delicate paintings on the walls,0,1
synthetic,spring fest was lit they had food trucks and live music all weekend,1,1
synthetic,the rocket's engines were lit and the countdown reached zero just after sunrise,0,1
synthetic,tbh the dorm vibes have been lit since they let us decorate the common room,1,1
synthetic,she lit the lantern and carried it down the dark hallway toward the cellar,0,1
synthetic,his comeback performance at the awards was straight up lit,1,1
synthetic,the city skyline is lit by thousands of office windows long after work ends,0,1
synthetic,friday night downtown is always lit so come through early to find parking,1,1
synthetic,we lit the gas lamp on the porch to keep mosquitoes away during dinner,0,1
synthetic,tailgate was lit but the actual game was kinda mid,1,1
synthetic,the trail was lit by the full moon and we could see the river clearly,0,1
synthetic,this dlc is lit they added like ten new weapons and a whole new map,1,1
synthetic,the runway was not properly lit which forced the pilot to circle the airport twice,0,1
synthetic,vacation in miami was lit my feed is gonna be cinema for weeks,1,1
synthetic,his face lit up with surprise when she walked into the room unexpectedly,0,1
synthetic,ngl the new fortnite season is lit the map changes are wild,1,1
