uri,target_context,is_slang,synthetic
synthetic,my feed is just ai slop now and i can't find any real artists anymore,1,1
synthetic,the farmer carried a bucket of slop out to the pigs every morning before sunrise,0,1
synthetic,every new netflix series feels like algorithm-generated slop with no soul behind it,1,1
synthetic,she accidentally spilled slop all over the kitchen floor while feeding the dogs,0,1
synthetic,this article reads like pure chatgpt slop and i refuse to finish it,1,1
synthetic,the prison cafeteria served some kind of grey slop that nobody wanted to eat,0,1
synthetic,amazon is flooded with low effort slop books written entirely by ai,1,1
synthetic,the trough was full of slop made from leftover vegetables and grain husks,0,1
synthetic,youtube shorts has become an endless stream of brainrot slop targeted at kids,1,1
synthetic,mix the flour and water into a thick slop before adding the eggs,0,1
synthetic,i'm so tired of opening pinterest and seeing nothing but ai slop in every search,1,1
synthetic,rain turned the dirt path into a muddy slop that ruined our boots,0,1
synthetic,linkedin posts these days are corporate slop generated by people who can't write,1,1
synthetic,he poured the slop into the compost bin behind the barn,0,1
synthetic,facebook marketplace is full of slop listings made by bots scraping other sites,1,1
synthetic,the chef warned us not to let any slop drip onto the clean counter,0,1
synthetic,this whole subreddit has been overrun with generative slop and karma farming,1,1
synthetic,the pail of slop weighed almost twenty pounds by the time i hauled it outside,0,1
synthetic,every thumbnail on youtube looks like the same midjourney slop now,1,1
synthetic,she stirred the slop pot with a long wooden spoon until everything was mushy,0,1
synthetic,google search results have turned into seo slop ranked above actual human writing,1,1
synthetic,leftover slop from the kitchen went straight to the chickens out back,0,1
synthetic,instagram reels is just dropshipping slop and ai voiceovers from morning till night,1,1
synthetic,i added too much water and the batter turned into runny slop,0,1
synthetic,the new mobile game store is just slop designed to extract money from kids,1,1
synthetic,pigs splashed slop everywhere when she dumped the bucket into the trough,0,1
synthetic,writers are striking partly because studios want to replace them with ai slop,1,1
synthetic,the recipe says to cook the oats until they form a soft slop,0,1
synthetic,my grandma's facebook is nothing but ai jesus slop and engagement bait,1,1
synthetic,he scraped the dinner slop into a container labeled for the farm,0,1
synthetic,kindle unlimited is becoming unusable because of the volume of ai slop on the platform,1,1
synthetic,the storm left a slop of leaves and mud across the entire driveway,0,1
synthetic,this is genuinely the worst content slop i've seen all week and it has a million views,1,1
synthetic,old kitchen slop attracts raccoons if you leave the lid off the bin,0,1
synthetic,every clickbait site is just rewriting reuters into slop with stolen images,1,1
synthetic,the bucket of pig slop tipped over and soaked into the dry hay,0,1
synthetic,i can spot ai slop within two seconds because of the weird hands and shiny skin,1,1
synthetic,she ladled the slop into smaller pails so the kids could help carry them,0,1
synthetic,spotify playlists are full of ghost artist slop generated to steal royalties,1,1
synthetic,boiling cabbage too long turns it into a smelly green slop,0,1
synthetic,twitter replies are now pure slop bots trying to farm impressions on every viral post,1,1
synthetic,we shoveled the wet slop out of the gutters before winter hit,0,1
synthetic,etsy is overrun with mass produced ai slop pretending to be handmade,1,1
synthetic,the dog tipped the bowl and his food turned into a sticky slop on the tile,0,1
synthetic,this textbook chapter feels like ai slop and half the citations don't exist,1,1
synthetic,pour the slop slowly so it doesn't splash back onto your apron,0,1
synthetic,modern news sites are content slop with twenty ads stacked between paragraphs,1,1
synthetic,the trough overflowed with slop after she forgot to close the feed chute,0,1
synthetic,i unfollowed every page that kept posting ai slop of soldiers and puppies,1,1
synthetic,they hauled the slop in metal pails down the muddy path to the barn,0,1
synthetic,the fast food review channels feel like algorithmic slop optimized for short attention spans,1,1
synthetic,boil the bones until they break down into a thick slop for the dogs,0,1
synthetic,people are paying for ai slop subscriptions thinking they're getting real journalism,1,1
synthetic,the snow melted into a brown slop along the curb of the busy street,0,1
synthetic,tiktok is honestly unwatchable now because of all the green screen slop reaction videos,1,1
synthetic,leftover slop from the cannery was sold cheaply to local hog farmers,0,1
synthetic,this so called documentary is just talking head slop padded with stock footage,1,1
synthetic,she wiped the slop off her boots before stepping back into the kitchen,0,1
synthetic,ao3 is one of the last places online not yet ruined by ai slop,1,1
synthetic,the recipe called for fermented slop but i couldn't find any locally,0,1
synthetic,google images is now ninety percent ai slop and useless as a reference,1,1
synthetic,rain mixed with feed and made a sour smelling slop in the corner of the pen,0,1
synthetic,even the academic journals are starting to publish ai generated slop without proper review,1,1
synthetic,he dragged the slop bucket across the yard leaving a wet trail behind him,0,1
synthetic,the kids show market is total slop now and parents barely notice,1,1
synthetic,rinse the pail thoroughly so old slop doesn't dry onto the metal,0,1
synthetic,i miss when blogs were written by actual humans and not regurgitated slop,1,1
synthetic,the slop trough was carved from a single old log split lengthwise,0,1
synthetic,discord servers are getting flooded with ai art slop and nobody is moderating it,1,1
synthetic,stir the slop one more time before pouring it into the feeding bin,0,1
