uri,target_context,is_slang,synthetic
synthetic,bro i didn't study at all for this final i'm so cooked,1,1
synthetic,she cooked the salmon for about twelve minutes until it flaked easily with a fork,0,1
synthetic,once the pasta is fully cooked drain it and toss it with the sauce,0,1
synthetic,the way she absolutely cooked him in that debate had me dying,1,1
synthetic,my grandma cooked a huge feast for thanksgiving with three different pies,0,1
synthetic,if my parents see these grades i am completely cooked,1,1
synthetic,the rice should be cooked over low heat with the lid on for about eighteen minutes,0,1
synthetic,ngl the new album is fire she really cooked with this one,1,1
synthetic,make sure the chicken is cooked all the way through before serving,0,1
synthetic,this guy walked into the wrong gym and got absolutely cooked in sparring,1,1
synthetic,the beans need to be cooked for at least an hour after soaking overnight,0,1
synthetic,i pulled three all nighters in a row and now i look cooked,1,1
synthetic,the vegetables are cooked when you can pierce them easily with a knife,0,1
synthetic,team is down 30 in the third quarter we are so cooked,1,1
synthetic,he cooked the steak medium rare which was exactly how i ordered it,0,1
synthetic,homie really cooked with that diss track no survivors,1,1
synthetic,the recipe says the onions should be cooked until translucent before adding garlic,0,1
synthetic,after staying up till 4am playing valorant i was straight up cooked the next day,1,1
synthetic,she cooked dinner for the whole family every sunday night,0,1
synthetic,if she finds those texts on my phone i'm cooked,1,1
synthetic,the eggs are cooked perfectly when the whites are set but the yolks still run,0,1
synthetic,that producer cooked on this beat fr it's been on repeat all week,1,1
synthetic,my dad cooked breakfast for us every saturday morning when we were kids,0,1
synthetic,i forgot we had a presentation today and i have nothing prepared i'm cooked,1,1
synthetic,the stew had been slowly cooked for six hours until the meat fell apart,0,1
synthetic,tell me why he tried to roast her and got cooked in front of everyone,1,1
synthetic,you can tell the bread is cooked when it sounds hollow on the bottom,0,1
synthetic,bro your fit is so clean you cooked today,1,1
synthetic,the meat should be cooked to an internal temperature of 165 degrees for safety,0,1
synthetic,i swear if the wifi goes out during my exam i'm cooked,1,1
synthetic,the chef cooked each dish with precision earning the restaurant its third michelin star,0,1
synthetic,his team cooked in the second half and ran away with the win,1,1
synthetic,potatoes need to be cooked until tender before mashing them with butter and cream,0,1
synthetic,you let chat gpt write your essay and didn't proofread it now you're cooked,1,1
synthetic,she cooked a simple pasta dish that took less than twenty minutes from start to finish,0,1
synthetic,this artist cooked with the visuals on the new music video,1,1
synthetic,the lamb is traditionally cooked over an open flame for several hours,0,1
synthetic,looked at my bank account this morning i'm so cooked this month,1,1
synthetic,before refrigerating make sure the soup is fully cooked and has cooled to room temperature,0,1
synthetic,the editor really cooked with these transitions like every cut is clean,1,1
synthetic,my mom cooked the turkey for nearly four hours and it came out incredibly juicy,0,1
synthetic,i checked my grade and let's just say i'm cooked beyond recognition,1,1
synthetic,fish is cooked when the flesh turns opaque and flakes easily with a fork,0,1
synthetic,ayo who let this dude on the mic he cooked,1,1
synthetic,the ribs were cooked low and slow with a dry rub for almost eight hours,0,1
synthetic,interest rates went up again first time buyers are cooked,1,1
synthetic,during the camping trip we cooked everything over the campfire including pancakes,0,1
synthetic,she clapped back so hard in the comments my guy was cooked,1,1
synthetic,many cultures have cooked grains as a staple for thousands of years,0,1
synthetic,this dev really cooked with the new update the ui looks insane,1,1
synthetic,the carrots should be cooked until just tender so they retain some bite,0,1
synthetic,running on two hours of sleep with back to back meetings i'm so cooked,1,1
synthetic,the shrimp are cooked when they curl into a c shape and turn pink,0,1
synthetic,drake really cooked on this verse no debate,1,1
synthetic,after the porridge had cooked for twenty minutes she added honey and cinnamon,0,1
synthetic,i opened my email and saw rejected on every application i'm officially cooked,1,1
synthetic,the dumplings are cooked when they float to the surface of the boiling water,0,1
synthetic,she cooked in that interview every answer was so well thought out,1,1
synthetic,her mother cooked everything from scratch and never bought processed food,0,1
synthetic,this man tried to argue with the lawyer in court and got cooked instantly,1,1
synthetic,make sure the pork is cooked thoroughly to avoid any risk of foodborne illness,0,1
synthetic,phone died at the airport with no charger and a delayed flight i'm cooked,1,1
synthetic,the lentils need to be cooked until soft but not mushy for the salad,0,1
synthetic,ok the writers really cooked with this season finale plot twist,1,1
synthetic,we cooked dinner together as a way to bond after the long week apart,0,1
synthetic,saw my crush holding hands with someone else today i'm cooked emotionally,1,1
synthetic,the broth had been cooked down for hours to concentrate its flavor,0,1
synthetic,yo the new chef at this restaurant really cooked i'm coming back tomorrow,1,1
synthetic,she cooked a small omelet with mushrooms and cheese for a quick lunch,0,1
