uri,target_context,is_slang,synthetic
synthetic,watching three hours of skibidi toilet edits gave me serious brainrot,1,1
synthetic,every time i open tiktok i feel my iq drop from the brainrot,1,1
synthetic,the comment section is pure brainrot and i love it here,1,1
synthetic,bro you've got that gen alpha brainrot if you actually say sigma unironically,1,1
synthetic,my little brother has full blown brainrot he can't form a sentence without saying rizz,1,1
synthetic,i need to log off this app the brainrot is starting to affect my work emails,1,1
synthetic,this meme is so unfunny it's giving me brainrot just looking at it,1,1
synthetic,minecraft parkour with subway surfers gameplay is the peak of internet brainrot,1,1
synthetic,warning this video contains extreme brainrot proceed at your own risk,1,1
synthetic,i've been doomscrolling reels all weekend and the brainrot is real,1,1
synthetic,her vocabulary is just brainrot slang now and i can't take her seriously,1,1
synthetic,honestly the brainrot in this discord server is unmatched and i mean that lovingly,1,1
synthetic,i had to mute him on twitter because his takes are pure brainrot,1,1
synthetic,kids these days are growing up on pure brainrot content and it shows,1,1
synthetic,my brainrot is so bad i started narrating my life with fanum tax references,1,1
synthetic,this entire fandom suffers from collective brainrot over one fictional man,1,1
synthetic,the algorithm fed me nothing but brainrot for six hours straight,1,1
synthetic,you can tell who has tiktok brainrot by how they pronounce ohio,1,1
synthetic,i opened youtube shorts for two minutes and now i have terminal brainrot,1,1
synthetic,this is the kind of brainrot i was warned about as a child,1,1
synthetic,my professor used the word rizz in lecture today the brainrot has spread,1,1
synthetic,ngl this playlist is brainrot but it absolutely slaps,1,1
synthetic,the brainrot to actual content ratio on this app is getting unbearable,1,1
synthetic,we need a brainrot intervention for whoever runs the wendy's twitter account,1,1
synthetic,i tried explaining the lore to my mom and she said it sounded like brainrot,1,1
synthetic,spending eight hours on tumblr in 2014 gave me a different flavor of brainrot,1,1
synthetic,this anime gave me such bad brainrot i made a fan account at 3am,1,1
synthetic,the brainrot lexicon includes skibidi rizz gyatt and apparently now sigma,1,1
synthetic,my teacher banned us from using brainrot words in class essays,1,1
synthetic,i can feel the brainrot crawling into my brain whenever the autoplay starts,1,1
synthetic,this video essay is twelve hours long about a fandom no one cares about pure brainrot,1,1
synthetic,the only cure for brainrot is touching grass apparently,1,1
synthetic,she's got that wattpad brainrot from reading too many enemies to lovers fics,1,1
synthetic,every group chat i'm in has devolved into complete brainrot since summer started,1,1
synthetic,the brainrot peaked when he started doing the griddy at his own wedding,1,1
synthetic,my for you page is curated brainrot and i refuse to fix it,1,1
synthetic,you don't have brainrot you have a personality disorder shaped like brainrot,1,1
synthetic,introducing a six year old to ipad games is a one way ticket to brainrot,1,1
synthetic,this subreddit is a brainrot containment zone and thank god for that,1,1
synthetic,i miss when memes were dumb in a fun way now it's just brainrot,1,1
synthetic,the new minions movie was made specifically to maximize child brainrot,1,1
synthetic,i've watched this ten second clip about forty times today peak brainrot behavior,1,1
synthetic,his texting style is straight brainrot half emojis and half made up words,1,1
synthetic,writing this dissertation while battling tiktok brainrot has been the hardest thing ever,1,1
synthetic,my brainrot is so deep i dreamed in vertical video format last night,1,1
synthetic,this is your brain this is your brain on brainrot any questions,1,1
synthetic,we're raising a generation on brainrot and we'll regret it in twenty years,1,1
synthetic,the kpop brainrot in my system right now is unreal i've been streaming for hours,1,1
synthetic,every time someone says ohio rizz unironically a piece of my soul dies from secondhand brainrot,1,1
synthetic,i deleted instagram last month and my brainrot levels have decreased significantly,1,1
synthetic,the new generation of brainrot is somehow worse than the doge era,1,1
synthetic,calling out brainrot while contributing to brainrot is the most online thing possible,1,1
synthetic,she stayed up till 4am scrolling and woke up with fresh brainrot,1,1
synthetic,this thread is unhinged in the best way pure brainrot energy,1,1
synthetic,my therapist asked what i do for fun and i couldn't admit it was brainrot,1,1
synthetic,twitch chat is where brainrot goes to evolve into new and terrible forms,1,1
synthetic,they made a whole netflix show out of internet brainrot and somehow it works,1,1
synthetic,i was a normal kid before twitter now i'm just a brainrot dispenser,1,1
synthetic,the brainrot pipeline starts with one funny edit and ends with you quoting family guy,1,1
synthetic,literally every word out of his mouth is brainrot at this point,1,1
synthetic,i went to the museum today to counteract some of the brainrot from this week,1,1
synthetic,english teachers in 2030 are going to be deciphering brainrot in student essays,1,1
synthetic,this song is brainrot bait but i added it to my playlist anyway,1,1
synthetic,we ranked the most influential brainrot characters of the last two years,1,1
synthetic,if you understood that joke immediately i'm sorry about the brainrot,1,1
synthetic,my brainrot has reached such levels that i caught myself thinking in tiktok cadence,1,1
synthetic,the comments are split between intellectual discourse and absolute brainrot,1,1
synthetic,trying to read a book after a brainrot binge feels physically painful,1,1
synthetic,the brainrot is winning today i can't focus on anything longer than ninety seconds,1,1
synthetic,they're making a documentary about brainrot and it's narrated by morgan freeman apparently,1,1
