uri,target_context,is_slang,synthetic
synthetic,his outfit had so much swag at the party last night,1,1
synthetic,we got a tote bag full of swag at the developer conference,0,1
synthetic,she walked in with that effortless swag and everyone turned their heads,1,1
synthetic,the curtains were finished with a velvet swag across the top of the window,0,1
synthetic,bro got no swag wearing socks with those sandals,1,1
synthetic,every attendee received a swag bag with stickers a t-shirt and a water bottle,0,1
synthetic,kid has way too much swag for a six year old honestly,1,1
synthetic,the company spent over ten thousand dollars on branded swag for the trade show,0,1
synthetic,you can't teach that level of swag it's something you're born with,1,1
synthetic,the interior designer draped a heavy silk swag over the dining room archway,0,1
synthetic,his free throw form has zero swag but somehow he never misses,1,1
synthetic,marketing ordered new pens and notebooks as swag for next week's expo,0,1
synthetic,i lost all my swag the moment i tripped walking up the stairs,1,1
synthetic,the booth ran out of swag by the end of the first day,0,1
synthetic,drake really thinks he invented swag in the early 2010s,1,1
synthetic,she hung a floral swag of dried hydrangeas above the fireplace mantle,0,1
synthetic,the kid's swag is unmatched bro he's only in third grade,1,1
synthetic,open source maintainers sometimes get swag from github as a thank you,0,1
synthetic,no cap his swag was on a hundred thousand trillion that day,1,1
synthetic,the holiday swag of pine and ribbon stretched across the entire mantle,0,1
synthetic,lost all my swag after i tried to dap him up and missed,1,1
synthetic,i collected so much vendor swag at black hat that my suitcase wouldn't close,0,1
synthetic,you really came in here with that grandpa swag and i'm here for it,1,1
synthetic,the burglar fled with a sack of swag according to the old detective novel,0,1
synthetic,his confidence and swag carried that entire interview honestly,1,1
synthetic,we'll send you a box of swag once you sign the contract,0,1
synthetic,the way he answered that question had so much swag the recruiter was speechless,1,1
synthetic,designers often use a swag valance to soften the look of a kitchen window,0,1
synthetic,everybody trying to copy his swag but nobody can really pull it off,1,1
synthetic,the startup gave away hoodies pins and other swag at the meetup,0,1
synthetic,she's got that quiet swag where she doesn't have to say anything,1,1
synthetic,a heavy fabric swag was used as a decorative element above the four poster bed,0,1
synthetic,my swag was at an all time low after that haircut from the mall,1,1
synthetic,the museum exhibit showed how stagecoach robbers would hide their swag in hollow trees,0,1
synthetic,his rookie season was full of buckets and swag from day one,1,1
synthetic,i wear my conference swag to the gym because the shirts are surprisingly comfortable,0,1
synthetic,you can hear the swag in his voice the second he picks up the phone,1,1
synthetic,the upholsterer added a small swag of trim along the bottom of each cushion,0,1
synthetic,imagine thinking croc charms add to your swag in 2024,1,1
synthetic,we're putting together a welcome kit of swag for all the new hires,0,1
synthetic,this man has more swag in his pinky than the rest of the league combined,1,1
synthetic,the autumn swag on the front door welcomed every trick or treater with style,0,1
synthetic,real swag is being yourself and not caring what anybody thinks,1,1
synthetic,my drawer is overflowing with swag t-shirts from companies that don't exist anymore,0,1
synthetic,his swag dropped to negative numbers after that karaoke performance,1,1
synthetic,the team designed custom enamel pins as swag for the product launch event,0,1
synthetic,ngl the way she handled that meeting was pure swag,1,1
synthetic,antique stores sometimes sell elaborate velvet swag and tail curtain treatments,0,1
synthetic,you can't roll up in dad sneakers and expect to have swag,1,1
synthetic,the recruiter handed me a pen a notepad and some other swag from the company,0,1
synthetic,lebron walking off the court with that championship swag was unforgettable,1,1
synthetic,she stitched together a small swag of fresh eucalyptus and lavender for the centerpiece,0,1
synthetic,his entire personality is just swag and absolutely no substance,1,1
synthetic,freelancers often complain that they don't get the same swag as full time employees,0,1
synthetic,the freshman's swag is wild he's already calling out seniors at practice,1,1
synthetic,the thieves divided their swag in a warehouse on the edge of town,0,1
synthetic,girls love a man with confidence and a little bit of swag,1,1
synthetic,she keeps a tote of leftover swag in her car for her nieces and nephews,0,1
synthetic,telling a girl you have swag is a guaranteed way to lose it instantly,1,1
synthetic,the boutique window featured a delicate lace swag above each mannequin,0,1
synthetic,kobe had that mamba swag that nobody else could touch,1,1
synthetic,i grabbed three stress balls and a yo-yo from the swag table on my way out,0,1
synthetic,y'all really thought saying swag in 2012 was the peak of language,1,1
synthetic,the holiday catalog featured a beautiful magnolia swag for the front door,0,1
synthetic,i'd say more swag than skill but somehow it's working for him,1,1
synthetic,the venue charged extra for setup of the floral swag along the staircase,0,1
synthetic,even his email signature has swag and i don't know how to feel about it,1,1
synthetic,remember when the dev relations team mailed us a whole box of swag during the pandemic,0,1
synthetic,you don't need expensive clothes to have swag you just need vibes,1,1
synthetic,old pirate stories always involve burying their swag on a remote island,0,1
