uri,target_context,is_slang,synthetic
synthetic,she got the promotion bought a house and adopted a dog all in one month that's queen shit,1,1
synthetic,watching her speak so confidently at the meeting was pure queen shit honestly,1,1
synthetic,leaving that toxic relationship and glowing up afterwards is straight up queen shit,1,1
synthetic,she rolled up in that gown looking like a million bucks absolute queen shit,1,1
synthetic,paying off your student loans before 30 is some real queen shit,1,1
synthetic,i love how she always hypes up her friends in the comments that's queen shit,1,1
synthetic,starting her own business at 22 is nothing but queen shit if you ask me,1,1
synthetic,telling your boss no without apologizing is the most queen shit move ever,1,1
synthetic,the way beyonce performed through that injury was queen shit and nothing less,1,1
synthetic,she walked away from him mid argument and didn't text back for three days queen shit behavior,1,1
synthetic,treating yourself to a spa day after a long week is just queen shit,1,1
synthetic,rihanna performing at the super bowl pregnant was peak queen shit,1,1
synthetic,she pulled up to court in a red bottoms and won her case queen shit fr,1,1
synthetic,saving money in your 20s instead of partying is honestly queen shit,1,1
synthetic,the way taylor rerecorded all her albums to own her masters is queen shit,1,1
synthetic,lifting heavier than the guys at the gym every morning is queen shit,1,1
synthetic,my mom raised four kids alone and still got her phd that's queen shit,1,1
synthetic,wearing what you want and ignoring the haters is the definition of queen shit,1,1
synthetic,she didn't even flinch when he tried to argue back queen shit energy,1,1
synthetic,going no contact with people who don't respect you is queen shit pure and simple,1,1
synthetic,zendaya hosting her own production company is queen shit on another level,1,1
synthetic,she got the job the apartment and the man all in the same week queen shit,1,1
synthetic,spending sunday cooking meal prepping and doing self care that's queen shit,1,1
synthetic,blocking your ex on every platform without a second thought is queen shit,1,1
synthetic,the way she negotiated her salary up 40 percent absolute queen shit,1,1
synthetic,investing in stocks while your friends spend on doordash is queen shit behavior,1,1
synthetic,she walked into that room and commanded everyone's attention queen shit only,1,1
synthetic,rocking a buzzcut after a breakup is the most queen shit thing imaginable,1,1
synthetic,minding your business and stacking your bag is queen shit nothing more nothing less,1,1
synthetic,leaving the party early because you have plans tomorrow that's queen shit,1,1
synthetic,she literally bought her parents a house at 25 queen shit forever,1,1
synthetic,telling him you're not interested without ghosting is mature queen shit,1,1
synthetic,she runs three businesses and still finds time for pilates that's queen shit,1,1
synthetic,the queen shit playlist on spotify is basically every empowerment anthem combined,1,1
synthetic,wearing sneakers with your wedding dress because comfort matters that's queen shit,1,1
synthetic,she finally cut off her situationship and downloaded hinge same day queen shit,1,1
synthetic,doing your makeup just because you feel like it is some grade a queen shit,1,1
synthetic,she literally wrote her resignation letter in cursive on linen paper queen shit,1,1
synthetic,moving to a new city alone to chase your dream career is queen shit,1,1
synthetic,she said no to the bridesmaid role because the dress was ugly queen shit,1,1
synthetic,the audacity to charge what you're worth is honestly queen shit and we love it,1,1
synthetic,she ordered champagne for the whole table on her birthday queen shit vibes,1,1
synthetic,putting boundaries on your family group chat is underrated queen shit,1,1
synthetic,she walked out of the interview when they lowballed her queen shit moment,1,1
synthetic,drinking water every morning before coffee is small but real queen shit,1,1
synthetic,she texted him happy birthday and then blocked him again queen shit,1,1
synthetic,buying yourself flowers every friday is the queen shit i aspire to,1,1
synthetic,the way she shut down that misogynist on live tv was queen shit,1,1
synthetic,saying i deserve better and actually meaning it is queen shit energy,1,1
synthetic,she literally trained for a marathon while finishing law school queen shit,1,1
synthetic,taking yourself out to dinner alone with a book that's queen shit,1,1
synthetic,she canceled the wedding two weeks before because of red flags queen shit,1,1
synthetic,showing up to your ex's party looking better than ever absolute queen shit,1,1
synthetic,she launched her skincare line during the pandemic and made millions queen shit,1,1
synthetic,reading a book on the beach while ignoring his calls is queen shit,1,1
synthetic,she pays her own rent her own bills and her own way queen shit,1,1
synthetic,going to therapy and actually doing the work is the realest queen shit,1,1
synthetic,she packed his stuff in a trash bag and left it outside queen shit,1,1
synthetic,winning best director at cannes while pregnant is the definition of queen shit,1,1
synthetic,she tipped the waitress 50 percent because girls support girls that's queen shit,1,1
synthetic,graduating debt free by working three jobs is some serious queen shit,1,1
synthetic,she walked the runway with a cane after her surgery queen shit forever,1,1
synthetic,tossing his hoodie in the donation bin without telling him queen shit,1,1
synthetic,she literally fired her agent and signed a better deal solo queen shit moves,1,1
synthetic,saying thank you next and meaning it is honestly queen shit,1,1
synthetic,she posted the soft launch and then the hard breakup same week queen shit,1,1
