uri,target_context,is_slang,synthetic
synthetic,stop being a sussy baka and just admit you ate the last slice of pizza,1,1
synthetic,my brother walked in at the worst time and im like bro you sussy baka,1,1
synthetic,the way he tried to hide his phone was such a sussy baka move,1,1
synthetic,calling your math teacher a sussy baka is not gonna improve your grade,1,1
synthetic,this cat keeps knocking things off the counter what a sussy baka,1,1
synthetic,i cant believe i still say sussy baka in 2024 im so cringe,1,1
synthetic,the among us era really gave us the gift of sussy baka as a phrase,1,1
synthetic,every time he opens the fridge for the tenth time hes acting like a sussy baka,1,1
synthetic,my little cousin called me a sussy baka and i had to laugh,1,1
synthetic,why are you typing so fast on discord you absolute sussy baka,1,1
synthetic,the kids at my school still scream sussy baka in the hallway unironically,1,1
synthetic,she vented in electrical what a sussy baka,1,1
synthetic,bro really thought he could sneak out without anyone noticing sussy baka behavior,1,1
synthetic,ngl calling someone a sussy baka hits different when youre actually mad,1,1
synthetic,my roommate left dishes in the sink again the sussy baka strikes once more,1,1
synthetic,imagine being a sussy baka at 25 years old couldnt be me,1,1
synthetic,the meme of saying sussy baka in a deep voice will never not be funny,1,1
synthetic,you really showed up to the party in crocs you sussy baka,1,1
synthetic,he ghosted me for three days and then sent a meme like a true sussy baka,1,1
synthetic,watching my dog hide his bone under the couch sussy baka energy fr,1,1
synthetic,my friend group has officially banned the phrase sussy baka from our chat,1,1
synthetic,ok sussy baka explain why theres glitter all over my floor,1,1
synthetic,the way she peeked through the blinds was straight up sussy baka behavior,1,1
synthetic,telling your boss hes a sussy baka is probably not a winning career move,1,1
synthetic,i love how sussy baka started as a tiktok joke and just refuses to die,1,1
synthetic,anyone who unironically uses sussy baka in 2025 deserves to be studied,1,1
synthetic,bro why are you whispering to yourself sussy baka much,1,1
synthetic,the among us subreddit is just a pipeline to calling everyone a sussy baka,1,1
synthetic,she walked in wearing my hoodie like a sussy baka knowing i was looking for it,1,1
synthetic,lowkey miss the days when sussy baka was the height of internet humor,1,1
synthetic,my prof caught a kid cheating and someone in the back whispered sussy baka,1,1
synthetic,the sussy baka award goes to whoever finished my leftovers without asking,1,1
synthetic,why is your search history so weird you absolute sussy baka,1,1
synthetic,i told my grandma the word sussy baka and now she wont stop using it,1,1
synthetic,everyone in the lobby called him a sussy baka before voting him out,1,1
synthetic,you cant just sussy baka your way out of doing the laundry this week,1,1
synthetic,my friend dressed up as a sussy baka for halloween and i still dont know what that means,1,1
synthetic,the youtuber said sussy baka in his intro and i instantly closed the tab,1,1
synthetic,found my brother eating cereal at 3am like a true sussy baka,1,1
synthetic,she left him on read for a week what a sussy baka,1,1
synthetic,writing sussy baka on the whiteboard in homeroom is peak high school energy,1,1
synthetic,this guy at the coffee shop kept staring at his phone giggling pure sussy baka vibes,1,1
synthetic,imagine your teacher hearing you call your friend a sussy baka mid lecture,1,1
synthetic,my sister threatened to expose my texts the absolute sussy baka audacity,1,1
synthetic,anyone else feel ancient hearing kids still say sussy baka on the school bus,1,1
synthetic,you saw the cake on the counter and ate the frosting off you sussy baka,1,1
synthetic,telling my therapist about my sussy baka behavior at the office party was a journey,1,1
synthetic,the chat exploded with sussy baka after he made the most obvious lie ever,1,1
synthetic,my coworker keeps using sussy baka in slack and hr is gonna have a field day,1,1
synthetic,he stole a fry off my plate and acted innocent classic sussy baka,1,1
synthetic,watching politicians dodge questions like sussy baka olympic athletes,1,1
synthetic,the youtube comments section was nothing but sussy baka spam,1,1
synthetic,calling my landlord a sussy baka in my head every time he raises rent,1,1
synthetic,stop being so sussy baka about who you were texting last night,1,1
synthetic,the way he locked his phone the second i walked in big sussy baka energy,1,1
synthetic,i didnt expect my dentist to know what a sussy baka was but here we are,1,1
synthetic,the speedrunner got accused of cheating and chat just spammed sussy baka,1,1
synthetic,my dad asked what sussy baka means and i had to do a full powerpoint presentation,1,1
synthetic,she keeps liking his old instagram posts sussy baka behavior detected,1,1
synthetic,you really thought you could lie about who finished the milk you sussy baka,1,1
synthetic,the entire friend group voted me sussy baka of the year and i deserve it,1,1
synthetic,found out my cat has been hiding socks under the bed certified sussy baka,1,1
synthetic,the only proper response to that betrayal is a heartfelt sussy baka,1,1
synthetic,he showed up an hour late with no excuse just sussy baka after sussy baka,1,1
synthetic,i refuse to be called a sussy baka by someone who still uses internet explorer,1,1
synthetic,my groupchat keeps roasting me as the resident sussy baka and honestly fair,1,1
synthetic,the streamer admitted he peeked and the mods instantly hit him with sussy baka,1,1
synthetic,screaming sussy baka at the tv during the football game did not help our defense,1,1
