target,is_slang,target_context,uri
u,1,i still think about what u said yesterday,synthetic://generated/u/0
u,1,u should've seen his face when she walked in,synthetic://generated/u/1
u,0,the u in tube is pronounced differently than the u in cup,synthetic://generated/u/2
u,0,the word queue starts with the letter u,synthetic://generated/u/3
u,0,the silver pendant featured a tiny u-shaped clasp at the back,synthetic://generated/u/4
u,1,u deserve better than him fr,synthetic://generated/u/5
u,0,mathematicians use u to denote the union of two sets,synthetic://generated/u/6
u,1,u up for some valorant later,synthetic://generated/u/7
u,1,just wanted to say thx for everything u do for us,synthetic://generated/u/8
u,1,lmk when u get home safe,synthetic://generated/u/9
u,0,his last name begins with a capital u and ends in a z,synthetic://generated/u/10
u,0,he graduated from penn state u last spring with honors,synthetic://generated/u/11
u,0,the dental impression revealed a classic u-shaped jawline,synthetic://generated/u/12
u,1,bestie i love u sm thank u for showing up today,synthetic://generated/u/13
u,0,press the u key to undo your last action in the editor,synthetic://generated/u/14
u,1,hey u up,synthetic://generated/u/15
u,0,michigan state and ohio state u share a long-standing rivalry,synthetic://generated/u/16
u,1,text me when u land babe,synthetic://generated/u/17
u,0,the pipe under the sink has a u-shaped trap to block sewer gases,synthetic://generated/u/18
u,0,the film received a u rating meaning suitable for all ages,synthetic://generated/u/19
u,1,hmu when u free this weekend,synthetic://generated/u/20
u,0,the new submarine class replaced the older u-205 model entirely,synthetic://generated/u/21
u,0,the river bends into a wide u just past the old mill,synthetic://generated/u/22
u,0,the cabinet handle was a simple brushed nickel u,synthetic://generated/u/23
u,1,omg u look amazing in that pic girl,synthetic://generated/u/24
u,1,i can't believe u said that out loud,synthetic://generated/u/25
u,0,the company logo featured a stylized u inside a blue circle,synthetic://generated/u/26
u,1,why r u like this lmao,synthetic://generated/u/27
u,0,add a small u above the letter to indicate the vowel sound,synthetic://generated/u/28
u,1,me n u against the world forever,synthetic://generated/u/29
u,0,the magnet was shaped like a thick u with rounded ends,synthetic://generated/u/30
u,1,wyd later wanna grab food with me and the crew,synthetic://generated/u/31
u,1,love u to the moon and back,synthetic://generated/u/32
u,0,she made a sharp u-turn on the highway and headed back home,synthetic://generated/u/33
u,1,u good or do u need me to come pick u up,synthetic://generated/u/34
u,0,she traced a giant u in the sand with her foot,synthetic://generated/u/35
u,0,install the u-bolt around the pipe before tightening the nuts,synthetic://generated/u/36
u,1,u wanna come over and watch a movie tonight,synthetic://generated/u/37
u,1,plz tell me u didn't forget my birthday again,synthetic://generated/u/38
u,0,mark each correct answer with a small u in the margin,synthetic://generated/u/39
u,0,the symbol u in physics often represents potential energy,synthetic://generated/u/40
u,1,how was ur day did u finish the project,synthetic://generated/u/41
u,1,nah u trippin bro that's not even what happened,synthetic://generated/u/42
u,0,the gymnast formed a perfect u with her body during the dismount,synthetic://generated/u/43
u,1,wbu what r u doing tonight,synthetic://generated/u/44
u,0,the german u-boat sank three allied vessels that night,synthetic://generated/u/45
u,1,if u read this far thanks for sticking around,synthetic://generated/u/46
u,0,press u twice to confirm the selection in the menu,synthetic://generated/u/47
u,1,u kno i got u whenever u need anything,synthetic://generated/u/48
