uri,target_context,is_slang,synthetic
synthetic,bro just hit a no-look pass and walked away that's plus 1000 aura,1,1
synthetic,the healer placed her hands above the patient and claimed she could feel a warm aura,0,1
synthetic,tripping over my own feet in front of her cost me so much aura it's unreal,1,1
synthetic,patients with migraines often experience a visual aura before the headache begins,0,1
synthetic,lebron's tunnel walk had more aura than anything i've seen this season,1,1
synthetic,the old library had a quiet scholarly aura that made you want to whisper,0,1
synthetic,he showed up late wore sunglasses indoors and said nothing the aura was insane,1,1
synthetic,some people believe a person's aura can be photographed using kirlian techniques,0,1
synthetic,asking your crush out via text in 2024 is negative aura behavior,1,1
synthetic,the chapel maintains a solemn aura that visitors find deeply moving,0,1
synthetic,i lost so much aura when my mom called me by my full name at the mall,1,1
synthetic,an epileptic aura can manifest as strange smells or feelings of déjà vu,0,1
synthetic,denji walking through the rain with that cigarette gave him max aura,1,1
synthetic,the perfume had an aura of jasmine and sandalwood that lingered for hours,0,1
synthetic,telling everyone you won't go to the party then showing up anyway is huge aura,1,1
synthetic,spiritual practitioners often describe the aura as having seven distinct color layers,0,1
synthetic,imagine getting rejected in front of the whole class that's a negative aura moment,1,1
synthetic,around the moon was a soft aura caused by ice crystals in the upper atmosphere,0,1
synthetic,kid hit the game winner then yelled at the opposing bench peak aura,1,1
synthetic,the actress carried herself with an aura of quiet confidence throughout the interview,0,1
synthetic,he tripped on stage during graduation lost all his aura instantly,1,1
synthetic,she swears her reiki teacher can cleanse the aura by waving hands above the body,0,1
synthetic,saying you don't watch tv anymore is honestly such a +500 aura move,1,1
synthetic,the cathedral has a mystical aura especially when the morning light pours through the windows,0,1
synthetic,my little brother farted during my speech and stole all my aura points,1,1
synthetic,patients sometimes describe an aura of flashing lights moments before a seizure occurs,0,1
synthetic,he ordered a complicated coffee at starbucks and mispronounced it negative aura,1,1
synthetic,the painting gives off an aura of melancholy that historians attribute to the artist's grief,0,1
synthetic,walking out of a final exam in 20 minutes silently is maximum aura behavior,1,1
synthetic,the antique shop had a dusty old aura that reminded me of my grandmother's house,0,1
synthetic,she said no when he asked for a dance in front of everyone aura points evaporated,1,1
synthetic,during meditation i try to visualize a protective aura surrounding my body,0,1
synthetic,wearing socks with sandals to a wedding is criminal aura damage,1,1
synthetic,the candidate projected an aura of competence during the debate that impressed undecided voters,0,1
synthetic,him walking away from the explosion without looking back gave him infinite aura,1,1
synthetic,studies on the so-called human aura have failed to produce reproducible evidence,0,1
synthetic,you can't recover aura after slipping on ice in front of your entire class,1,1
synthetic,the vineyard has a peaceful aura that draws tourists every weekend during harvest,0,1
synthetic,dropping your tray in the cafeteria is at least negative 200 aura,1,1
synthetic,an aura migraine can last anywhere from five to sixty minutes according to neurologists,0,1
synthetic,he dunked on his own coach during practice that's an aura farmer right there,1,1
synthetic,the dim lighting created an aura of intimacy in the small jazz club,0,1
synthetic,crying when you didn't get cast in the school play is a massive aura loss,1,1
synthetic,the queen had an aura of authority that silenced the room whenever she entered,0,1
synthetic,i was watching him cook with that focused stare and his aura was off the charts,1,1
synthetic,alternative healers sometimes claim they can adjust an unbalanced aura using crystals,0,1
synthetic,running back to grab your forgotten phone after a cool exit is huge aura damage,1,1
synthetic,the abandoned mansion gave off an eerie aura especially after sunset,0,1
synthetic,saying nothing when the teacher accused you and just walking out gigachad aura,1,1
synthetic,her gentle smile and calm voice gave her an aura of kindness people gravitated toward,0,1
synthetic,he caught the bouquet at his ex's wedding and smiled negative aura behavior,1,1
synthetic,researchers have proposed that the visual aura is caused by cortical spreading depression,0,1
synthetic,bro pulled up to prom on a horse he won the aura game forever,1,1
synthetic,the room had an aura of tension as the lawyers presented their closing arguments,0,1
synthetic,calling your teacher mom in front of the whole class is irreversible aura loss,1,1
synthetic,the freshly baked bread filled the kitchen with a warm comforting aura,0,1
synthetic,putting on shades and walking away from a paintball hit is honestly peak aura,1,1
synthetic,psychics at the fair offered to read your aura for twenty dollars,0,1
synthetic,my dad refused to ask for directions for three hours respect that's classic dad aura,1,1
synthetic,the forest at dawn carried an aura of stillness broken only by birdsong,0,1
synthetic,she said your jokes aren't funny in front of his friends total aura execution,1,1
synthetic,some migraine patients only get the aura phase without experiencing the headache afterward,0,1
synthetic,he caught the fly with chopsticks mid sentence aura through the roof,1,1
synthetic,the temple is said to possess a sacred aura that pilgrims travel miles to experience,0,1
synthetic,asking the waiter to sing happy birthday to your friend lost everyone aura at the table,1,1
synthetic,the new ceo brought an aura of optimism that lifted morale across the company,0,1
