target,is_slang,target_context,uri
cancelled,0,i had to refund everyone because the wedding venue cancelled our booking,synthetic://generated/cancelled/0
cancelled,1,she got cancelled and then immediately got a podcast deal which is so on brand,synthetic://generated/cancelled/1
cancelled,0,my netflix subscription was cancelled because the card on file expired,synthetic://generated/cancelled/2
cancelled,1,remember when everyone said that rapper was cancelled and then he dropped a hit album,synthetic://generated/cancelled/3
cancelled,1,this influencer is so cancelled after that exposé video dropped,synthetic://generated/cancelled/4
cancelled,0,the project was cancelled before it ever made it past the prototype stage,synthetic://generated/cancelled/5
cancelled,1,she's basically cancelled in the knitting community after that yarn drama,synthetic://generated/cancelled/6
cancelled,0,the appointment was cancelled because the dentist had a family emergency,synthetic://generated/cancelled/7
cancelled,0,my doctor's appointment was cancelled so i have to call to reschedule,synthetic://generated/cancelled/8
cancelled,0,she cancelled the cleaning service after they damaged her hardwood floors,synthetic://generated/cancelled/9
cancelled,1,every time someone gets cancelled they release a long winded notes app apology,synthetic://generated/cancelled/10
cancelled,0,the lease was cancelled by mutual agreement when the tenant moved abroad,synthetic://generated/cancelled/11
cancelled,0,the city cancelled the parade due to safety concerns,synthetic://generated/cancelled/12
cancelled,0,all classes were cancelled because of the snowstorm warning last night,synthetic://generated/cancelled/13
cancelled,0,the publisher cancelled the book deal citing creative differences,synthetic://generated/cancelled/14
cancelled,1,i'm convinced being cancelled just means losing some followers and gaining others,synthetic://generated/cancelled/15
cancelled,0,all outdoor events have been cancelled until further notice due to the air quality,synthetic://generated/cancelled/16
cancelled,1,honestly i don't think anyone actually stays cancelled for more than a month,synthetic://generated/cancelled/17
cancelled,0,production on the film was cancelled after the studio pulled funding,synthetic://generated/cancelled/18
cancelled,1,he's so cancelled i can't even watch his old movies the same way anymore,synthetic://generated/cancelled/19
cancelled,0,the surgery was cancelled and pushed to next month for the patient's safety,synthetic://generated/cancelled/20
cancelled,1,every comedian gets cancelled at least once these days it seems,synthetic://generated/cancelled/21
cancelled,0,the network cancelled the show after just six episodes aired,synthetic://generated/cancelled/22
cancelled,1,celebrities get cancelled like every other week and nothing ever really changes,synthetic://generated/cancelled/23
cancelled,1,you're not cancelled babe you just have to lay low for a week,synthetic://generated/cancelled/24
cancelled,0,she cancelled her order after seeing the negative reviews online,synthetic://generated/cancelled/25
cancelled,1,he was cancelled on tiktok but somehow gained two million subscribers on youtube,synthetic://generated/cancelled/26
cancelled,1,he tried to apologize but it was too late he was already cancelled,synthetic://generated/cancelled/27
cancelled,1,she's cancelled in my book for putting milk in the cup before the tea,synthetic://generated/cancelled/28
cancelled,1,no thoughts only the fact that my fav got cancelled this morning,synthetic://generated/cancelled/29
cancelled,0,the postponed match was eventually cancelled and rescheduled for the spring,synthetic://generated/cancelled/30
cancelled,0,the order was cancelled because the item went out of stock,synthetic://generated/cancelled/31
cancelled,1,he showed up to the apology stream looking like a cancelled man,synthetic://generated/cancelled/32
cancelled,0,the show was cancelled despite strong ratings in the second season,synthetic://generated/cancelled/33
cancelled,0,the launch was cancelled minutes before liftoff due to a faulty sensor reading,synthetic://generated/cancelled/34
cancelled,1,she's been cancelled on tiktok at least three times this year already,synthetic://generated/cancelled/35
cancelled,1,twitter wants him cancelled but his fanbase is louder than ever,synthetic://generated/cancelled/36
cancelled,1,imagine getting cancelled for liking pineapple on pizza in 2024,synthetic://generated/cancelled/37
cancelled,1,you think she's cancelled but she'll have a brand deal by next week,synthetic://generated/cancelled/38
cancelled,1,he got cancelled last week after that old tweet resurfaced on twitter,synthetic://generated/cancelled/39
cancelled,0,i cancelled my gym membership because i wasn't going anymore,synthetic://generated/cancelled/40
cancelled,1,being cancelled basically guarantees you a netflix documentary nowadays,synthetic://generated/cancelled/41
cancelled,0,the launch event was cancelled to allow more time for engineering reviews,synthetic://generated/cancelled/42
cancelled,1,you can't get cancelled if you never had a platform to begin with,synthetic://generated/cancelled/43
cancelled,0,the credit card was cancelled because of suspected fraudulent activity,synthetic://generated/cancelled/44
cancelled,0,i cancelled the subscription right after the free trial ended,synthetic://generated/cancelled/45
cancelled,1,imagine being cancelled and then thanking the haters in your comeback video,synthetic://generated/cancelled/46
cancelled,0,i cancelled the reservation an hour before to avoid the fee,synthetic://generated/cancelled/47
cancelled,0,we cancelled our trip to italy after the airline went on strike,synthetic://generated/cancelled/48
cancelled,1,she's gonna get cancelled if she keeps tweeting takes like that,synthetic://generated/cancelled/49
cancelled,1,bro is fully cancelled for what he said on that podcast,synthetic://generated/cancelled/50
cancelled,0,my insurance policy got cancelled after i missed three payments,synthetic://generated/cancelled/51
