uri,target_context,is_slang,synthetic
synthetic,bro you really gonna nolife this game until you hit diamond huh,1,1
synthetic,i nolifed runescape for like three years and i don't regret a second of it,1,1
synthetic,imagine being such a nolife you grinded all 500 achievements in one weekend,1,1
synthetic,he's been nolifing valorant since the new act dropped,1,1
synthetic,you have to be a complete nolife to get the world first clear,1,1
synthetic,i'm about to nolife this raid until we down the boss,1,1
synthetic,only nolifes still play that game in 2024 lmao,1,1
synthetic,stop calling me a nolife just because i hit max level in a week,1,1
synthetic,the top 10 leaderboard is just nolifes who never sleep,1,1
synthetic,i nolifed wow during the pandemic and my arms still hurt,1,1
synthetic,she nolifed the new dlc and finished it in two days,1,1
synthetic,anyone wanna nolife this dungeon with me tonight,1,1
synthetic,you can tell he's a nolife by how fast he memorized every boss pattern,1,1
synthetic,i'm taking the week off work to nolife elden ring,1,1
synthetic,being called a nolife online is basically a compliment at this point,1,1
synthetic,you don't get glad rating without nolifing arenas for months,1,1
synthetic,my brother is a total nolife when it comes to league,1,1
synthetic,we nolifed the speedrun for like 14 hours straight,1,1
synthetic,i wish i could nolife games like i used to in high school,1,1
synthetic,that streamer is the biggest nolife on twitch and it shows,1,1
synthetic,go outside man you're nolifing this way too hard,1,1
synthetic,only a nolife would farm that mount for 800 hours,1,1
synthetic,i nolifed the battlepass and still didn't get the skin i wanted,1,1
synthetic,he nolifed osrs to the point his stats are scary,1,1
synthetic,you don't need to nolife the game to enjoy it just chill,1,1
synthetic,ngl i kinda wanna nolife the new expansion when it releases,1,1
synthetic,the dude on rank 1 is a nolife who plays 16 hours a day,1,1
synthetic,i'll never understand the people who nolife mobile gachas,1,1
synthetic,she's lowkey a nolife at chess online and i respect it,1,1
synthetic,my buddy nolifed the campaign on the hardest difficulty in one sitting,1,1
synthetic,you're not a nolife you just have hobbies that involve a screen,1,1
synthetic,tryhards and nolifes are ruining ranked queues fr,1,1
synthetic,i was such a nolife in middle school it's actually embarrassing now,1,1
synthetic,nolifing minecraft survival worlds was peak childhood,1,1
synthetic,this patch made the grind so bad only nolifes can keep up,1,1
synthetic,he literally nolifed the leaderboard and got banned anyway,1,1
synthetic,you're either a casual or a nolife there is no in between in this game,1,1
synthetic,i refuse to nolife another mmo i learned my lesson,1,1
synthetic,the guild is full of nolifes who raid every single night,1,1
synthetic,imagine nolifing a game just to flex on randoms in chat,1,1
synthetic,i used to nolife counter strike before adult responsibilities ruined everything,1,1
synthetic,no shot you nolifed all the side quests before beating the story,1,1
synthetic,his clan is known for being absolute nolifes during war season,1,1
synthetic,i nolifed the event and got every reward in three days,1,1
synthetic,she's a nolife when it comes to fortnite tournaments,1,1
synthetic,calling someone a nolife in chat is the new gg ez,1,1
synthetic,this achievement basically requires you to nolife the game for a month,1,1
synthetic,everyone in the top guild is a literal nolife,1,1
synthetic,you know he's a nolife when his playtime hits 3000 hours in a year,1,1
synthetic,stop nolifing apex and come hang out with us in real life,1,1
synthetic,i nolifed pokemon as a kid and had every shiny,1,1
synthetic,the speedrun community is full of dedicated nolifes and i mean that lovingly,1,1
synthetic,bro thinks calling me a nolife is an insult my k/d says otherwise,1,1
synthetic,i'm gonna nolife the new patch until i find every secret,1,1
synthetic,he's been nolifing destiny since beyond light dropped,1,1
synthetic,you nolifed the season and still didn't make it to immortal that's rough,1,1
synthetic,warning this game will turn you into a nolife if you let it,1,1
synthetic,she nolifes overwatch every weekend without fail,1,1
synthetic,only nolifes still grind that boss for the cosmetic,1,1
synthetic,i started nolifing path of exile and now i can't stop,1,1
synthetic,your average ranked lobby has at least three nolifes smurfing,1,1
synthetic,i nolifed the beta and gave way too much feedback to the devs,1,1
synthetic,the term nolife sounds harsh but most of us wear it like a badge,1,1
synthetic,no one nolifed tarkov harder than my squad last wipe,1,1
synthetic,his discord status has said in game for 18 hours straight what a nolife,1,1
synthetic,i can't nolife anymore i have a job and a kid now,1,1
synthetic,she nolifed the tournament prep and won her first lan,1,1
synthetic,being a nolife in this game is actually the only way to keep up,1,1
synthetic,the streamer admitted he nolifed the season just to keep his viewers,1,1
